,,,,,,,,,,,,,,,,,,,,,0.0547,-1.0281,0.1554,-0.9108,-0.7038,-0.3777,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.3155,0.0943,0.2688,-0.1932,-0.1696,-0.3006,-0.6469,-0.5697,-0.7326,0.0897,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.5293,-0.1145,-0.6214,-0.151,0.1795,-0.5336,-0.5559,-0.5587,0.0215,0.2576,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.597,-0.6084,0.1883,-0.4417,-0.3641,0.8351,0.3208,-0.862,-0.8473,-0.905,0.3859,0.1837,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.3995,-0.1017,-0.257,-0.99,-0.4345,-0.0145,-0.7132,-0.5203,-0.6295,-0.539,0.3841,0.6264,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.8182,-0.2671,-0.4844,-1.2345,0.0371,-0.1408,-0.4677,0.158,-0.4346,-0.2385,0.207,0.6116,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.0482,0.025,-0.3341,-0.558,-0.3372,-0.6608,0.4321,0.1057,-0.8496,0.614,0.0887,-0.1453,-0.1432,-0.0637,-1.3484,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.504,0.3756,-0.7821,-1.1745,-0.4957,-0.4888,0.0596,0.1451,0.0942,0.9523,0.3345,-0.0249,-0.042,-0.0384,-0.9468,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.0869,-0.6488,0.8587,0.2527,-0.7124,-1.2322,-0.3808,-0.0901,-0.0432,0.1241,0.8684,1.3724,1.1206,0.2754,-0.0267,-1.0567,-1.2562,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.259,-0.3732,0.4988,-0.4871,-0.5039,-0.6664,-0.359,-0.3017,0.3401,0.6485,1.1861,1.6391,1.024,0.1534,-0.6162,-0.3739,-1.0563,,,,,,,,,,,,,,,,
,,,,,,,,,0.2849,-0.2136,0.014,0.4031,0.081,-0.2926,0.0881,-1.1698,0.2266,0.1478,1.1636,1.4849,1.0774,1.697,0.9693,-0.2994,-0.5699,-0.4884,-2.4043,,,,,,,,,,,,,,,,
,,,,,,,,-0.6037,0.2706,-0.1388,-0.0108,-0.229,0.1176,-0.2759,-0.1382,-0.6945,0.1012,0.1689,1.627,1.3874,0.596,1.2256,0.9346,0.0592,-0.6148,-0.2406,-1.9066,,,,,,,,,,,,,,,,
,,,,,,,-0.3404,-0.1822,0.8098,0.1028,0.1144,0.0571,1.1826,-0.2746,0.0068,-0.7972,0.2047,0.4374,1.553,0.8379,1.0754,1.4459,0.8595,1.0382,0.2612,0.7419,-2.4325,,,,,,,,,,,,,,,,
,,,,,,-0.6403,-0.3149,0.4275,0.5818,-0.1506,0.62,-0.4755,0.2885,-0.7629,0.2669,-0.4097,0.4202,0.4704,1.4647,1.3003,1.9154,1.3442,0.8678,1.29,0.9306,-0.0333,-1.2074,-2.4751,,,,,,,,,,,,,,,
,,,,,,-0.2256,-0.0063,0.3827,0.2466,0.2863,0.8951,0.1502,-0.1887,-0.3067,0.1268,-0.2936,0.1025,0.5546,1.1578,1.6924,1.1664,0.7927,0.7052,0.6346,0.3614,0.3964,-0.8996,-1.5159,,,,,,,,,,,,,,,
,,,,,-0.7346,0.1894,0.0373,0.5584,0.3127,0.6294,0.1604,0.1026,-0.559,-0.6068,-0.2672,-0.5499,0.431,0.6153,0.5788,1.0502,0.7899,0.9064,1.1004,1.2491,0.5129,-0.0415,-1.2496,-2.5855,,,,,,,,,,,,,,,
,,,,-1.3891,-0.2454,0.363,0.0929,1.1199,0.7406,0.6294,0.5622,0.1132,-1.0298,-0.349,-0.0466,-0.1128,0.8622,0.6726,0.8976,0.7718,0.7546,1.3616,0.736,0.2516,-0.1645,0.3558,-1.0907,-2.9383,-1.77,,,,,,,,,,,,,,
,,,,-1.5877,-0.3064,0.7633,0.0439,1.3136,0.2133,-0.0609,0.3429,0.0359,-0.7391,-0.4107,0.1239,0.4347,0.8687,0.9385,0.6244,0.6238,-0.002,1.3999,0.8322,-0.5364,-0.2391,-0.5106,-1.1009,-0.5193,-5.2506,,,,,,,,,,,,,,
,,,,-1.058,0.1541,1.4672,0.1343,1.5777,0.1505,0.1169,-0.3117,-0.2828,-0.6684,-0.2125,0.6883,0.8693,0.5108,0.956,0.7686,0.8736,1.065,0.8667,0.6679,-0.1499,-0.1536,-0.0605,-1.2411,-1.9477,-1.1512,,,,,,,,,,,,,,
,,,-0.6586,-0.2631,1.0119,1.3756,0.8724,2.0145,0.4126,-0.3707,-0.4293,-0.4906,-0.3881,0.0848,1.1048,1.0463,0.7098,0.9013,0.8769,0.8626,1.0504,0.8666,0.4444,-0.5553,-0.9216,-0.2164,-1.3886,-1.007,-2.5946,,,,,,,,,,,,,,
