,,,,,,,,,,,,,,,,,,,,,0.4283,-0.1324,-1.149,-0.1984,0.2631,-0.2534,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.4907,0.4631,-0.1685,-0.5217,-0.0438,-0.6436,-1.0609,0.0027,-0.3433,-0.5458,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.2574,-0.4745,0.6919,-0.1997,0.2214,-0.2144,-1.1634,-0.0294,-0.4954,-1.1567,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.1727,0.1346,0.4553,-0.1211,-0.257,-0.5232,0.4474,-0.2771,-0.8572,-0.5269,-0.8296,-1.7939,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0048,0.0237,0.0681,-0.2753,-0.8483,-0.4089,-0.4256,-0.0811,-0.6892,-0.5017,-0.7728,-1.6535,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.3274,0.7353,-0.5497,-0.4102,-0.1761,0.3878,-0.4255,-0.1629,-0.6419,-0.7169,-0.5276,-1.8803,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.16,-0.1835,-0.276,0.9287,-0.3526,-0.1468,0.3103,0.4036,-0.2536,-0.0524,-0.169,-0.9993,-0.3191,-1.4949,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.3198,-0.08,-0.4519,0.4014,-0.5979,-0.3665,0.1573,0.0275,-0.2579,-0.0042,-0.308,-0.4139,-0.2913,-1.1667,-1.6816,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.9516,0.255,0.5701,0.5435,-0.7677,-0.1055,-0.5082,-0.3005,0.1221,-0.313,-0.2472,0.1133,-0.5472,-0.3431,-0.5246,-1.3307,-1.2832,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.7622,-0.2068,0.0966,-0.2997,-0.4745,-0.3799,-0.2575,0.1876,0.2633,0.3155,0.1543,-0.0626,-0.513,-0.3149,0.4956,-2.2106,-1.4615,,,,,,,,,,,,,,,,
,,,,,,,,,-0.6783,-1.1633,-0.4199,-0.1079,0.2762,-0.37,-0.8207,-0.6556,0.2208,0.5174,0.2456,0.6976,0.4553,-0.2475,-0.1016,-0.3412,1.0954,-2.8945,-1.2836,,,,,,,,,,,,,,,,
