,,,,,,,,,,,,,,,,,,,,,-0.3193,1.367,-0.1151,-0.3656,0.2694,-3.509,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.5669,-0.5827,-0.06293,0.7483,-0.379,1.029,0.372,-0.5576,-0.1354,-4.165,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.3989,-0.3846,-0.3082,0.1577,-0.989,-0.6869,0.3237,-0.7053,-1.246,-3.663,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.6856,-0.7739,-0.8221,-0.4605,0.3,0.02392,-0.3706,-0.2529,-0.1662,-0.6337,-0.2556,-2.301,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.8196,-0.3431,-0.922,0.08577,0.03569,-0.6001,-0.1052,-0.2729,-0.105,-0.03567,-0.5493,-1.653,-0.7604,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.9353,-0.5498,-0.6168,-0.8437,-0.245,-0.3284,-0.8083,-0.3553,0.1617,0.05071,-0.1092,-1.01,-0.3516,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.3231,-0.01047,-0.8373,-1.141,-0.6514,-0.8588,-0.3429,-0.614,-0.2547,0.1211,0.4248,-0.2203,-0.2241,-0.1244,-0.8342,-0.9752,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.6275,-0.5945,-0.7835,-1.032,-0.08813,-0.8522,0.2059,0.08551,0.327,0.3833,-0.241,-0.3248,-0.6014,-0.7595,-1.9,-0.436,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.4857,0.2775,-0.6891,-0.5251,-0.4417,-0.8697,-0.07826,-0.6484,0.147,-0.09931,0.046,-0.06692,0.7143,0.1705,-0.2768,-0.4907,0.4739,0.1499,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.2365,-0.5226,-0.8293,-0.8136,-1.307,-0.9009,-0.08489,-0.4579,0.573,0.09082,0.418,-0.04616,0.9922,-0.6413,-0.01657,-0.3681,0.8285,,,,,,,,,,,,,,,,
,,,,,,,,,0.1606,0.2247,-0.6467,0.05854,-0.9935,-0.4064,-0.8909,-0.744,-0.4089,-0.5206,-0.00924,-0.2257,1.517,0.298,1.015,-0.1911,0.9704,0.6436,1.179,,,,,,,,,,,,,,,,
,,,,,,,,-0.5792,-0.1098,-0.6372,-1.331,0.207,-0.5575,-0.6334,-0.9483,-0.9512,-0.1638,-0.1013,0.2312,-0.2097,0.6476,2.043,1.377,-0.5684,1.235,0.4609,1.263,0.6374,,,,,,,,,,,,,,,
,,,,,,,-0.2612,-0.465,-0.2163,-0.05314,-0.4538,0.4003,-0.95,-0.9408,-1.53,-0.5944,-0.08973,0.2726,0.1691,0.4501,0.4245,1.945,0.316,-0.4397,0.1109,-0.7838,0.7334,0.4895,,,,,,,,,,,,,,,
,,,,,,-0.5876,0.1982,-0.1125,-0.08904,0.3012,-0.7175,0.1136,-0.9818,-0.3439,-0.8471,-0.2534,0.06648,-0.3097,0.05128,0.4795,0.1775,1.022,0.5617,0.4397,0.3299,0.129,1.697,,,,,,,,,,,,,,,,
,,,,,,-1.229,-0.16,0.234,-0.2735,-0.1206,-0.4878,0.6136,-0.4655,-0.1537,-0.175,-0.5783,0.02564,-0.3254,-0.3801,-0.5408,0.9158,0.7906,0.7194,0.5264,0.555,-0.4353,2.197,,,,,,,,,,,,,,,,
,,,,,-0.3404,-0.8145,-0.0916,-0.07398,-0.4156,-0.2959,-0.7699,0.3515,0.6512,0.3978,0.4527,0.1319,-0.018,-0.5382,-0.8293,-0.6568,1.914,1.318,0.164,0.6074,0.6322,0.7259,,,,,,,,,,,,,,,,,
,,,,-0.4156,-0.8884,-1.47,-0.2039,-0.3356,-0.3085,-0.399,-0.4106,0.8645,0.378,0.1205,0.3355,1.088,0.8183,0.538,0.2194,0.9018,1.273,0.9853,0.6274,-0.2048,0.1683,-0.887,-0.5519,-0.6963,,,,,,,,,,,,,,,
,,,,-0.1042,-0.8916,-1.219,-0.07086,-0.7896,-0.5545,-0.5423,-1.07,0.125,0.0884,0.04374,0.07172,1.992,0.2103,0.1253,1.514,2.316,1.45,0.2264,1.143,1.19,-0.4022,-0.7958,0.0112,-1.682,,,,,,,,,,,,,,,
,,,,0.157,-1.097,-0.7697,0.1241,-0.961,-1.118,-0.01622,-0.8652,0.3912,0.2312,0.5748,1.455,1.364,-1.031,0.6079,1.985,2.738,1.149,0.4218,0.3765,2.216,0.922,-1.154,0.1783,-1.624,,,,,,,,,,,,,,,
,,,-1.401,0.1117,-0.5356,-0.5795,-0.2907,-0.6432,-1.017,-0.4285,-0.06381,0.5089,0.6262,0.6722,1.28,1.275,0.1822,0.6534,3.132,2.321,0.8922,1.322,0.9843,1.884,1.862,0.00656,,,,,,,,,,,,,,,,,
,,,-0.6821,-0.09138,-0.3737,-0.4307,-0.3445,-0.06242,-0.7486,-0.3411,-0.1478,0.4648,0.6484,0.974,0.9437,1.155,1.036,0.6543,2.277,1.607,1.807,2.085,2.222,1.571,1.308,0.1355,,,,,,,,,,,,,,,,,
,,-0.6506,-0.909,0.3507,-0.7352,-0.51,-0.3713,-0.3685,-0.9384,0.01878,-0.5837,0.678,0.2511,0.2305,0.9002,1.651,2.262,0.6982,1.565,1.721,3.113,2.265,2.954,2.418,0.6061,0.488,-1.457,-1.251,,,,,,,,,,,,,,,
,,-0.5792,-0.8754,0.08796,-0.7947,-0.7487,-0.3729,-0.1005,-1.09,0.09584,-0.5751,-0.1397,0.425,0.3241,0.8206,1.724,1.393,0.9814,2.405,2.566,2.42,1.936,2.409,3.409,1.991,0.1658,-0.1657,-0.9998,,,,,,,,,,,,,,,
,,0.07071,0.09619,0.1302,-0.8978,-1.107,-0.3643,-0.1132,-0.01833,-0.02296,-0.5909,0.0456,1.188,0.4124,0.5515,1.294,0.5922,1.097,1.74,1.826,2.72,2.174,2.962,3.226,1.833,0.4306,0.2414,,,,,,,,,,,,,,,,
,0.4712,-0.3292,-0.2821,-0.2993,-1.639,-0.6336,-0.4096,-0.07481,-0.3328,-0.1997,-0.6105,0.07858,1.789,1.246,-0.01482,0.8447,0.8379,0.8174,0.9424,0.8966,2.133,2.289,3.397,2.795,1.319,0.1851,1.005,,,,,,,,,,,,,,,,
,-0.01459,-0.2295,0.09037,-0.2935,-0.662,-0.5126,-0.1417,0.08909,-0.9101,-0.4253,-0.7081,-0.3478,1.041,1.196,0.01492,0.4797,1.042,0.3494,0.7584,0.8692,1.324,2.958,2.97,1.624,-0.1899,0.35,-0.3626,,,,,,,,,,,,,,,,
,-0.7216,-0.3771,-0.1824,-0.3306,-0.4489,-0.2503,-0.269,0.02672,-0.6159,-0.3546,-0.1802,0.3104,0.2878,0.697,-0.488,0.6744,0.5555,0.06072,0.7259,1.461,1.877,3.507,2.314,1.038,-0.7899,-0.9517,,,,,,,,,,,,,,,,,
,-0.8808,-0.2634,-0.4596,-0.3836,-0.3605,0.06856,-0.5867,-0.04307,-0.08328,-0.2432,-0.3209,0.4266,0.08403,-0.06265,-0.7947,0.6671,0.4327,0.4292,1.509,2.113,1.082,2.412,0.791,0.9866,-0.02186,-1.014,,,,,,,,,,,,,,,,,
,-0.5453,-0.2739,-0.2352,-0.05997,-0.3156,-0.1352,-0.3927,0.00788,-0.4884,-0.2339,-0.6961,0.09354,0.3264,-0.3531,-0.4108,0.8377,1.733,1.253,0.8224,1.94,1.984,3.714,0.8927,0.6535,0.4296,-0.5225,,,,,,,,,,,,,,,,,
-0.00912,-0.7019,-0.4526,-0.1695,-0.2055,-0.3944,0.1141,-0.6152,-0.06975,-0.6609,-0.5028,-0.9448,0.222,-0.1573,-0.118,0.6764,0.6423,1.876,2.197,1.313,2.016,2.281,2.819,0.8439,1.285,0.677,,,,,,,,,,,,,,,,,,
0.5124,0.1117,-0.3402,-0.2181,0.3105,-0.1632,-0.3147,-0.6562,-0.3914,-0.4073,-0.05767,-0.6426,0.5952,0.1585,0.4656,0.3135,0.6821,1.325,2.045,1.378,1.717,3.231,2.385,1.568,0.9963,-1.404,,,,,,,,,,,,,,,,,,
0.6334,-0.09105,-0.2135,0.08229,0.2232,-0.434,-0.1741,-0.2962,-0.077,-0.2548,0.6612,-0.863,0.5598,1.036,0.2742,-0.1051,0.5793,0.8498,1.396,1.486,1.551,2.676,1.769,1.96,1.012,-1.778,,,,,,,,,,,,,,,,,,
0.3589,-1.092,0.4099,-0.00988,-0.07444,-0.01833,-0.4965,-0.4695,-0.229,-0.2504,0.1874,-0.9457,0.8185,0.3715,0.5355,-0.00752,0.5373,-0.7832,0.4652,1.034,1.036,2.644,0.8308,1.112,0.4905,1.165,,,,,,,,,,,,,,,,,,
0.2123,-0.9762,-0.04217,0.158,0.1461,-0.3671,-0.7252,-1.047,-0.5,-0.4454,-0.4103,-0.913,0.2551,-0.1437,0.521,-0.0744,0.4501,-1.117,0.02696,0.6076,0.5645,0.5223,0.7792,1.152,0.5232,2.518,,,,,,,,,,,,,,,,,,
0.3477,-0.6456,-0.223,-0.1483,-0.1139,-0.1335,0.2119,-0.6011,-0.4285,-0.2747,-0.5019,-0.8868,-0.3855,-0.2851,0.2183,-0.4954,-0.3058,-0.8213,-0.2726,-0.2967,-0.09653,0.2813,0.2888,0.454,0.685,0.701,-0.1848,,,,,,,,,,,,,,,,,
-0.0103,-1.26,-0.7095,-0.5384,-0.9418,-0.324,-0.07752,-0.8287,-0.6338,0.1995,-0.3287,-0.6164,0.4987,-0.235,-0.5631,-0.5085,-0.7742,-0.4392,-0.629,-0.4977,0.00802,0.6168,0.275,-0.5917,-0.9609,0.4779,-0.2897,,,,,,,,,,,,,,,,,
-0.4843,-1.311,-1.011,-1.227,-1.202,-0.2085,-1.168,-0.9001,-0.9493,-0.1466,-0.3612,-0.4359,0.8359,-0.2599,-0.9509,-0.2906,-0.3809,-0.7265,-1.172,-0.3388,-0.3487,-0.3986,-0.00537,0.4637,0.5088,0.864,1.225,,,,,,,,,,,,,,,,,
-0.2258,-0.61,-1.159,-1.824,-1.282,-1.038,-1.055,-0.7352,-0.8199,-0.4246,-0.549,-1.288,-0.05158,-0.3649,-0.4256,-0.593,-0.06861,-1.099,-1.198,-0.3952,0.00715,-0.4847,-0.09008,0.428,-0.4701,0.8568,1.141,0.952,,,,,,,,,,,,,,,,
-0.1089,-0.7951,-1.521,-1.42,-0.4986,-1.044,-1.348,-0.7496,-0.9377,-0.1901,-0.3135,-0.4177,1.06,0.2334,-0.1662,-0.5805,0.2911,-0.7249,-1.073,-0.5014,0.09308,0.0548,-0.04913,0.3635,-0.7591,1.253,1.83,0.1724,,,-0.256,-1.217,,,,,,,,,,,,
0.1428,-1.23,-2.385,-1.825,-1.357,-0.6258,-0.2772,-0.2551,-0.8679,-0.2293,-0.5446,-0.2839,0.5482,0.3118,0.03531,-0.5049,0.3969,-0.6309,-0.9119,-0.628,-0.08213,-0.1975,0.1604,0.7103,-0.5079,0.5617,1.177,0.3598,0.7546,-0.01204,2.604,0.7371,,,,,,,,,,,,
0.3696,-0.999,-1.644,-0.9745,0.1777,-0.2479,-0.3641,0.4156,-0.7498,-0.5275,-0.5957,-0.7016,0.1106,0.1162,-0.4454,-0.8324,0.1825,-0.6244,-0.6731,-0.1161,0.5242,-0.2373,-0.03365,1.119,-0.1262,0.1168,1.47,0.3227,0.6603,0.5013,2.397,-0.2819,0.4249,-1.566,-1.937,0.4759,,,,,,,,
