,,,,,,,,,,,,,,,,,,,,,1.2233,0.3274,1.9707,1.4656,-0.7092,-1.15,-1.9756,-0.3665,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.6337,1.7855,-0.006,-0.4224,-0.0293,-1.1717,0.4452,1.084,-0.0106,-1.22,-2.6236,-1.4641,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.7956,1.2669,-0.2549,0.3907,-0.8947,-0.1617,-0.4473,0.8744,1.6533,-1.3282,-1.0532,-0.2297,-6.4632,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.3851,0.8568,1.3699,-0.7746,-0.9976,-0.2528,-0.3316,-1.7699,0.1143,0.1988,0.4606,-0.5673,-0.3077,-0.6428,-2.044,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.2657,-0.7613,0.6262,-0.334,-1.2256,-0.3614,-0.0583,-1.0252,-0.9223,-0.6065,0.1895,0.0989,-0.7861,-0.6415,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.7674,0.0614,0.3665,-0.8946,-0.7867,-0.1374,0.337,-1.4447,-1.3659,-1.2937,0.1626,0.1732,-0.8173,-1.5062,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4478,-0.0476,-0.0974,-0.4474,0.3394,-0.3851,-0.4965,0.1904,-0.3404,-0.6057,-0.462,0.2776,0.1082,-0.2637,-0.0299,-0.6063,-0.882,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.2073,-0.1365,-0.6735,0.4625,0.5418,-0.398,-1.0023,-0.0629,0.1246,-0.9774,-0.3267,-0.5884,-1.7426,-1.169,-0.4698,-1.2188,-0.8773,,,,,,,,,,,,,,
,,,,,,,,,,,0.0386,-0.7462,2.0658,0.5469,-0.3434,0.4911,0.421,-0.5337,-0.9641,-0.0982,-0.2806,-1.2685,-0.7098,-0.1656,-1.3046,-1.1387,-0.7421,-1.7658,-2.5388,,,,,,,,,,,,,,
,,,,,,,,,,,0.5544,-0.5024,1.7107,0.0888,-0.6651,0.1755,-0.1607,-0.0119,-0.6437,0.5578,-0.262,-0.6801,-1.1497,-0.244,-1.5598,-1.0473,-0.2387,-1.4794,0.1164,,,,,,,,,,,,,,
