,,,,,,,,,,,,,,,,,,,,,,,0.5392,-0.9449,-1.8208,-1.0601,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.7423,-1.6951,-0.011,-0.5529,1.0954,-0.8038,-1.8712,0.2406,-2.5263,-2.046,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.5463,-1.0884,-1.5052,-1.2325,-0.0871,-0.2838,-2.4755,-2.0642,-1.6033,-2.4852,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-1.6015,-0.8343,0.1367,-0.788,0.4359,-1.2067,-1.9428,-1.2057,-2.4572,-1.8627,-1.7329,-1.5166,-0.6001,-0.834,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.3267,-0.8343,0.6912,-0.115,-0.4599,-1.9051,-0.6869,-2.1415,-1.3279,-1.9388,-1.3901,-0.9694,-0.6001,-0.9641,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0143,0.1414,0.4047,-0.3558,0.3662,-1.5825,-0.4049,-1.6307,-0.3044,-1.0832,-0.8567,-0.6329,-1.0979,-1.2328,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.83,0.1373,-0.1004,0.2747,0.6384,-0.5422,0.4023,-1.4716,-0.6117,-1.1795,-1.5088,-1.6217,-1.4951,-0.8628,-0.7834,-0.5143,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.6701,0.6257,-0.6152,-0.1524,0.2659,0.0775,-0.288,-1.5618,-0.1828,-0.2885,-1.2487,-0.3766,-0.9151,-0.5621,-0.2888,-2.5007,,,,,,,,,,,,,,,
,,,,,,,,,,,0.2534,0.1114,-0.0443,0.5344,0.0328,0.6219,0.4374,-0.588,0.3659,-0.4099,-0.4644,0.5375,-1.1157,-0.57,-0.3249,-0.2702,-0.2336,-1.7212,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.5129,0.2405,0.4365,0.8373,-0.0345,0.7926,-0.0741,-0.6131,-0.0756,-0.2234,0.0024,-0.6507,-0.881,-0.9986,-0.1933,-0.3026,0.8384,-3.5164,,,,,,,,,,,,,,,
