,,,,,,,,,,,,,,,,,,,,,-0.05854,-0.9515,0.05901,-0.183,0.7197,0.4036,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.3149,-0.04506,1.418,-0.3177,0.06932,-0.6493,-0.606,-0.2119,-0.651,0.9665,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.6552,0.06265,0.1137,0.2339,-0.946,-2.144,-0.3644,-0.3391,-0.9161,-0.8905,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.277,-0.156,-0.2621,-0.5077,1.079,-0.4044,0.1101,-1.898,-0.02648,0.1413,-1.623,-0.7079,-1.985,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.1441,0.5623,-0.1237,-0.346,1.253,0.4447,0.1979,-0.6504,0.804,0.2075,-0.449,-1.104,-0.961,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.6501,0.5248,-0.05496,-0.5471,0.4414,-0.2403,0.2192,-0.9676,1.084,0.6822,-0.1277,0.1151,-0.9578,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.2055,0.1141,-0.1978,-0.01143,0.4358,-0.1643,1.26,-0.7662,0.3372,-0.7659,0.5494,0.4313,-0.367,0.4703,-2.146,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.4512,0.1296,-0.08693,-0.3658,0.01607,-0.6614,1.136,-0.4221,0.2008,-0.2174,0.4712,-0.2885,-0.2221,0.2206,-1.764,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.5659,-0.7445,-0.1536,0.2498,-0.5059,0.6255,-0.256,-0.5391,0.7793,0.3688,0.6954,-0.4239,0.1927,0.1516,-0.2312,0.9501,-0.5372,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.1651,-0.4037,0.7468,0.0646,-0.385,0.8726,-0.2834,-0.6115,0.4772,0.3627,0.05543,-0.5056,0.03945,-0.2396,0.2731,0.05447,0.2472,,,,,,,,,,,,,,,,
,,,,,,,,,-0.04311,-0.1282,0.595,-0.2472,0.4408,0.1417,0.2139,0.4067,0.2375,-0.8464,0.1831,0.1612,0.2456,-0.3711,0.2522,0.09205,-0.2211,-0.4727,0.5204,,,,,,,,,,,,,,,,
,,,,,,,,1.368,-0.3176,1.005,0.2268,-0.4106,0.6141,0.252,0.5493,0.5893,-0.06119,-0.6631,0.1415,0.00425,0.3857,-0.4564,0.6465,0.7883,-0.458,-0.422,-1.84,,,,,,,,,,,,,,,,
,,,,,,,0.5866,0.03898,0.07895,-0.2237,0.4608,-0.16,0.3536,0.6444,0.201,-0.3589,-0.2105,-0.8325,0.4014,-0.1194,0.1334,-0.1242,0.5653,0.1316,-0.4708,-0.5669,-1.332,,,,,,,,,,,,,,,,
,,,,,,0.03373,0.6903,0.3336,-0.1951,0.4579,0.8164,0.09914,0.2715,0.7415,0.2679,0.05483,-0.00589,-0.2757,0.116,-0.07018,-0.2253,-0.437,0.8637,0.9102,-1.104,-1.615,-1.492,,,,,,,,,,,,,,,,
,,,,,,0.8767,0.2327,-0.07897,-0.1175,-0.1768,1.272,-0.5287,-0.07809,0.583,0.5632,-0.06439,0.285,-0.1876,-0.3528,-0.621,-0.02835,-0.3353,0.1264,0.3185,-0.3031,-1.479,-2.282,,,,,,,,,,,,,,,,
