,,,,,,,,,,,,,,,,,,,,-1.3513,-0.9436,-0.8022,0.3821,-1.339,-1.8076,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,-0.9004,0.3212,-0.2852,-0.27,-0.6993,-0.926,-0.7887,-0.4381,-0.7294,-0.689,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,-0.401,-0.1977,-0.8872,0.2356,-0.9961,-1.4818,-0.9894,-0.662,-1.0318,-1.012,-1.7019,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-1.562,-0.3574,-0.5511,-0.1933,-0.7016,-0.2746,-0.5656,-0.7861,-0.5928,-0.1532,-0.5599,-0.4686,-2.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-1.2668,-0.565,-0.4133,-0.3629,-0.1372,-0.4294,-0.7267,-0.7332,-0.2076,-0.4792,-0.5572,-0.5843,-2.2119,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-1.2071,-0.3487,-0.4928,-0.7215,-0.0363,-0.5272,0.0838,-0.4046,-0.0147,0.3263,-0.6092,-0.1374,-1.0917,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-1.675,-0.6136,-1.1517,-0.825,-0.7271,-0.6463,-0.233,-0.5284,0.2094,-0.4104,0.3952,0.2089,-0.465,-0.6284,-0.8073,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-0.2842,-0.2326,-1.441,-0.4621,-0.9267,-0.6208,0.0923,-0.2173,-0.0038,-0.5603,0.1956,-0.1551,-0.1141,-1.0351,-1.2606,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.9626,-0.3534,-0.3608,-0.2987,-1.286,-0.6742,-0.5766,-0.5583,-0.0901,0.2313,0.5915,-0.0906,0.3779,-0.0893,0.1082,-0.3445,-0.7849,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.4564,-0.4717,-0.6313,-0.7383,-0.8679,-0.3128,0.1011,0.0531,0.3708,0.8597,0.7853,0.2896,0.2816,-0.1109,0.1139,0.1189,-0.4229,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.9239,0.1016,-0.6131,-0.6733,-0.1677,-0.2762,-0.6643,0.0475,0.0521,0.4607,0.9859,0.532,-0.0906,0.2845,0.4513,0.2335,-0.2869,-0.2177,,,,,,,,,,,,,,,,,
,,,,,,,,-0.4425,-0.4804,0.1151,-0.5223,-0.4367,-0.1035,-0.5694,-0.1424,0.289,0.1002,0.5374,0.782,0.8144,0.1069,0.7079,0.5694,0.5286,0.6503,-0.0087,,,,,,,,,,,,,,,,,
,,,,,,,-0.1208,-0.6515,-0.4006,0.1748,0.0031,0.4705,-0.0941,-0.6265,-0.191,0.5892,0.5987,0.6964,0.649,0.1877,0.1125,0.425,0.5466,0.7374,1.0201,0.8543,-0.533,,,,,,,,,,,,,,,,
,,,,,,0.5569,0.0278,-0.5601,-0.2817,-0.0136,-0.1287,0.521,0.118,-0.0645,0.1516,0.9366,0.6166,0.8514,0.5248,0.8754,0.0037,0.7707,1.3136,0.5936,0.9117,0.8475,-0.2854,,,,,,,,,,,,,,,,
,,,,,,-0.2796,0.0264,-0.4983,-0.2417,0.4812,-0.064,0.1755,-0.3033,0.1235,0.7473,1.0872,1.334,1.308,0.7215,1.2377,0.4185,1.2185,0.999,1.6488,1.1918,0.8807,2.2677,,,,,,,,,,,,,,,,
,,,,,0.1034,-0.1475,-0.324,-0.5364,-0.2533,0.203,-0.1088,-0.1744,0.0463,0.572,1.5598,1.7318,1.7225,1.6891,1.5659,1.3014,0.4476,1.3571,1.3225,1.9976,0.8366,1.1273,2.182,,,,,,,,,,,,,,,,
,,,,-0.1044,-0.3745,-0.2103,-0.4359,-0.7226,-0.1879,0.5054,0.077,0.1293,0.1309,0.9512,3.0742,3.0071,1.8512,1.5761,1.7808,1.0899,1.1169,1.3605,1.4836,1.3859,0.7343,1.3908,3.2292,,,,,,,,,,,,,,,,
,,,,-0.0329,-0.4107,-0.7642,-0.6565,-0.7642,-0.1552,0.1441,-0.2065,-0.2583,0.404,1.2687,3.8795,3.8706,2.3029,1.3688,1.738,1.5485,1.4496,0.9319,1.3823,1.5893,1.1768,2.7917,1.5584,,,,,,,,,,,,,,,,
,,,,-0.5178,-0.2068,-0.5383,-0.4109,-0.2013,-0.2364,0.0526,-0.2004,-0.1256,0.9638,1.679,4.0614,3.7274,2.4468,1.4674,2.6352,1.9875,1.0766,0.6922,1.2998,1.3931,1.3714,2.5334,0.4821,,,,,,,,,,,,,,,,
,,,-0.1152,-0.6672,-0.4557,-0.8197,-0.3289,-0.0735,-0.2882,-0.0394,-0.1219,0.1754,1.081,1.9632,3.2932,3.3086,2.0513,1.6754,2.691,2.0561,1.3013,0.6565,0.9848,1.214,1.3196,1.7348,0.4359,,,,,,,,,,,,,,,,
,,,-0.1746,-0.7585,-0.1619,-0.9482,-0.232,-0.3419,-0.3382,-0.0927,0.1216,0.5856,1.2928,2.1967,2.6134,2.7921,1.7062,1.5434,1.8077,1.7016,1.6221,0.3126,0.9796,0.7252,-0.4796,-0.317,1.3161,,,,,,,,,,,,,,,,
,,0.2825,-0.0345,-0.3926,-0.6632,-0.849,-0.5279,-0.1964,-0.4061,0.032,0.4885,0.8647,1.4267,2.0551,2.2789,1.9977,1.5569,1.6495,1.2041,1.6355,1.2031,0.1486,0.8981,1.1096,-0.735,-0.248,0.8679,,,,,,,,,,,,,,,,
,,0.6876,-0.1238,-0.6286,-0.8155,-0.9298,-0.1475,0.2715,0.1433,0.4331,0.6998,0.9775,0.7767,1.4186,1.315,1.5506,1.1859,0.8814,0.4806,0.614,1.0678,-0.3192,0.5129,0.2512,-0.7027,-1.1547,0.8624,,,,,,,,,,,,,,,,
