,,,,,,,,,,,,,,,,,,,,,-0.9871,-0.8515,-0.5516,-0.1689,-0.8904,0.9116,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-1.3066,-0.8185,-1.5226,,-0.4874,-1.0804,0.1936,-0.2584,-1.8556,0.7559,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-1.1245,-1.1707,-0.2493,-1.7026,-0.14,-1.7142,-0.3596,-0.2617,-1.6131,0.974,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.6097,-0.6466,-0.8971,-0.849,-1.788,-1.4046,-1.1116,-1.3905,-0.5842,-0.0043,-1.13,0.1134,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.3188,-0.1498,-0.6759,-0.8462,-1.1531,-0.47,-1.1575,-1.311,-0.5441,-0.1648,-0.5994,-0.451,-0.9881,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.0482,-0.4359,-0.9509,-0.362,-0.9586,-1.22,-0.7263,-1.3158,-0.9508,-0.5766,-0.9497,-0.9976,-0.92,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.2807,-1.227,-0.4536,-0.6701,-0.2593,-0.3985,-0.9113,-0.9884,-0.8187,-1.4459,-0.3405,-0.4151,-0.8666,-1.2722,-0.5764,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.6908,-0.6511,0.1809,-0.2397,-0.7794,-0.3919,-0.7385,-0.6008,-0.4557,-1.2871,-0.6936,-0.5618,-1.2724,-0.7916,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.8422,-1.2164,-1.2337,-0.8033,0.1228,-0.5451,-0.4025,-0.4025,-0.3829,-0.4535,-0.4994,-1.1232,-0.6284,-0.1299,-1.0514,-0.4211,0.7952,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.6987,-1.1976,-0.7826,-0.1177,-0.0553,-0.8614,-0.5247,0.2128,0.1037,-0.3766,-0.4938,-1.0458,-0.685,-0.0842,-1.0129,-0.3838,0.9474,,,,,,,,,,,,,,,,
,,,,,,,,,-1.4752,-0.9252,-0.8372,-1.5248,-0.3344,-0.2728,0.7065,-0.1856,-0.3301,0.5057,0.2069,-0.4646,-0.3503,-1.1311,-0.2162,0.194,-1.0054,0.0538,2.2522,,,,,,,,,,,,,,,,
,,,,,,,,-0.8286,-1.4002,-1.0527,-0.6666,-1.8704,-0.1996,0.0993,0.5642,-0.0504,0.0888,0.6126,0.2404,-0.2992,-0.4851,-0.357,0.3609,0.1338,-0.4676,0.3606,1.8399,,,,,,,,,,,,,,,,
,,,,,,,-1.2934,-0.8329,-1.4435,-1.4616,-0.639,-1.613,-0.6622,-0.1087,0.4411,-0.3336,0.5443,0.4107,0.5217,-0.8006,-0.6828,-0.4761,0.7994,0.4644,0.3081,1.1303,1.1722,,,,,,,,,,,,,,,,
,,,,,,-0.9516,-0.4009,-0.6795,-1.3746,-1.2619,-0.3019,-1.2486,-0.391,-0.0353,0.5506,-0.1754,0.8349,0.877,0.4972,-0.6141,-0.673,-0.4875,0.3919,0.4317,-0.0493,0.7096,1.4221,,,,,,,,,,,,,,,,
,,,,,,-0.9454,-0.5954,-1.0683,-1.3622,-0.6987,-0.6633,-1.2941,-0.323,-0.038,0.4046,0.2514,0.5666,0.98,0.1747,-0.1006,-0.4224,-0.3929,0.5105,0.4397,0.3103,0.3602,1.992,,,,,,,,,,,,,,,,
,,,,,-0.7162,-0.6873,-0.565,-1.0266,-1.1019,-0.8189,-0.6321,-0.7735,-0.7428,-0.0958,0.9403,0.751,0.7075,1.0536,0.3281,0.266,-0.2643,-0.1647,0.213,0.1605,0.2344,0.5153,2.7291,,,,,,,,,,,,,,,,
,,,,-0.9519,-0.6617,-0.3664,-0.5053,-0.6593,-0.7212,-0.3328,-0.8487,-1.0465,-0.8981,-0.1513,0.7409,0.2719,0.5025,0.6045,0.3495,0.5385,-0.6366,-0.0157,0.4691,0.2403,-0.0664,0.1237,2.2111,3.5497,,,,,,,,,,,,,,,
,,,,-0.166,-1.3652,0.0644,-0.4813,-0.628,-0.4898,-0.4487,-0.5736,-0.88,-0.8306,0.0911,0.6202,0.3414,-0.0993,0.0018,0.1896,-0.2211,-0.4247,0.0053,0.2442,0.3265,-0.2366,0.3994,1.1131,0.399,,,,,,,,,,,,,,,
,,,,0.0915,-0.91,-0.0656,-0.4696,-0.8554,-0.3661,-0.4425,-0.5951,-0.8292,-0.7801,0.0425,0.6599,0.3161,-0.033,0.4511,0.1026,-0.1232,-0.142,0.2223,0.5121,0.238,-0.7198,0.9831,0.4776,-0.2682,,,,,,,,,,,,,,,
,,,-1.0057,-0.3709,-0.0357,0.1091,-0.4894,-0.9072,-0.1956,-0.3914,-0.5699,-0.6937,-0.3006,0.1562,0.7046,0.7137,0.6534,0.8544,0.5503,0.5563,0.7176,0.4667,0.9486,0.618,-0.0641,0.9958,0.1128,0.0824,,,,,,,,,,,,,,,
,,,-1.1499,-0.023,0.0711,-0.1754,-0.7236,-0.9416,0.0356,-0.2183,-0.2517,-0.7054,-0.0827,0.285,1.1205,1.4509,1.1891,1.3236,0.5404,0.6408,0.9218,0.9087,0.6084,0.6406,0.429,1.0182,0.3921,0.9672,,,,,,,,,,,,,,,
,,-1.0116,-0.8057,0.1095,0.126,-0.2316,-0.4216,-1.1279,-0.0429,-0.1202,-0.0357,-0.3546,-0.1118,0.2846,1.8445,1.4502,1.3875,1.4196,0.3852,0.9108,1.2113,1.6085,1.0705,0.9937,0.1742,0.5673,1.2994,1.6617,,,,,,,,,,,,,,,
,,-0.9441,-0.8748,0.0138,-0.0816,-0.512,-0.4576,-0.7965,0.0085,-0.2871,0.1143,-0.0685,0.0416,0.5875,1.9242,1.4272,1.4638,1.5048,0.6682,1.1387,0.9618,1.8637,1.1409,1.6171,0.6573,0.5949,-0.0283,2.1596,,,,,,,,,,,,,,,
,,-1.1113,-0.7429,-0.1882,-0.1285,-0.2938,-0.3356,-0.445,0.2199,0.2371,0.2091,-0.2773,0.1839,1.0247,2.5115,1.6584,1.4461,1.3952,0.824,1.2908,1.4545,1.865,2.0326,1.2608,0.0975,0.8824,-0.4659,1.4429,,,,,,,,,,,,,,,
,-0.6824,-0.8968,-0.5602,-0.3687,-0.4943,-0.0762,0.0207,-0.3494,0.603,0.3118,0.3097,0.1527,0.5668,1.33,2.4021,1.7486,2.0232,1.8371,0.6977,1.5246,2.7461,1.947,1.9384,0.6837,-0.4382,0.2314,0.5683,,,,,,,,,,,,,,,,
,-0.803,-0.5617,-0.3326,-0.5585,-0.2104,0.0891,0.0843,-0.1962,0.5696,0.4746,0.3659,0.3217,1.1535,1.5601,2.4338,1.7357,1.7549,1.9897,0.9502,1.6997,1.9035,2.3556,1.4116,0.4379,-0.5302,0.358,0.6373,,,,,,,,,,,,,,,,
,-0.9335,-0.6697,-0.4951,0.0611,-0.2319,-0.1024,0.3726,0.0688,0.1928,0.6426,0.6455,0.632,1.6004,1.8034,2.6234,1.841,1.2915,2.3422,1.4225,1.4652,1.7652,2.1077,1.3393,0.1725,-0.7506,0.2234,0.3476,,,,,,,,,,,,,,,,
,-0.4538,-0.6627,-0.4268,-0.2974,-0.4866,-0.0349,0.0156,0.1887,-0.0076,0.292,1.0219,0.8238,1.4416,2.3673,2.3202,1.5223,1.2463,1.7765,1.4847,1.4168,2.1049,2.0135,1.5436,0.0854,-1.0126,-0.2429,0.4713,,,,,,,,,,,,,,,,
,-0.6903,-0.7276,-0.5253,-0.0862,-0.346,-0.0921,0.0348,-0.0292,0.4213,0.6802,0.7948,0.9925,1.5966,2.7455,1.7288,1.3458,1.6775,1.7455,1.5253,0.795,1.7852,1.3589,1.0313,-0.0529,-0.8222,0.0965,0.4179,,,,,,,,,,,,,,,,
-0.8829,-0.6036,-0.5876,-0.0878,-0.3469,-0.4925,-0.0307,0.152,-0.2021,0.2772,0.7301,0.8612,1.1083,1.2774,2.3516,1.2255,1.6028,1.3086,1.2906,1.5711,0.5908,1.1877,0.738,0.6837,0.5099,-0.9572,-0.1175,-0.2865,,,,,,,,,,,,,,,,
-0.67,-0.5139,-0.6928,-0.0243,-0.0902,-0.3418,0.2488,0.3517,0.0587,0.2023,0.6521,0.8372,0.9944,0.9786,1.3571,0.8155,1.5022,1.1514,1.2353,1.4005,0.2505,1.0618,0.5272,0.3586,0.228,-1.3107,0.4545,-0.3214,,,,,,,,,,,,,,,,
-0.6839,-0.7768,-0.6464,-0.2606,0.2534,-0.3318,0.2286,0.35,-0.0705,-0.066,0.8114,0.6611,0.3489,0.7052,0.9418,0.5828,1.3316,1.2228,0.9428,1.196,-0.0055,0.6935,0.0226,0.1974,-0.3154,-1.1911,0.5993,-0.9041,,,,,,,,,,,,,,,,
-0.5998,-0.3771,-0.5188,-0.1392,0.3705,0.198,0.2431,0.6923,-0.2717,0.1323,0.3486,0.3342,0.2373,-0.0207,0.5922,0.5402,0.5672,0.899,0.6492,0.8053,0.267,-0.0461,-0.3666,0.451,-0.3653,-0.4966,0.3651,-0.3817,,,,,,,,,,,,,,,,
-0.8647,-0.8596,-0.2771,-0.3396,0.3142,0.376,0.0029,0.4489,0.0216,0.436,0.0227,0.118,-0.332,-0.0977,0.3781,0.3166,-0.0068,0.436,0.7519,0.8,0.0638,-0.4677,-0.3788,0.0717,-0.1746,-0.811,0.3606,0.5866,0.8436,,,,,,,,,,,,,,,
-0.8212,-0.7431,-0.5581,-0.5983,0.4145,0.4941,0.1356,0.1272,-0.1464,0.2599,0.3297,0.6189,-0.2698,-0.1432,0.4964,0.2668,-0.2798,0.1752,0.5201,0.2916,-0.2315,-0.8776,-0.447,-0.464,-0.12,-0.5252,0.4466,0.0738,0.0794,,,,,,,,,,,,,,,
-1.1098,-0.806,-0.7849,-0.4102,0.483,0.8176,0.1765,0.4828,-0.4102,0.3048,0.4867,0.58,0.0259,0.0866,0.6648,-0.0056,-0.0743,0.2423,0.2929,0.0963,-0.1712,-0.5109,-0.4705,-0.5419,-0.0379,-0.3775,0.2263,0.1202,0.4535,0.7833,,,,,,,,,,,,,,
-1.0708,-0.8426,-0.9275,-0.7291,0.422,0.6533,0.2663,0.7871,-0.3823,0.7346,1.052,0.465,0.1096,0.101,0.6606,0.1484,-0.4122,0.2193,0.1025,0.1295,-0.5048,-0.5645,-0.9213,-0.5267,-0.1764,-0.5537,0.3116,0.3397,0.747,0.6142,0.2304,,,,,,,,,,,,,
-1.023,-1.1176,-1.2045,-0.9014,0.1497,0.1337,0.4046,0.4052,-0.1976,0.4025,0.5431,0.3217,0.0891,-0.3881,0.6014,0.3139,-0.3476,0.3422,0.0118,-0.1631,-0.604,-0.4989,-0.9196,-0.2736,-0.1909,-0.1714,0.5062,0.2223,-0.2213,0.2356,-0.0279,,,,,,,,,,,,,
-1.2698,-0.9979,-1.2926,-0.9741,0.0445,0.0886,0.3337,0.3449,-0.1405,0.238,0.4728,-0.2437,-0.3324,-0.2982,0.5058,0.2717,0.0624,0.5394,0.1151,-0.3735,-0.3509,-0.2979,-0.6726,0.1128,-0.1859,0.1854,0.385,-0.0563,-0.5149,0.1168,-0.0125,-0.0755,-0.0375,,,,,,,,,,,
-1.1587,-0.9646,-0.8455,-1.2548,-0.1243,-0.0028,0.4842,0.8924,0.1752,0.401,0.763,-0.0047,-0.0768,-0.0351,0.2912,0.7192,0.3973,0.296,0.2976,-0.0541,-0.3245,-0.072,-0.4033,0.217,-0.0031,0.7454,0.8553,0.2429,0.0621,0.302,0.3655,0.3036,0.6064,,0.2791,,,3.0721,,,,,,
-1.1813,-0.7934,-0.7137,-1.1026,-0.5169,-0.627,-0.2609,0.4117,0.1242,0.1596,1.0317,0.0564,-0.0894,-0.024,0.5135,0.8873,0.9005,0.1982,0.388,-0.0251,0.358,0.0779,-0.4969,0.1271,-0.1068,0.9851,1.8847,0.8436,0.7673,1.2586,1.0426,0.5124,0.8819,0.583,-0.1136,0.8405,-1.3049,1.9546,,-2.6836,,,,
-1.1966,-0.5698,-0.6491,-1.0757,-0.8065,-0.766,-0.3142,-0.0626,-0.2922,0.6792,0.8815,0.6213,0.2999,0.1028,0.5896,0.9582,1.2278,0.5942,0.9338,0.2173,0.2502,0.3135,-0.4174,0.1385,0.0008,0.586,2.4053,1.6724,1.0176,0.9958,1.3059,2.2846,0.4883,0.6003,1.0155,0.6591,-0.8153,0.2742,-0.8652,-0.7497,-0.5342,,,
-1.1186,-0.7239,-1.1843,-0.9453,-0.8283,-0.663,0.069,0.028,-0.4869,-0.1621,0.5273,0.529,0.5898,0.4926,0.761,0.8318,0.6623,0.4946,1.1011,0.2477,0.447,0.2573,0.0951,0.7354,0.2035,0.3091,1.983,1.8141,1.2539,1.4843,1.3106,2.7786,0.877,1.4575,0.9257,1.163,-0.3399,0.2407,-0.2875,-0.7466,-2.4907,0.2243,1.1942,
-1.4021,-1.1124,-1.0344,-0.8146,-0.3817,-0.4363,0.0866,-0.354,-0.3108,-0.593,0.1264,0.2605,0.4616,0.7733,0.7435,0.9164,0.4204,0.2516,1.088,0.2886,0.2983,0.2892,0.3036,1.194,0.1371,0.4553,1.8362,1.4419,1.4842,1.9778,1.1998,2.8056,0.1001,1.5584,1.6153,0.596,0.5214,1.1356,0.8325,-1.4179,-1.2803,-0.2818,0.6619,
-1.3293,-1.2556,-1.0075,-0.6384,-0.1992,-0.2831,-0.0085,-0.1381,-0.6579,-0.6631,-0.2479,-0.0137,0.1748,0.7466,1.038,1.0053,0.3608,0.6143,0.4939,0.4706,0.2382,0.3161,0.4509,1.5864,0.3638,1.0092,1.4365,1.5463,1.5324,2.3745,1.6155,2.4761,1.0022,1.3464,2.1361,0.9399,1.1701,1.6475,0.8544,-1.3321,-1.6616,0.3788,1.4898,
-1.1319,-1.1994,-0.9305,-0.6553,-0.4123,-0.1763,-0.1679,-0.1225,-0.4738,-0.6572,-0.0994,-0.3194,-0.0945,0.2967,0.8173,0.7344,0.4032,0.7677,0.2434,0.4529,-0.2096,0.1732,0.4082,1.3596,0.79,1.9066,2.1553,1.8536,1.5136,2.3651,1.8289,1.9408,1.1914,0.7307,1.4827,2.3698,1.4558,2.1969,1.3476,-0.0644,-1.4304,-1.5258,0.0144,
-1.1845,-0.7451,-0.9085,-0.5166,-0.5542,-0.1886,-0.1777,-0.041,-0.408,-0.4995,-0.1047,-0.4598,-0.2456,-0.2894,0.425,0.6746,0.4654,0.8915,0.6613,0.1427,-0.4002,0.3402,0.4986,0.9863,1.2312,2.2476,2.9262,2.1861,1.3339,1.9585,1.4841,1.6829,0.8186,-0.0731,0.6203,2.2642,2.4935,2.0693,1.9995,0.3758,-0.4543,-0.9979,-0.0083,1.7932
-1.0866,-0.7111,-1.0177,-0.3746,-0.5255,-0.2113,-0.1856,-0.2048,-0.5393,-0.2327,-0.2103,-0.5638,-0.3062,-0.1939,0.2258,0.4838,0.2458,0.8653,1.2196,-0.0116,-0.3449,-0.1171,0.402,0.9146,1.3246,2.1064,3.1405,2.3827,1.4433,1.8589,1.5464,1.4291,0.7811,-0.4258,-0.1516,1.4484,2.8122,2.1734,1.5663,0.7587,-0.0113,-0.9251,-0.8435,0.0696
,-1.132,-0.6714,-0.4946,-0.4823,-0.1385,-0.2811,-0.0152,-0.5787,-0.2995,-0.2875,-0.3621,-0.3201,-0.3436,-0.1588,0.5386,-0.0691,0.4493,1.5238,-0.0432,-0.2586,-0.3979,-0.0193,0.5692,1.0173,1.6645,2.8038,2.2802,1.4363,1.6392,1.6253,1.6196,0.6786,-0.4488,-0.3803,0.3226,2.0905,1.9661,0.9149,0.4756,-0.3596,-0.5811,-1.0473,-0.606
,-0.9987,-0.9771,-0.6344,-0.6721,-0.2495,-0.4386,-0.0451,-0.4613,-0.4762,-0.2554,-0.5188,-0.4427,-0.3904,-0.1872,-0.0251,-0.0464,0.5238,0.8066,0.1378,-0.2586,-0.4374,0.0064,0.4269,0.4794,1.0714,2.2016,2.0149,1.1402,1.5126,1.6733,1.5101,0.652,-0.2014,-0.1621,-0.0946,0.9672,0.8938,0.6594,0.0354,-0.754,-0.5055,-0.0804,-0.6652
,-0.669,-0.7833,-0.5544,-0.4836,-0.3572,-0.3928,-0.1208,-0.4381,-0.2993,-0.3015,-0.5538,-0.3433,-0.4607,-0.382,-0.1752,-0.117,0.2465,0.1466,-0.0184,-0.4232,-0.3816,0.2531,0.2891,0.4818,0.7217,1.7316,1.437,0.6436,1.3356,1.3255,1.363,1.0538,-0.0282,0.054,-0.1871,0.252,0.6825,0.6378,-0.0991,-0.9895,-0.4667,-0.3577,-1.3764
,-0.9982,-0.8206,-0.6466,-0.6038,-0.1591,-0.2383,-0.264,-0.5064,-0.203,-0.1156,-0.5874,-0.3793,-0.3888,-0.3176,-0.1986,-0.1143,0.2794,-0.1632,-0.3259,-0.258,-0.5129,-0.1362,0.4459,0.1499,0.5481,1.3546,1.3779,0.7065,0.8296,1.1203,1.0062,1.1238,-0.262,-0.0896,0.0768,-0.4043,0.4487,0.3239,0.1387,-0.4407,-0.6025,-1.0857,-1.6199
,,-0.9599,-0.7756,-0.4008,-0.361,-0.1702,-0.084,-0.3566,-0.1676,-0.1966,-0.6216,-0.34,-0.4086,-0.2698,-0.0872,-0.4166,0.024,0.0737,-0.2601,-0.2156,-0.7719,-0.4545,0.2896,-0.0639,0.4481,0.8722,0.9474,0.419,0.2816,0.6826,0.8053,0.8626,-0.4461,-0.3304,-0.1586,-0.2697,0.4235,0.1583,0.1705,-0.2096,-0.29,-0.4513,-1.0918
,,-0.9194,-0.7238,-0.721,-0.2265,-0.2278,-0.0459,-0.5561,-0.2044,-0.317,-0.4496,-0.304,-0.456,-0.5685,-0.2217,-0.5376,0.139,0.1432,-0.3996,-0.3507,-0.7371,-0.5183,0.2208,-0.2218,0.3498,0.5695,0.6473,0.0651,0.4182,0.2034,0.5991,0.4907,-0.0499,-0.238,-0.0741,-0.2729,0.5752,0.2286,-0.0723,-0.3051,-0.2893,-0.1313,-0.6082
,,-0.4656,-0.9137,-0.4361,-0.0818,-0.338,-0.1483,-0.5329,-0.3127,-0.2013,-0.4322,-0.1981,-0.4435,-0.4305,-0.1419,-0.2866,-0.166,0.2571,-0.3668,-0.3082,-0.4966,-0.7114,0.2842,-0.0647,0.2529,0.4463,0.2646,-0.1815,0.2794,0.087,0.257,0.2637,0.161,0.0733,0.1096,-0.1276,0.6709,0.3391,0.0623,-0.2456,-0.1205,0.0563,-0.194
,,-1.1111,-1.1929,-0.2972,-0.2058,-0.3527,-0.2593,-0.6029,-0.4023,-0.3316,-0.3726,-0.329,-0.4472,-0.0902,-0.1357,0.0343,0.1103,0.1826,-0.334,-0.4058,-0.4184,-0.6978,-0.0165,-0.2184,0.0914,0.1875,-0.0558,-0.251,0.2801,-0.1839,0.2251,0.4945,0.0617,0.2387,0.4119,-0.2513,0.3467,0.1601,-0.1605,-0.1427,0.4156,0.3203,0.3258
,,,-1.3972,-0.9477,0.1065,-0.3303,-0.2878,-0.5669,-0.3356,-0.5121,-0.368,-0.3286,-0.4669,0.0711,-0.1312,0.5272,0.3052,0.2471,-0.3667,-0.4664,-0.6156,-0.8359,-0.1912,-0.4903,-0.1325,0.02,-0.1775,-0.3583,0.1731,-0.1332,0.3002,0.1383,0.1535,0.1406,0.3624,-0.0495,0.1661,-0.0553,-0.3628,-0.4886,0.4938,0.2181,0.0069
,,,-1.3747,-1.2508,-0.4468,-0.3657,-0.4872,-0.4784,-0.5892,-0.6208,-0.5158,-0.6128,-0.4623,-0.1678,-0.1237,0.1386,0.1866,0.2836,-0.2885,-0.2829,-0.8064,-0.9757,-0.3277,-0.7328,-0.1478,-0.0731,-0.248,-0.5224,-0.0265,-0.0847,-0.0004,-0.0673,0.21,0.1496,0.3237,0.1259,-0.0924,0.0886,-0.1675,-0.5154,0.2921,0.384,-0.2305
,,,-1.2154,-1.4139,-0.9932,-1.9136,-0.3601,-0.5003,-0.701,-0.8296,-0.4616,-0.6815,-0.5131,-0.6547,-0.1219,-0.2096,0.2735,0.4037,-0.2768,-0.402,-0.5852,-0.7341,-0.1983,-0.8031,-0.4374,-0.3448,-0.1083,-0.5272,-0.2402,-0.1894,0.0036,-0.016,-0.3501,-0.2204,0.2611,0.1085,0.2004,0.1216,-0.5071,-0.4401,0.2304,0.0916,0.0799
,,,,-1.2322,-1.1721,,-0.7685,-0.5452,-0.5129,-0.7025,-0.3062,-0.5035,-0.461,-0.6224,-0.3676,-0.2021,0.0805,0.5252,-0.1829,-0.3206,-0.1853,-0.7321,-0.1681,-0.6927,-0.3476,-0.2335,0.2726,-0.3606,-0.2628,-0.2265,-0.3417,0.013,-0.596,-0.2841,0.0795,0.0124,0.1705,0.0749,-0.6232,-0.6479,-0.1618,-0.5374,0.1266
,,,,-0.8985,-0.8493,-0.0003,-0.9337,-0.7955,-1.0143,-1.0198,-0.4746,-0.6921,-0.4934,-0.8952,-0.3457,-0.6987,-0.1788,0.4368,-0.1911,-0.3695,-0.3504,-0.7519,-0.3109,-0.3618,-0.2507,-0.2212,0.1898,-0.3544,-0.2271,-0.0953,-0.0841,0.026,-0.4202,-0.4186,-0.0744,0.1197,0.2424,-0.1359,-0.5833,-0.3928,-0.2958,-0.2251,-0.2482
