,,,,,,,,,,,,,,,,,,,,,0.2323,0.3281,-0.3843,0.1527,-0.9134,-1.0857,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.0588,0.3319,-0.3798,0.4879,0.0157,0.2214,0.8714,0.1346,-0.9693,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.3697,-0.4805,-0.6062,0.1673,-0.4141,-0.1665,0.6909,0.0776,-1.3414,-1.5416,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.5677,-1.0996,-0.3697,0.1971,-0.2395,-0.7599,-0.436,-0.8945,0.7518,-0.2447,-1.1867,-0.2976,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.1591,1.1184,0.0363,-0.5286,-0.8642,-1.0884,-0.4122,0.3942,0.2937,-0.3992,-0.4795,0.34,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.932,0.6422,0.4308,-0.3523,-0.7518,-0.7711,0.2246,0.5576,0.2954,0.0424,0.0951,-0.0732,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.1997,0.0783,0.6815,-0.1805,0.2007,-0.6532,-0.6583,-0.4366,0.3949,0.0786,0.3527,0.0385,0.6864,-0.5606,0.2603,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.2924,1.2723,0.3811,-0.1687,-0.267,-0.1238,0.1131,0.44,0.891,0.7876,0.4697,0.0126,0.386,0.281,0.4284,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.0833,-0.5271,0.2845,-0.6619,-0.6092,-0.046,0.1132,0.5996,0.1108,0.7839,1.2894,0.993,0.2727,0.101,-0.0557,0.4586,-0.2605,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.1317,0.3847,-0.1017,-0.053,0.162,0.0309,0.9359,0.6333,0.8882,0.7021,1.4707,0.8126,0.3756,0.105,1.0356,0.8214,0.5946,,,,,,,,,,,,,,,,
,,,,,,,,,-0.2982,-0.2933,-0.2269,0.1596,0.1309,0.7154,0.1709,0.1413,0.832,0.6586,0.9341,1.0965,1.9408,1.0278,0.1091,0.8946,0.8711,1.1395,0.5375,,,,,,,,,,,,,,,,
,,,,,,,,,0.6535,-0.8203,0.1964,-0.062,-0.1939,0.3764,0.2494,0.7332,1.521,1.7259,1.6866,1.9575,1.156,1.1676,0.7416,1.4438,1.1485,1.5401,1.1236,,,,,,,,,,,,,,,,
,,,,,,,-0.4837,-1.3138,-1.0268,-0.7997,-0.316,-0.3055,-0.1012,-0.0605,0.4146,0.7568,2.4874,2.0958,1.8435,1.6261,1.5933,0.7384,1.1123,1.4148,1.8069,1.6761,2.6784,-0.2392,,,,,,,,,,,,,,,
,,,,,,-0.7516,0.8586,-0.8851,-0.8467,-0.4947,-0.0709,-0.1266,-0.0401,-0.1082,1.0664,0.9973,2.3737,1.8149,1.3933,1.3997,1.7696,1.2076,1.5654,2.1097,1.8436,1.003,1.4753,0.4506,,,,,,,,,,,,,,,
