,,,,,,,,,,,,,,,,,,,,,-0.1274,-0.7341,-0.8547,-0.3414,-2.2076,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.9643,-0.2212,0.4533,-0.6908,0.2253,0.6457,0.2283,0.0193,-1.0123,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.6596,-0.5699,-1.2344,-0.4623,-0.0193,0.6548,-0.3133,-0.1516,-0.6359,-0.8843,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.5979,-0.8851,-0.2266,-1.1426,-0.7006,-0.7896,0.2427,-0.7586,0.6058,0.3533,-0.1815,0.028,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.1911,-0.004,-0.0618,-0.167,-0.5681,-0.4872,-0.2756,-0.2954,0.1499,-0.2472,-0.068,-1.1891,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.5324,-0.2847,-0.7482,-0.2642,-0.6744,0.2138,0.4001,-0.0505,-0.0212,-0.3406,0.4563,-0.1973,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.4533,-0.1722,-0.908,-0.0427,0.0536,-0.8166,-0.452,-0.5293,0.3367,0.0215,-0.2922,-0.6402,0.8303,-0.8421,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.975,-0.7535,-0.6658,0.2665,-0.3688,-0.1929,-0.6443,-0.6032,-0.2847,0.1639,-0.0397,-0.8736,-0.4369,-0.1893,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.0544,0.1558,-0.5584,-0.0072,-0.775,-0.0988,-0.721,-0.221,-0.4523,-1.2395,0.0292,-0.3429,0.0169,-0.9535,-0.0101,-0.0436,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.0555,0.0158,-0.359,-0.1925,-0.8428,0.0813,-0.6511,-0.6016,-0.1776,-0.6503,-0.1282,-0.1134,-0.3195,-0.5082,-1.3052,-0.7411,,,,,,,,,,,,,,,,,
