,,,,,,,,,,,,,,,,,,,,,0.3511,-0.203,0.1599,-0.0083,-0.4461,-0.7512,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.6836,1.1898,1.1197,0.868,1.4738,-0.37,-0.3682,-0.1588,-1.0823,-0.8878,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2.0522,0.8451,0.2143,0.1724,1.2278,-0.2783,-0.1967,0.0393,-1.6937,-0.4182,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.4118,1.8162,1.583,0.3571,0.0014,0.7932,0.2549,0.2309,-0.2146,-0.6477,-0.4122,-1.1133,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4.593,2.436,1.209,0.3286,0.1986,1.2945,0.3527,0.0836,-0.4046,-1.2037,-0.0835,-0.9267,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4.0311,1.9756,2.1443,0.911,-0.0537,-0.3966,-0.116,0.1924,-0.2631,-0.6607,0.0791,-0.8541,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.9102,1.6211,2.7486,1.7498,1.7486,1.5686,-0.3512,0.324,0.0235,-0.3776,-0.4214,-1.1086,-0.7415,-1.5395,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.6299,3.1039,1.7943,1.1632,0.9927,1.5105,-0.0004,0.2504,-0.0296,-0.2046,0.7949,-1.1574,-1.1866,-2.0316,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.6387,0.9072,4.6761,2.6553,2.094,1.7502,1.1397,0.0942,0.0607,0.0804,-0.1716,-0.0124,0.0368,-0.8073,-0.5666,-1.1205,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.4747,1.6509,3.2366,3.3662,2.0699,1.3544,0.2023,0.1983,0.4158,-0.0103,0.3732,0.3629,0.1728,-0.225,-0.7967,-0.7795,,,,,,,,,,,,,,,,,
,,,,,,,,,0.4189,0.9096,0.5985,1.7653,3.0391,2.9696,1.6114,0.3867,0.4039,-0.0306,0.8169,0.1546,0.2989,0.5378,1.2611,0.6126,-0.664,-0.5513,0.7143,,,,,,,,,,,,,,,,
,,,,,,,,0.4221,0.2995,1.9409,0.6205,1.7511,1.7445,1.6983,1.1681,-0.2306,0.6089,-0.4458,0.9924,0.3877,0.3286,0.234,1.234,0.3343,-0.3626,-0.3932,,,,,,,,,,,,,,,,,
,,,,,,,0.1795,0.2297,0.4401,1.296,0.774,0.7525,1.7717,1.0408,0.6856,0.8138,0.7499,-0.1662,0.1439,0.0023,1.1196,0.5626,0.5274,-0.0615,-0.3479,1.0604,,,,,,,,,,,,,,,,,
,,,,,,0.1081,-0.2225,0.0226,0.2732,0.779,0.3684,0.5753,1.4007,1.1771,0.5029,0.8384,0.3451,-0.3143,-0.1742,0.5929,0.5901,0.9882,0.7778,-0.0628,0.8421,0.9856,,,,,,,,,,,,,,,,,
,,,,,,0.1046,-0.3722,-0.4598,0.1941,1.5174,-0.0493,0.2218,1.0833,0.4501,1.0247,0.8792,-0.1213,-0.3783,0.1107,0.5823,0.7645,0.8536,0.4207,-0.184,1.0606,1.0615,,,,,,,,,,,,,,,,,
,,,,,0.0863,-0.1405,-0.8044,-0.1067,0.4039,3.2545,-0.1607,-0.2069,0.2272,0.271,1.5731,0.5693,-0.8085,0.3504,-0.4782,0.721,-0.2548,0.7297,0.3709,0.2998,1.5851,1.123,-0.9954,,,,,,,,,,,,,,,,
,,,,-0.5736,0.2513,-0.2031,-0.4187,-0.2108,0.4795,2.1426,-0.3551,-0.3722,0.1218,0.0733,0.8849,-0.0583,-0.5236,-0.219,0.1959,0.1476,0.6556,0.7465,0.4258,0.3358,0.9104,0.8363,-1.1649,,,,,,,,,,,,,,,,
,,,,-0.5395,-0.289,-0.5393,-0.4532,1.4099,0.6826,1.4759,-0.295,0.0083,-0.2026,-0.1984,0.9157,0.9423,-0.0106,-0.65,-0.6461,0.0734,1.2683,1.122,0.7306,0.114,0.4335,0.6269,,,,,,,,,,,,,,,,,
,,,,-0.296,-0.3756,0.0771,-0.0386,1.6402,0.4066,0.264,-0.9159,-0.0026,0.5977,0.0495,0.4589,0.1029,1.0438,-0.3911,-0.9584,0.0093,0.7697,0.6739,0.4984,-0.8599,0.4408,0.1962,,,,,,,,,,,,,,,,,
,,,-0.5083,0.0007,0.0765,0.2625,0.8066,0.3335,-0.3574,-0.1615,-0.6206,-0.1212,0.1979,0.1436,0.2978,-0.2697,0.3825,0.1084,-0.9364,-0.4991,0.3097,-0.2022,0.4615,-0.6254,-0.1056,0.5584,,,,,,,,,,,,,,,,,
,,,-0.3337,0.4,0.0747,0.1906,1.8928,-0.9335,-1.2992,-0.4899,0.0002,-0.3701,-0.5085,-0.4985,0.0339,-0.3176,-0.5897,-0.3656,-0.7042,-0.964,0.1816,0.8679,0.3113,-1.3504,0.1579,0.7273,,,,,,,,,,,,,,,,,
