,,,,,,,,,,,,,,,,,,,,,-1.3799,-1.2229,-0.6239,-0.728,-0.8942,-1.2835,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.5388,-0.783,-0.8713,-0.9571,-0.8586,-1.1229,-0.9919,-1.1246,-2.1476,-1.5326,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.1763,-0.7649,-0.5601,-0.8752,-0.9747,-0.9619,-0.5216,-1.0442,-1.2082,-1.184,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.3072,-0.7,0.148,-0.5718,-0.5652,-1.0233,-0.8973,-0.7609,-0.8274,-0.9481,-1.0713,-1.0749,-1.1666,-0.489,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.2928,-0.8647,-0.0873,-0.5894,-0.9147,-0.7446,-0.7165,-0.7427,-0.7877,-0.3173,-0.8845,-0.3284,-1.0661,-0.4947,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.8396,-0.3034,-0.5319,-0.5328,-0.3508,-0.4466,-0.5693,-0.5425,-0.5987,-0.3309,-0.8408,-0.5813,-0.4538,-0.7919,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.6508,-0.3537,-0.7722,-0.3622,-0.6956,-0.7515,-0.2837,0.2911,-0.5049,-0.6092,-0.172,0.0723,-0.7351,-0.2904,-0.301,-0.3216,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.5797,-0.6038,-0.6942,-0.3536,-0.4034,-0.3211,0.7935,0.7469,-0.1793,-0.1917,-0.3421,-0.0731,-0.2408,-0.5885,-0.2866,-0.8161,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.3949,-0.8916,-0.6823,-0.699,-0.5011,-0.2486,-0.0556,0.2011,1.3166,0.559,-0.0528,0.1117,-0.19,-0.0578,-0.2433,-0.7282,-0.3461,-0.1763,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.6561,-0.7076,-0.5221,-0.3572,-0.4323,-0.0216,0.2146,0.4992,1.2573,0.746,0.5329,0.509,0.005,-0.1269,-0.0243,-1.007,-0.5666,-0.0005,,,,,,,,,,,,,,,
,,,,,,,,,-0.5372,-0.7975,-0.4322,-0.6466,-0.1687,-0.0636,-0.3824,0.0728,0.4895,0.9586,1.1971,1.2244,0.8584,0.9202,-0.0058,-0.0976,-0.0524,-0.8552,-0.2628,0.6098,,,,,,,,,,,,,,,
,,,,,,,,-0.7676,-0.1429,-1.1817,-0.206,-0.5974,-0.0668,0.2389,-0.1727,-0.0116,0.9453,1.4221,1.6734,1.8472,1.1982,0.7945,0.0685,-0.2092,-0.1496,-0.5888,0.4336,-0.2662,,,,,,,,,,,,,,,
,,,,,,,-1.0235,-0.6408,-0.3924,-0.8769,0.1231,-0.1093,-0.3382,0.4631,-0.2021,0.2045,1.2256,1.9012,2.115,2.3288,1.1977,0.7273,0.2025,-0.0502,-0.2822,0.4226,0.1919,-0.2496,,,,,,,,,,,,,,,
,,,,,,-0.4659,-1.2966,-0.3461,-0.2109,-0.2211,0.0431,0.4048,-0.2173,0.4033,0.1214,0.5379,1.6498,1.9406,1.9057,2.0046,1.4183,0.701,0.3724,0.4854,-0.2718,0.0477,-0.1548,-0.1604,,,,,,,,,,,,,,,
,,,,,,-0.5707,-0.95,-0.4716,0.1628,-0.2336,0.5576,0.9215,-0.8683,0.0522,0.2934,0.8943,1.5378,1.6218,1.5427,2.0667,1.4131,1.3068,0.7532,0.7847,0.1936,0.2188,-0.2221,-0.2282,-0.1644,,,,,,,,,,,,,,
,,,,,-0.1659,-0.8872,-0.811,-0.2659,0.2546,-0.0238,0.5296,0.3008,-0.6083,-0.0356,0.4416,1.0892,1.3371,1.4911,1.3076,1.495,1.4479,1.383,0.4452,1.1985,0.3276,0.0566,-0.0246,-0.0668,-0.7934,,,,,,,,,,,,,,
,,,,-0.3385,-0.0671,-0.4771,-0.5007,0.1153,0.4456,0.2072,0.172,0.1152,-0.7503,-0.2768,0.6164,0.7777,0.8802,1.1044,1.1186,1.3628,1.6084,1.614,0.8337,1.4236,0.3071,0.0919,0.092,0.0026,-0.5394,,,,,,,,,,,,,,
,,,,-0.1455,-0.5423,-0.5394,-0.2267,0.3977,0.8753,0.1692,-0.219,-0.2092,-0.2953,-0.18,0.5163,0.5438,0.6711,0.9848,1.1119,1.247,1.812,1.7656,1.028,1.4591,0.651,-0.3314,-0.0364,-0.5537,-0.6458,,,,,,,,,,,,,,
,,,,0.3184,-0.432,-0.3327,-0.0986,0.3177,0.375,-0.2634,-0.2705,-0.1637,-0.0344,0.1364,0.6524,0.4672,1.151,1.0242,0.895,1.0448,1.33,2.0429,1.053,1.1032,0.5966,-0.6503,-0.6366,-0.7808,,,,,,,,,,,,,,,
,,,-0.348,-0.0579,-0.6363,-0.1741,-0.1498,0.312,0.0971,-0.3507,-0.3444,-0.0807,0.2062,0.3941,0.6262,0.7468,0.9559,1.1038,1.3516,1.2798,1.4055,1.7597,0.7986,1.13,0.0092,-0.5813,-0.7803,-1.0516,,,,,,,,,,,,,,,
,,,-0.1616,-0.1793,-0.2045,-0.1751,-0.1507,0.2076,0.0178,-0.4646,-0.1954,-0.0348,0.7381,0.6152,0.9956,1.2217,0.7829,0.8039,1.5328,2.0429,1.5289,1.0936,0.6973,0.8951,-0.4279,-0.3491,-0.8874,-0.7649,,,,,,,,,,,,,,,
,,0.7931,-0.1785,-0.19,0.0826,-0.1504,-0.1176,-0.1002,-0.1014,-0.1167,0.0595,0.341,0.9524,0.7857,1.1272,1.1918,0.8519,1.1472,0.9471,1.7004,1.3966,0.7236,0.8837,0.3023,-0.3979,-0.3352,-0.7743,-0.7257,,,,,,,,,,,,,,,
,,0.9604,0.1544,-0.053,0.0449,0.0484,0.213,0.0329,0.2666,-0.0938,0.49,1.0549,0.9419,1.1966,1.1889,0.9427,0.5236,0.9799,0.5956,0.6714,0.9671,0.5256,0.5281,-0.2685,-1.1044,-0.7711,-0.983,-1.1425,,,,,,,,,,,,,,,
,,1.2654,0.3677,0.4572,0.4569,0.6486,0.7122,0.4901,0.6145,0.0515,0.5636,0.8217,0.8198,1.1948,1.0444,0.7326,0.861,0.9617,0.1403,0.0607,0.7171,0.6848,0.6839,-0.3952,-0.6462,-1.2636,-0.8135,-1.8723,-4.1037,,,,,,,,,,,,,,
,1.1613,1.645,0.3527,0.7531,1.0849,0.9007,1.0571,0.5444,0.3012,0.293,0.5547,0.9299,0.5693,1.0507,0.8698,0.7089,0.9207,0.8891,0.1516,0.4387,1.2065,1.1419,0.5405,-0.3556,-0.4296,-0.8696,-1.0246,-2.1246,-5.1081,,,,,,,,,,,,,,
,1.6394,1.1521,0.1445,0.8241,1.3346,1.0522,0.9074,0.6659,0.4645,0.4549,0.6647,0.8926,0.7406,1.173,0.8346,0.8038,1.1658,1.0269,0.2778,0.4871,1.1351,1.0696,0.5131,-0.2873,-0.69,-0.8923,-0.8474,-1.7556,-2.8813,,,,,,,,,,,,,,
,1.831,0.9893,0.1976,1.1132,1.1709,0.7968,0.6355,0.5386,0.4357,0.587,0.6646,0.8855,0.4798,0.9485,0.6067,0.5429,0.93,0.9497,0.8407,0.7666,0.769,0.8514,0.4141,-0.2923,-0.9251,-1.0746,-0.9428,-0.615,-0.0711,,,,,,,,,,,,,,
,1.755,0.4466,0.2349,1.1999,0.712,0.3013,0.3242,0.191,0.5301,0.5455,0.3306,0.9271,0.431,0.6812,0.212,0.3535,0.7855,0.7968,1.0514,0.8189,0.7808,0.8754,0.2493,-0.5163,-0.9192,-0.884,-0.9204,-0.3168,,,,,,,,,,,,,,,
,1.3962,0.5135,0.1568,0.8217,0.335,-0.1654,-0.1349,0.0596,0.7348,0.4429,0.5646,0.8741,0.4701,0.3887,0.2362,0.2676,0.803,0.8548,1.0069,0.5654,0.5653,0.3352,0.2233,-0.5107,-0.7296,-0.9936,-1.5673,,,,,,,,,,,,,,,,
0.8141,1.2047,-0.1615,0.2168,0.2911,0.1555,-0.5011,-0.3729,0.1743,0.5143,0.1784,0.5807,0.6675,0.4301,0.3199,0.0569,0.1519,0.4313,0.6281,1.249,0.7282,0.3246,0.023,-0.0651,-0.4501,-0.8398,-0.8049,-1.6675,,,,,,,,,,,,,,,,
0.9884,0.7446,-0.2796,0.2463,-0.1754,-0.2314,-0.4081,-0.5791,0.4987,0.4678,0.3078,0.3597,0.3438,0.0314,0.2176,-0.2977,0.0124,0.2416,0.3488,0.8921,0.6559,0.281,-0.0287,-0.2215,-0.6451,-0.8773,-1.2506,-1.8933,,,,,,,,,,,,,,,,
1.4126,0.2852,-0.1372,-0.1901,-0.624,-0.2729,-0.4975,-0.3765,0.0856,0.1316,0.0867,0.2026,0.1079,-0.2122,0.1,-0.5403,-0.1412,-0.0744,0.012,0.3953,0.3208,0.3573,0.0266,-0.2897,-0.6716,-0.9261,-1.197,-2.1628,,,,,,,,,,,,,,,,
0.6996,0.059,-0.3405,-0.3153,-0.0923,-0.615,-0.4656,-0.5704,-0.1893,-0.1582,-0.2643,0.1191,0.203,-0.3444,-0.1013,-0.5452,-0.1758,-0.3848,-0.2564,0.129,0.0345,0.1994,0.0333,-0.6138,-0.7406,-1.0065,-1.2909,-2.6221,,,,,,,,,,,,,,,,
0.6262,-0.1018,-0.5808,-0.213,-0.1826,-0.6838,-0.551,-0.6156,-0.3456,-0.1776,-0.348,0.2268,0.0544,-0.2792,-0.3224,-0.4261,-0.1935,-0.4564,-0.2738,0.0233,-0.3939,-0.1609,-0.2172,-0.727,-0.8222,-0.9712,-1.3827,-1.8856,,,,,,,,,,,,,,,,
0.7053,-0.021,-0.5532,-0.3823,-0.4566,-0.8419,-0.5656,-0.6677,-0.3415,-0.3296,-0.6066,0.1622,-0.1976,-0.2828,-0.2324,-0.6223,-0.1032,-0.3912,-0.4124,-0.3237,-0.6009,-0.5195,-0.5522,-1.0832,-0.8976,-1.1443,-0.9511,-1.767,,,,,,,,,,,,,,,,
0.1793,-0.185,-0.7096,-0.4924,-0.5386,-0.7413,-0.4826,-0.8021,-0.4723,-0.3188,-0.5686,-0.1082,-0.2992,-0.2362,-0.1457,-0.3971,-0.0824,-0.4138,-0.4974,-0.6179,-0.7117,-0.4417,-0.4767,-0.8562,-1.2846,-1.0159,-0.6523,-0.5582,-0.969,,-0.9866,-2.2207,,,,,,,,,,,,
-0.032,-0.2234,-0.6677,-0.8578,-0.6396,-0.588,-0.5629,-0.7186,-0.4176,-0.4784,-0.5837,-0.2336,-0.2987,-0.3306,-0.0349,-0.2326,-0.279,-0.366,-0.2832,-0.6176,-0.7425,-0.6279,-0.3573,-0.8349,-1.1797,-0.8385,-0.8086,-1.0683,-1.1238,-1.7494,-0.8756,-3.2636,,,,,,,,,,,,
0.0573,-0.3091,-0.6754,-0.8032,-0.4512,-0.3319,-0.5736,-0.7104,-0.5265,-0.4777,-0.6594,-0.398,-0.2351,-0.5711,-0.0478,-0.3388,-0.5332,-0.3064,-0.2735,-0.7218,-0.8449,-0.337,-0.4824,-0.775,-0.8611,-0.845,-0.7596,-0.8433,-0.6573,-0.8249,-0.4482,-2.0188,,,,,,,,,,,,
0.1092,-0.2452,-0.4744,-0.6967,-0.2576,-0.2971,-0.6593,-0.6986,-0.6386,-0.6983,-0.779,-0.3659,-0.3808,-0.5319,-0.1338,-0.5844,-0.5861,-0.4856,-0.5731,-0.6256,-0.8177,-0.3648,-0.304,-0.7158,-0.7358,-0.8306,-0.6457,-0.3883,-0.3603,0.0711,-0.5568,-1.431,,,-4.2306,,,,,,,,,
-0.3426,-0.6112,-0.5143,-0.8416,-0.2438,-0.3391,-0.7436,-0.8432,-0.8946,-0.8276,-0.9916,-0.4008,-0.4028,-0.8085,-0.3996,-0.6035,-0.6216,-0.4588,-0.6029,-0.616,-0.7035,-0.3107,-0.1007,-0.404,-0.5184,-0.6421,-0.5204,-0.3376,-0.4333,-0.7256,-0.2285,-0.7754,-1.5922,,-2.1401,,,,,,,,,
-0.5017,-0.7478,-0.6879,-0.7596,-0.5576,-0.5106,-0.6152,-0.7655,-0.6219,-0.8169,-1.0301,-0.5331,-0.4492,-0.89,-0.367,-0.658,-0.6597,-0.4642,-0.3998,-0.3778,-0.4132,-0.2005,-0.1144,-0.2315,-0.2194,-0.5729,-0.3099,-0.0869,-0.2002,-0.1333,0.1056,-0.2913,-0.5976,-0.2468,-0.9282,-1.3128,-1.0471,,-3.1682,,,,,
-0.9037,-0.8828,-0.617,-0.6797,-0.3261,-0.3731,-0.5937,-0.7638,-0.6793,-0.6462,-1.0019,-0.713,-0.5528,-0.9447,-0.5085,-0.5866,-0.5114,-0.1364,-0.2876,-0.2497,-0.384,-0.2573,-0.2023,-0.1541,-0.2008,-0.5611,-0.2163,0.1108,-0.0208,0.4929,0.3929,0.0234,-0.3218,-0.5653,-0.757,-0.3178,-0.4526,-2.4976,-2.0632,-1.6444,,,,
-0.713,-0.9176,-0.8711,-0.7596,-0.2365,-0.4256,-0.545,-0.8096,-0.7962,-0.9215,-0.9342,-0.7102,-0.5811,-0.9471,-0.692,-0.5231,-0.6631,-0.097,-0.095,-0.2779,-0.3133,-0.2774,0.1442,-0.1527,-0.2432,-0.3817,-0.2917,0.3006,0.3533,0.6492,0.9204,0.2704,-0.4122,-0.3295,-0.2907,-0.2938,-0.0075,-1.0549,-0.9617,-1.2208,-2.2319,,,
-0.6368,-0.9346,-0.7546,-0.8373,-0.3372,-0.6229,-0.5338,-0.553,-0.7034,-0.9051,-0.9379,-0.668,-0.5646,-0.9734,-0.7372,-0.5347,-0.7104,-0.2709,-0.2167,-0.1605,-0.1933,-0.0734,-0.0524,-0.0177,-0.486,-0.1486,-0.231,0.2192,0.4391,0.5692,0.8172,0.2897,-0.0406,0.0769,0.1619,0.2712,0.3194,-0.5123,-0.3618,-0.4968,-0.936,-3.7424,,
-0.589,-0.8921,-0.674,-0.7063,-0.3212,-0.5584,-0.6352,-0.5401,-0.5234,-0.839,-0.9626,-0.6926,-0.6701,-0.7566,-0.6512,-0.5097,-0.6951,-0.3434,-0.2897,-0.1526,-0.2078,0.2886,-0.0609,-0.0243,-0.4171,0.1111,-0.1872,0.2026,0.455,0.5525,0.9014,0.4411,0.1303,0.3013,0.2991,0.708,0.5266,1.0996,-0.3517,-0.0826,-0.5529,-3.988,,
-0.4192,-0.8919,-0.5984,-0.7116,-0.2272,-0.6583,-0.7034,-0.6083,-0.5326,-0.5799,-0.9069,-0.4764,-0.6771,-0.8336,-0.5914,-0.5475,-0.7263,-0.6073,-0.5075,-0.286,-0.1737,0.4658,0.0866,0.0678,-0.2842,0.3936,0.2148,0.3084,0.6207,0.6256,1.0333,0.8484,0.3503,0.4678,0.5633,1.1966,1.3697,1.4177,0.6121,1.168,0.4154,-0.0433,,
-0.1531,-0.9272,-0.8428,-0.7961,-0.299,-0.7209,-0.6566,-0.6088,-0.6052,-0.581,-0.7792,-0.4874,-0.5301,-0.8726,-0.6636,-0.6244,-0.6097,-0.5297,-0.5554,-0.347,-0.1916,0.3728,-0.0745,0.3677,-0.2735,0.6638,0.4016,0.3743,0.7143,0.463,0.7716,1.2307,0.5428,0.1751,0.3677,1.2848,1.4178,1.31,0.9315,1.4402,0.4088,0.3344,-1.8356,
0.3846,-0.8412,-0.7223,-0.7396,-0.4345,-0.7101,-0.7976,-0.7145,-0.5546,-0.5066,-0.5258,-0.2034,-0.2358,-0.826,-0.6983,-0.6996,-0.6052,-0.5066,-0.5767,-0.2387,-0.2662,0.1575,0.2716,0.774,0.0304,0.9796,0.4921,0.5758,0.7447,0.5797,0.7452,1.105,0.3226,-0.2712,0.2276,1.0266,0.8929,1.0626,0.5824,0.686,-0.0736,-1.0494,-0.6316,-1.2111
,-0.6085,-0.8327,-0.6543,-0.5936,-0.6558,-0.8514,-0.8137,-0.6588,-0.6406,-0.3804,0.0463,0.1046,-0.5685,-0.5493,-0.6781,-0.5026,-0.4324,-0.4776,-0.4176,-0.4448,0.0893,0.3076,0.5129,0.3393,0.6668,0.534,0.9281,1.2806,0.5994,0.7158,0.7148,0.102,-0.1981,0.2688,0.6366,1.0686,0.7772,0.3449,0.3467,0.0416,-0.6183,-0.6091,-0.7916
