,,,,,,,,,,,,,,,,,,,,,-0.9293,,-0.7317,0.8141,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.7194,-0.8398,-0.975,-0.6156,-1.2151,-0.265,-0.0083,-0.4896,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.3352,-1.0086,-0.5968,-0.6637,-0.2758,-0.5529,0.1441,-0.5614,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.3292,-0.3227,-0.3722,-0.8984,-1.0266,-0.5705,-0.5227,-0.545,-0.3657,-0.3926,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.1152,-0.1469,-1.0301,-0.5514,-0.3334,-0.9033,-0.1436,-0.4944,-0.1397,0.0067,1.0022,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.2308,0.0894,-1.0666,-0.4965,-0.422,-0.942,-0.5053,-0.3055,-0.4099,-0.1307,1.0187,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.5841,-0.7315,-0.2977,-0.2054,-0.6881,-0.2882,-0.6316,-1.5124,-0.749,-0.2496,0.0747,-0.0504,0.371,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.1273,-0.7803,-0.2916,-0.0262,0.1321,-0.0564,-0.4258,-0.1114,-0.3185,0.1611,0.2378,-0.3246,-0.1712,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.327,-0.3326,0.0083,-0.9898,-0.3918,-0.2176,0.2182,-0.283,-0.3561,0.6114,0.0724,0.4076,0.3746,-0.1951,0.2133,-0.1008,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.5211,-0.3664,0.1679,-0.4551,-0.4996,-0.0627,0.4676,0.7107,0.5467,0.5093,0.2352,-0.0061,0.53,0.1969,0.3496,0.0175,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.8654,-0.5042,-0.1783,-0.0431,0.6059,-0.1364,-0.3443,0.49,0.5245,0.9302,0.8268,0.2848,0.6596,0.8942,0.5216,0.4854,-0.4064,-0.3375,,,,,,,,,,,,,,,,,
,,,,,,,,-0.8861,-0.5039,-0.2847,-0.266,1.0306,0.227,-0.5818,-0.219,0.9756,1.4151,0.9348,1.2863,0.7312,0.7727,1.0836,0.2951,1.843,0.4055,0.6449,-0.2749,,,,,,,,,,,,,,,,
,,,,,,,0.6974,-0.7822,-0.9912,-0.0472,-0.151,0.1514,0.1534,-0.347,0.5257,0.5909,1.6976,1.9773,1.9382,1.1288,1.0292,0.6018,0.9311,1.3586,0.7895,0.8695,1.5295,,,,,,,,,,,,,,,,
,,,,,,0.1596,-0.5424,-0.5063,-0.2018,-0.329,-0.4246,-0.1566,0.191,-0.2781,1.457,0.8359,1.7628,1.9106,1.4543,1.2798,0.1799,0.8871,1.2546,1.2075,0.993,0.2478,-0.2978,,,,,,,,,,,,,,,,
