,,,,,,,,,,,,,,,,,,,,,0.3972,-0.5059,0.367,0.2821,0.496,-0.5227,-1.294,-2.271,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.1978,0.2284,0.4324,-0.01591,0.264,-1.218,-0.2098,-0.1016,0.1529,-0.8897,-1.28,-1.56,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.6787,0.1177,0.5725,0.5045,0.3151,-0.3365,0.3907,0.579,-0.05042,-0.6222,-1.168,-2.836,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.03689,0.3593,-1.156,0.07935,0.4864,0.5225,-0.8338,-0.4161,0.9783,-0.04743,0.3969,0.4195,0.3974,-2.017,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.8329,-0.1272,-1.213,0.3837,-0.7506,-0.6017,-0.1313,-0.04697,-0.0958,0.344,0.8446,0.7813,-1.177,-2.794,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.7687,0.6797,-1.577,-0.842,-0.7933,-1.033,-0.008,-0.00512,-0.3933,0.1438,0.7898,-0.589,-1.33,-1.491,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.01742,0.4421,-0.9843,0.4777,-1.043,-0.7817,-0.04382,-0.5219,-0.3942,-0.3656,-0.04658,0.4503,0.09756,-0.9549,-0.543,-1.195,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4657,-0.1689,-1.046,0.6395,-0.2388,-0.2899,0.1526,-0.2093,-0.4211,-0.5197,0.1764,0.2845,0.5188,0.4045,-1.506,-1.935,,,,,,,,,,,,,,,
,,,,,,,,,,,0.07618,0.2876,0.9028,-0.03208,-1.044,0.1689,-0.6302,0.2218,0.1763,-0.1638,-0.6055,-0.2363,0.2251,0.2118,-0.1262,0.3205,-1.641,-2.136,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.07629,0.2967,0.6668,0.05447,-1.08,-0.00914,-0.6302,0.4029,0.00434,-0.5556,0.08747,-0.09722,0.3777,0.4951,0.8077,0.1142,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.4938,-0.931,-0.5596,0.4276,0.2368,-0.0276,-1.067,-0.1508,-0.4482,0.1833,0.3483,0.2485,0.1386,-0.2512,-0.104,0.293,1.211,0.114,,,,,,,,,,,,,,,,,
,,,,,,,,-0.4948,-0.4638,-0.799,0.06686,0.8191,0.4418,0.5666,-0.5361,0.133,0.3477,0.7721,0.8179,0.8728,0.4051,-0.2157,-0.2296,0.3132,-0.1463,0.2189,,,,,,,,,,,,,,,,,
,,,,,,,0.3098,-0.1992,-0.6031,-0.5703,0.4955,1.787,0.5213,0.2873,-0.2607,0.2339,0.05521,1.037,1.078,1.13,0.4817,0.06141,0.5249,0.8309,0.9682,0.9669,,,,,,,,,,,,,,,,,
