,,,,,,,,,,,,,,,,,,,,-1.433,-1.0025,-0.5705,-0.7002,-2.117,-3.2084,-3.2278,-3.5319,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,-0.396,0.9769,0.2458,0.4738,-0.1826,-0.6801,-0.1337,-0.8474,-1.3801,-2.1961,-2.9676,-2.6974,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.2599,0.4315,-0.1075,0.0543,-0.3135,-1.0911,-1.3247,-0.2343,-1.6245,-2.4322,-3.2755,-4.9385,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-2.8892,-0.651,0.4441,-0.0565,-0.214,-0.3746,-0.3957,-1.5254,-0.7146,-0.3534,-0.9389,-3.1106,-3.0269,-3.364,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-1.3316,0.0457,0.5807,-0.3389,0.2786,-0.3535,-1.1946,-0.7874,0.1598,0.049,-0.3181,-2.7649,-2.5574,-3.2474,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-1.2285,0.0763,0.5649,-0.3638,0.4988,-0.7494,-0.1766,-0.622,0.4979,0.0578,-0.5064,-2.2108,-2.0374,-2.6005,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-1.2526,-0.6526,-0.0888,-0.3076,0.5895,-0.0293,-0.2935,-0.4876,-0.3781,0.1147,0.5657,-0.2617,-0.0324,-1.5016,-2.6016,-1.4468,-2.7386,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.0459,-0.0601,-0.4706,-0.0889,-0.4578,-0.0889,0.0832,-0.325,-0.3246,-0.5523,0.4166,-0.3166,0.0266,-1.3733,-2.8452,-1.9327,-1.5283,,,,,,,,,,,,,,,
,,,,,,,,,,0.8328,-0.448,0.8849,0.5655,-0.5286,0.1229,0.1626,0.0634,0.0283,0.1093,0.3385,-0.2424,0.0535,-0.2295,0.2636,-1.3828,-2.2812,-1.3416,-1.016,,,,,,,,,,,,,,,
,,,,,,,,,,0.1812,0.1361,0.2323,0.3516,0.7264,0.3238,0.7379,0.4338,0.2199,0.5891,0.2118,-0.0886,0.3299,-0.3055,-0.1049,-0.396,-1.5642,-2.2766,-2.0769,,,,,,,,,,,,,,,
,,,,,,,,,-0.4366,0.9218,0.4525,0.6284,0.3951,0.7768,0.0545,0.7291,0.794,0.3941,0.9914,0.273,0.2895,0.3662,-0.1717,0.841,-0.7495,-0.8548,-1.042,-1.8835,,,,,,,,,,,,,,,
,,,,,,,,-0.0926,0.1351,0.2572,0.6203,0.822,0.1495,0.605,0.3758,0.64,0.4196,0.3939,0.7657,-0.1662,0.7512,0.2518,0.4343,0.4319,-0.4045,-0.5595,-0.7791,-1.4873,,,,,,,,,,,,,,,
,,,,,,,-0.1078,-0.1257,-0.3411,0.4965,0.7733,0.79,0.3402,1.0799,0.0849,0.5614,0.4109,0.7686,0.7528,0.1115,0.2879,-0.1301,0.1254,0.666,-0.0282,-0.2866,-0.8902,-3.4277,,,,,,,,,,,,,,,
