,,,,,,,,,,,,,,,,,,,,,-0.6138,-1.6133,-0.6296,-0.4404,,-0.5359,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.3387,-0.6848,-0.9205,-1.0015,-0.4454,-1.5301,-1.0505,-1.1185,,-0.3331,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.4566,-0.4354,-0.6143,-1.0668,-0.8072,-1.1281,-1.0996,-1.2311,,-0.574,-0.8892,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-1.0128,-0.8606,-0.6126,-0.8947,-0.7146,-0.9826,-0.9615,-1.3257,-0.9016,-1.0071,-0.1318,-0.5416,-0.6256,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.7783,-0.8177,-0.5218,-0.8461,-0.4642,-0.777,-1.2171,-1.0076,-0.9093,-1.1191,-0.2912,-0.3252,-0.4119,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.4112,-0.416,-0.4525,-0.5522,-0.5309,-0.535,-0.9173,-0.9442,-0.6516,-0.9825,-0.3877,-0.7811,-0.3124,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.9231,-0.4939,-0.7719,-0.3585,-0.6217,-0.3403,-0.817,-0.7026,-0.6017,-0.634,-0.3487,-1.0437,,-0.7015,-0.5046,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.5098,-0.2925,-0.8469,-0.4329,-0.6223,-0.6845,-0.9355,-0.7886,-0.501,-0.43,-0.5468,-0.6091,-1.2689,-0.4693,-0.2686,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.5393,-0.6411,-0.6669,-0.2535,-0.8911,-0.5814,-0.9024,-0.4757,-0.8748,-0.9339,-0.4678,-0.5634,-0.6389,-0.9938,-1.0308,-0.6393,0.3714,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.6391,-0.3486,-0.4098,-0.4519,-0.5454,-0.205,-0.8873,-0.4439,-0.5311,-0.4364,-0.5517,-0.6498,-0.3604,-0.5234,-0.8341,0.0376,0.6215,,,,,,,,,,,,,,,,
,,,,,,,,,-0.6786,-0.7213,-0.5088,-0.7344,-0.64,-0.7103,-0.1856,-0.3139,-0.4232,-0.3681,-0.3694,-0.7217,-0.4294,-0.6989,-0.9065,0.0098,-0.4718,0.0737,-0.1796,,,,,,,,,,,,,,,,
,,,,,,,,-0.6832,-0.8586,-0.4446,-0.2426,-0.5471,-0.6245,-0.7549,-0.6635,-0.0283,-0.3172,-0.2347,-0.3757,-0.6445,-0.2193,-0.5429,-0.6842,0.2217,-0.1056,0.0595,0.0779,0.3803,,,,,,,,,,,,,,,
,,,,,,,-0.4619,-0.7516,-1.1169,-0.6126,-0.3516,-0.6921,-0.623,-0.4837,-0.5705,0.2783,0.0561,-0.1368,-0.0394,-0.1337,0.0046,-0.7026,-0.5913,0.2851,-0.3995,-0.8576,0.1984,-0.5957,,,,,,,,,,,,,,,
,,,,,,-0.0542,-0.3249,-0.7871,-0.6846,-0.581,-0.496,-0.7886,-0.8302,-0.5762,-0.4072,0.3848,0.289,0.1558,-0.2626,-0.3547,-0.1764,-0.5703,-0.647,-0.3746,-0.287,-0.5336,0.4668,-1.5405,,,,,,,,,,,,,,,
,,,,,,-0.6179,-0.3956,-0.6604,-0.6863,-0.8025,-0.4704,-0.376,-1.0216,-0.6976,-0.3426,0.2951,0.3996,0.2406,-0.16,-0.1388,-0.093,-0.744,-0.3541,-0.3323,-0.4761,-0.4474,-1.3532,,,,,,,,,,,,,,,,
