,,,,,,,,,,,,,,,,,,,,,0.2172,-1.0854,-0.4364,-0.3072,-1.1003,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.2806,0.2256,-0.1381,-0.1484,-0.2416,-1.6146,-0.3612,-0.6044,-0.2174,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.1135,-0.0838,0.6929,-0.6358,-0.3716,-0.436,-0.373,-0.7657,0.2789,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.6766,0.2934,0.0295,0.0019,-0.0346,-0.0894,-0.4145,0.155,-0.5819,-0.7367,0.2163,-1.3781,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.1587,-0.239,0.0882,0.2385,-0.4202,-0.0455,-0.3405,-0.1215,-0.1888,-0.9499,0.4058,-1.0322,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.5545,-1.2751,-0.323,-0.7995,-0.7961,-0.6986,-0.5026,-0.1901,-0.0309,-1.6733,-0.5104,-0.68,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.5101,0.3424,-0.3911,-0.5795,0.2287,-0.4057,-0.4216,-0.3583,-0.5399,-0.4375,-0.2877,-0.6606,-0.7019,-1.4036,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.2824,-0.4877,-0.7247,-0.4639,-0.468,-0.3611,-0.1003,-0.458,-0.4909,-0.1748,-0.2726,-0.9992,-0.6002,-0.4911,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.3093,0.1438,-0.3112,0.1316,-0.667,-0.4546,-0.4735,-0.0347,0.0961,-0.1174,-0.9092,-0.9033,-0.1275,-0.75,-0.5917,0.6014,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.3212,0.1178,-0.2278,0.1471,-0.629,-0.5925,-0.0618,0.0465,-0.066,-0.4428,-0.7924,-0.4927,0.5197,-0.6599,-0.4731,-0.646,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.4322,0.2337,0.1076,-0.0343,0.2006,-0.3598,-0.7698,-0.5311,-0.1955,-0.0577,-0.1363,0.0863,-0.7436,-0.2296,-0.4121,-0.9454,-0.159,0.0038,0.8354,,,,,,,,,,,,,,,,
,,,,,,,,0.2366,-0.105,0.0298,0.0766,-0.3499,0.2453,0.6245,-0.6953,-0.6193,0.0272,-0.262,-0.2625,0.3465,-0.6873,-0.373,-0.3723,-0.759,0.4295,0.9629,2.5088,,,,,,,,,,,,,,,,
,,,,,,,-0.1993,0.0084,-0.1456,-0.358,0.0089,-0.0515,0.2198,0.3453,-0.3094,-0.9004,0.165,0.1522,-0.3585,0.1021,-0.1622,-0.2774,-0.1579,0.1221,0.2799,0.3666,0.4788,0.559,,,,,,,,,,,,,,,
