,,,,,,,,,,,,,,,,,,,,,-0.171,-0.3121,-0.1542,0.9023,0.0775,-1.1568,-2.1042,0.1817,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.3718,0.4999,-0.1911,-0.8404,0.2248,-0.3861,-0.0571,0.1103,-0.761,-1.0672,-0.127,-0.3589,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.7749,0.9111,0.3538,-0.3256,0.279,0.3438,0.224,-0.2146,-0.6331,-0.1312,-0.276,-0.3669,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.4706,0.6016,0.5013,0.5687,0.5669,0.6941,-0.0617,0.0388,0.4327,-0.1773,-0.1643,0.1574,-0.6179,0.2651,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.8839,1.1211,0.3575,0.4588,0.3541,-0.174,0.237,-0.9125,0.1526,0.296,-0.0725,0.2457,0.0283,0.5465,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.6178,1.7203,0.2632,0.4826,0.0584,-0.0874,-0.256,0.2684,0.014,0.0541,-0.165,0.1265,-0.1195,1.2902,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.937,-0.3596,1.2831,0.9605,0.1177,0.4593,-0.0004,-0.4141,-0.2271,0.2828,-0.2764,0.0403,-0.0491,-0.1431,-0.7147,0.949,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.6706,-0.1575,0.5273,0.4604,-0.0617,0.6924,-0.6442,-0.2627,-0.2216,-0.0332,-0.3399,-0.3092,0.4706,0.0707,-0.8004,0.5585,,,,,,,,,,,,,,,
,,,,,,,,,,,0.064,0.6047,0.3398,0.2028,0.2627,0.6626,-0.4119,0.6151,-0.3257,0.2477,-0.3119,-0.4278,-0.059,-0.0384,-0.2518,-0.1201,-0.0412,0.6563,,,,,,,,,,,,,,,
,,,,,,,,,,,1.0339,1.6515,0.1096,-0.6738,0.637,0.4822,0.0637,0.6748,-0.3176,-0.6353,-0.2376,-0.2993,-0.3722,0.2581,0.0119,-0.2409,-0.6755,0.7896,-1.198,,,,,,,,,,,,,,
,,,,,,,,,0.6102,0.5046,0.3571,0.6259,0.0323,0.102,0.6347,-0.0531,0.5208,0.8353,-0.361,-0.9362,-0.4622,-0.2855,0.1567,-0.2484,0.2674,0.0211,-0.7026,1.0288,-1.0969,,,,,,,,,,,,,,
,,,,,,,,0.4537,0.637,1.1071,1.113,0.8365,-0.0103,-0.0414,0.086,0.1322,0.253,0.3826,0.1069,-0.5473,0.4539,0.288,-0.1211,0.4546,0.9278,0.7743,0.3521,0.0512,-2.1235,,,,,,,,,,,,,,
,,,,,,,0.6078,0.4352,0.6267,0.9669,0.8257,0.6241,-0.2183,0.4075,-0.2312,-0.074,-0.0306,0.3261,0.3901,0.096,0.3024,0.2717,-0.1105,0.4268,0.6771,0.4765,0.519,1.3081,-0.7993,,,,,,,,,,,,,,
,,,,,,0.0922,1.1756,0.794,0.7902,0.2325,0.3842,0.3778,0.2217,0.1414,-0.5635,0.2779,-0.4146,0.2475,0.0655,-0.0267,-0.6832,0.2707,-0.2286,0.1991,0.8409,0.9347,0.8329,1.7848,-1.9185,,,,,,,,,,,,,,
,,,,,,-0.1012,1.5978,0.7574,0.4195,0.2747,-0.0154,0.0058,-0.2452,0.5497,-0.2659,-0.367,0.0862,0.2686,-0.2512,-0.6915,-0.5501,0.3437,-0.1465,0.1235,0.8286,1.3247,1.5186,1.583,-1.9858,,,,,,,,,,,,,,
,,,,,0.774,0.5437,2.0141,0.0076,-0.0062,0.0155,0.254,-0.118,0.0246,0.259,0.1574,0.0987,1.3276,1.0705,0.3306,-1.1633,-0.4612,0.0817,0.5563,-0.1823,0.2969,0.5408,-1.2908,-0.2861,0.002,,,,,,,,,,,,,,
,,,,0.4804,0.247,1.4727,1.7075,0.3863,0.0584,-0.1554,0.0791,-0.1041,-0.0232,0.3264,-0.1007,0.1064,1.6574,1.3716,0.1033,-1.0714,-0.9384,0.0811,0.3689,0.8792,0.4207,0.214,-0.231,-1.5816,2.1399,,,,,,,,,,,,,,
,,,,1.1385,0.4139,1.2438,1.7398,0.7032,0.2803,-0.1296,0.5419,0.1867,-0.1684,-0.2386,0.1615,0.6204,0.9731,1.0328,-0.872,-1.3013,-0.2067,0.3225,0.4932,0.5684,0.2873,0.6308,-0.0727,-0.9552,1.5838,,,,,,,,,,,,,,
,,,,1.0784,2.0394,1.0507,1.5075,0.2362,0.4449,0.3035,0.2609,-0.2024,0.0122,0.1405,0.1597,0.5715,0.7473,-0.0003,-1.1483,-0.9974,-0.697,-0.2599,0.407,-0.0456,0.7994,0.5826,-0.157,0.0506,1.2707,,,,,,,,,,,,,,
