,,,,,,,,,,,,,,,,,,,,,-0.0265,1.0705,0.0713,0.0799,-0.9663,-1.0507,-0.6429,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.3922,0.1407,2.033,-0.3412,0.3381,1.6136,1.0019,-0.6327,0.2563,0.997,-0.577,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.5334,0.2204,0.4536,-0.4203,1.0809,0.1338,0.7266,0.0997,0.1117,0.4093,-0.0792,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.0245,1.4595,0.8726,-0.3385,-0.047,-0.5844,0.3378,-0.1642,0.0327,0.4875,-0.1175,-0.1613,0.8786,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.8661,1.1155,0.4646,-0.8833,0.0749,0.0542,0.2594,0.0124,0.1157,0.1286,-0.5878,-0.5787,0.3557,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3.0164,1.3523,-0.0507,-0.9115,0.5836,-0.2477,0.4198,0.0898,0.2356,0.5507,-0.1435,0.118,0.1268,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.9584,0.6842,3.308,1.5027,-0.7736,-1.46,-0.0106,-0.8155,0.858,0.6222,1.0751,-0.0011,-0.1524,-0.1738,-0.7782,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.5682,0.8965,1.8162,1.9032,0.3796,0.0736,-0.1792,-0.4613,0.6016,0.4299,0.8594,-0.1149,-0.3598,-0.4613,0.3879,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.067,0.0529,1.21,1.2395,2.1523,1.1152,-0.6242,-0.2233,0.2836,-0.0663,0.7809,0.5479,0.8291,0.0343,-0.232,-0.1788,0.0696,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.5671,0.6996,1.2706,0.8864,0.9909,1.4197,-0.4108,-0.0379,0.3694,0.0642,-0.1458,0.6128,0.3844,0.5273,-0.1546,-0.4962,0.3302,,,,,,,,,,,,,,,,
,,,,,,,,,-0.5821,-0.3919,0.2113,0.5092,0.3079,1.5069,0.6372,1.227,-0.2023,-0.6113,0.3488,0.4118,-0.4085,0.6858,0.8872,0.3788,0.8853,0.7046,0.7484,,,,,,,,,,,,,,,,
