,,,,,,,,,,,,,,,,,,,,,-0.1025,0.1106,-0.2918,-0.1611,0.286,0.01031,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.05077,0.7048,0.8363,0.9763,-0.6759,0.3042,-0.8764,-0.4707,0.2288,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.5147,1.176,0.368,0.4595,-0.05925,0.08941,-0.06867,-0.09223,0.5556,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.2013,0.1227,1.125,0.9921,-0.1557,0.1422,-0.1663,-0.4765,0.2693,0.5105,0.9531,0.2596,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.7244,0.1532,0.7767,1.643,0.1553,0.2168,0.7278,0.4542,0.4807,0.824,-0.1673,1.747,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.646,0.9298,0.8901,1.115,0.1216,0.864,0.7986,0.5855,0.6795,0.3258,0.1635,1.261,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.7347,0.446,1.195,1.243,1.515,0.603,0.00758,0.9845,0.8226,1.976,0.6969,0.403,0.3187,0.9927,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.285,1.48,0.7016,1.615,1.992,0.9275,-0.02468,1.331,0.7878,1.496,0.9275,0.3439,0.1831,0.3425,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.6605,0.5726,0.9396,1.265,0.8216,0.9474,1.345,1.167,0.6862,0.8115,1.065,1.532,0.785,0.9162,0.3513,0.3662,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.411,1.009,1.014,1.4,1.059,1.436,1.947,1.25,1.494,0.9358,1.386,1.339,0.8688,1.493,0.7849,0.6531,2.15,,,,,,,,,,,,,,,,
,,,,,,,,,-0.8239,0.104,1.607,1.753,1.448,1.467,1.311,1.639,2.017,1.494,1.408,0.8925,1.025,1.505,1.403,1.223,0.472,0.04079,,,,,,,,,,,,,,,,,
,,,,,,,,-0.5284,0.4098,0.4108,1.713,1.576,1.088,1.359,1.258,1.636,2.422,1.889,1.637,1.538,1.337,1.624,1.041,1.332,0.2812,0.2502,,,,,,,,,,,,,,,,,
,,,,,,,0.726,-0.2739,0.5863,1.055,1.775,1.571,2.222,1.107,0.7048,2.006,2.905,1.666,1.122,1.603,1.064,0.7785,1.312,1.023,-0.04717,0.1599,1.194,,,,,,,,,,,,,,,,
,,,,,,-0.4528,0.7321,0.5004,0.5327,0.9013,1.68,1.667,2.747,1.092,1.073,2.303,2.451,2.007,1.469,1.396,-0.00272,0.06579,-0.09967,-0.1714,-0.3685,0.3929,-0.9901,,,,,,,,,,,,,,,,
,,,,,,-0.5356,0.9731,-0.09823,0.5276,0.7556,1.792,1.994,2.185,1.579,0.8515,1.898,2.022,1.617,1.147,1.111,0.2688,-0.1756,-0.4306,0.2106,-0.3498,-0.7788,-1.761,,,,,,,,,,,,,,,,
,,,,,-0.5648,-0.7322,0.692,0.3903,0.3377,0.9284,1.745,2.072,1.926,0.9598,0.6991,2.197,1.717,1.448,1.125,1.34,0.4438,0.2363,-0.7101,-0.1558,-0.3084,-0.2015,-0.9394,,,,,,,,,,,,,,,,
,,,,-0.2852,-0.8596,-0.2163,0.08405,1.097,0.3462,1.535,1.947,1.975,1.066,1.238,0.8119,1.818,1.182,1.164,1.706,1.14,0.5624,0.933,-0.3735,0.1184,-1.049,-1.277,-1.356,,,,,,,,,,,,,,,,
,,,,-0.7877,-0.3846,-0.5259,1.413,0.1668,0.5344,1.345,1.551,1.109,1.019,0.8439,0.5892,0.6895,0.5651,0.525,1.702,1.048,1.542,1.003,-0.2991,-0.5201,-0.05881,-0.4673,-0.877,,,,,,,,,,,,,,,,
,,,,-0.6663,0.09705,-0.3555,-0.00829,0.6261,0.7663,1.685,0.6123,0.2541,1.092,0.4143,0.3886,0.4319,0.8408,0.3714,1.612,1.314,0.8999,1.009,0.3325,0.03292,0.3531,0.4027,-1.39,,,,,,,,,,,,,,,,
,,,-0.1216,-0.468,-0.0224,-0.3036,0.1935,1.191,0.8943,1.146,0.3637,0.1791,0.3505,0.3533,0.7846,-0.5145,0.4065,0.2324,0.9371,0.8905,0.1071,0.4412,0.00975,-0.1151,0.00119,-1.211,-0.9835,,,,,,,,,,,,,,,,
,,,-0.8767,-0.4323,0.2404,0.07533,0.3101,0.4415,0.1187,0.2217,-0.1478,-0.2552,0.1835,0.3202,0.1599,0.3307,0.4483,0.3879,0.3701,0.3254,-0.4788,-0.3226,-0.8399,-0.3963,-0.7216,-1.5,-0.8039,1.649,,,,,,,,,,,,,,,
,,-0.5507,-0.2532,-0.4289,0.07256,0.0,0.4218,0.1569,-0.6541,-0.1714,-0.327,-0.4346,0.4007,0.3573,-0.1095,0.522,0.682,0.4623,0.3457,0.4744,-0.5188,-0.1954,-1.039,-0.9272,-1.096,-0.8444,-1.264,2.374,,,,,,,,,,,,,,,
,,-0.5777,-0.2174,-0.2234,0.2638,0.1032,0.82,0.1946,-0.4105,-0.6259,0.09234,0.03483,0.1165,0.2128,-0.2541,0.6366,0.4635,0.04818,0.1097,0.1537,-0.6811,-0.2393,-0.9575,-0.8777,-1.028,-0.6558,-1.119,-0.3945,,,,,,,,,,,,,,,
,,-0.4458,-0.5062,-0.2249,0.3359,0.1661,0.5723,0.1066,-0.2007,-0.166,0.2691,0.2847,0.08947,0.466,0.02282,0.9569,0.168,0.1278,-0.09437,0.02404,-0.441,-0.4631,-1.55,-0.7253,-1.052,-1.193,-1.159,-1.601,,,,,,,,,,,,,,,
,-0.3845,-0.6082,-0.3367,-0.4402,0.01663,0.385,0.4249,-0.00404,0.1163,0.5164,-0.1583,-0.05475,0.3173,0.172,-0.3743,-0.3136,-0.1453,-0.2677,-0.3365,-0.1952,-0.5504,-0.129,-1.655,-1.236,-0.3554,-1.867,-1.184,-0.7451,,,,,,,,,,,,,,,
,-0.1413,-0.7837,0.1384,-0.2363,0.06826,0.3411,-0.2605,-0.2711,-0.3872,0.01848,0.0625,0.1666,0.3159,0.2286,-0.5657,-0.4512,-0.4269,-0.5164,-0.2861,-0.03149,-0.4827,-0.3036,-1.294,-1.4,-0.4624,-0.8988,-1.734,0.3552,,,,,,,,,,,,,,,
,-0.05797,-0.4874,0.2604,0.1124,0.2372,0.07743,-0.02209,-0.1472,-0.7064,-0.3032,0.05624,-0.143,0.2975,-0.1801,-0.8383,-0.2408,-0.2988,-0.6236,-0.2304,-0.4317,-0.2897,-0.7117,-0.7658,-1.3,-0.527,-0.3032,-1.576,-0.2271,,,,,,,,,,,,,,,
,-0.4491,-0.6421,0.0556,-0.7446,-0.00446,-0.00529,0.3197,0.07458,-0.5892,-0.1207,-0.3787,-0.4817,-0.2445,-0.6572,-0.5776,-0.3937,-0.4104,-0.8941,-0.7132,-0.6228,-0.6841,-0.7426,-0.497,-0.8016,-0.66,-0.6659,-1.218,0.5055,,,,,,,,,,,,,,,
,-0.1677,-0.4512,0.00623,-0.9241,-0.2412,-0.3264,0.3965,0.193,0.317,0.02076,-0.4018,-0.5246,-0.5372,-0.6189,-0.6124,-0.6196,-0.756,-1.241,-0.7597,-0.7276,-1.498,-0.8737,-1.051,-1.023,-0.888,-0.6947,-0.4309,0.2185,,,,,,,,,,,,,,,
-0.6282,-0.2507,-0.8192,-0.5336,-0.8167,-0.4347,-0.6134,-0.1575,0.3751,0.2046,-0.2462,-0.2634,-0.256,-0.3276,-0.6909,-0.87,-0.5178,-0.6428,-1.254,-0.8986,-0.8351,-1.221,-1.227,-1.564,-1.138,0.4418,-0.1306,-0.8275,-0.0214,,,,,,,,,,,,,,,
-0.8658,-0.5053,-1.044,-0.5732,-0.846,-0.769,-0.8381,-0.496,-0.174,0.1168,0.00424,-0.3575,-0.01897,-0.3564,-0.3613,-0.6996,-0.2631,-0.4042,-0.7034,-0.7285,-0.9055,-1.486,-0.9565,-1.591,-1.092,0.6194,-0.02366,-1.633,-0.05067,,,,,,,,,,,,,,,
-0.8423,-0.6863,-0.7945,-0.4212,-1.071,-1.023,-1.11,-0.405,-0.4694,-0.3341,-0.01853,-0.1398,0.2381,-0.5783,-0.5716,-0.6609,-0.2789,-0.4861,-0.2895,-0.6288,-1.17,-1.266,-0.9675,-1.194,-1.21,0.159,0.09523,-1.394,0.06782,,,,,,,,,,,,,,,
-0.9601,-0.6883,-0.8724,-0.5649,-1.44,-1.136,-1.2,-0.502,-0.6762,-0.6561,-0.2062,-0.8453,-0.7183,-0.8463,-0.8751,-0.7367,-0.7018,-0.8745,-0.5664,-1.051,-0.9752,-0.976,-0.8921,-0.8125,-1.345,-0.1817,-0.7793,-1.817,-0.3389,,,,,,,,,,,,,,,
-1.365,-0.9346,-1.446,-1.278,-1.786,-1.442,-1.038,-0.6086,-0.7618,-0.8537,-0.2473,-1.628,-1.031,-1.61,-0.9972,-0.4353,-0.6801,-0.7325,-0.5067,-0.6526,-0.603,-0.6645,-0.9805,-0.4351,-1.786,-0.4629,-1.282,-1.638,0.4414,,,,,,,,,,,,,,,
-1.212,-1.008,-1.451,-1.422,-2.371,-1.77,-1.302,-0.737,-0.7193,-0.893,-1.007,-1.516,-1.305,-0.8702,-0.519,-0.8121,-0.5164,-0.4487,-0.4471,-0.8462,-0.3336,-0.733,-0.3604,-0.4548,-1.194,-0.2121,-0.768,-0.8503,0.3477,,,,,,,,,,,,,,,
-1.055,-1.05,-1.614,-1.691,-2.596,-1.962,-1.255,-1.024,-0.7651,-1.133,-0.9049,-0.7764,-0.948,-0.6679,-0.8148,-0.8302,-0.1944,-0.02277,-0.1965,-0.6006,-0.2971,-0.252,0.02946,-0.5039,-0.9323,0.5939,-0.7303,0.1407,0.8261,,,,,,,,,,,,,,,
-1.377,-0.9864,-1.397,-1.989,-2.093,-1.875,-1.403,-1.235,-0.9865,-0.8082,-0.8032,0.08225,-0.6775,-0.1541,-0.5743,-0.3149,0.1094,0.0733,0.2322,-0.2911,-0.2956,-0.02531,0.198,-0.2344,-1.38,0.8282,-0.2045,0.3256,1.729,0.05543,,,,,,,,,,,,,,
-0.937,-0.7214,-1.016,-1.491,-1.99,-1.506,-1.306,-1.354,-1.051,-1.147,-0.8859,-0.1398,-0.7031,-0.1439,-0.1775,-0.2019,0.6979,0.00523,0.6169,0.2878,0.4367,0.738,0.2245,0.5147,-0.5307,1.016,0.6783,0.681,0.9117,-0.2709,0.6053,,,,,,,,,,,,,
-1.055,-0.2185,-0.8523,-1.063,-1.263,-1.14,-1.298,-0.9888,-0.9023,-1.281,-1.121,-0.3995,-0.6767,0.1363,0.08716,0.07777,1.352,0.5627,0.667,0.6931,0.4911,0.8671,0.6764,0.6808,0.1001,1.229,0.8926,0.7639,0.8674,-0.2877,0.05245,0.02325,,,,,,,,,,,,
