,,,,,,,,,,,,,,,,,,,,,-0.305,-0.08314,-0.4246,0.2296,-0.1117,-0.1288,-1.112,-1.492,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.2051,0.5646,0.1835,-0.1593,-0.2007,-0.1839,0.1275,-0.06105,-0.2081,-0.5016,-0.6512,-1.417,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.4991,0.2645,0.2714,0.2186,-0.1141,-0.4374,0.5284,0.2597,0.1795,-0.0736,-0.6703,-0.5724,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.4716,-0.2449,0.4882,0.0182,-0.03487,-0.1118,-0.2207,-0.2937,0.6486,0.3549,0.185,-0.08985,-0.4966,-0.1602,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.02203,-0.1823,0.3239,0.3686,0.2574,0.3546,-0.08551,0.2408,0.5973,0.4697,-0.277,-0.4736,-0.434,-0.691,-1.493,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.4096,-0.09256,0.3834,0.1927,0.1408,0.00634,0.2791,0.1365,0.5524,0.4974,-0.4754,-0.6116,-0.148,-1.03,-1.331,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.4283,-0.2273,0.7908,0.1055,0.506,0.3392,0.5481,0.7092,0.2939,0.2756,0.1693,0.2267,-0.06088,-0.1953,-0.04157,-0.343,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.1298,0.4514,0.6549,0.1992,0.33,0.5966,0.8045,0.7382,0.4334,0.6388,0.2884,-0.02777,-0.3219,-0.4397,0.1381,-0.142,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.7632,-0.6923,0.2284,0.3227,0.7727,0.2278,0.3218,0.4808,0.7866,0.8835,0.4122,0.6339,0.5441,0.1822,-0.4257,-0.4118,0.05101,-0.2571,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.5107,-0.4609,0.309,0.6346,0.8111,0.3214,0.489,0.6929,0.8555,1.019,0.5882,0.5409,0.4386,0.1465,-0.2553,-0.2641,0.6719,1.85,,,,,,,,,,,,,,,
,,,,,,,,,-0.9063,-0.5554,-0.414,-0.536,0.5665,0.6447,0.8444,0.4945,0.8528,1.208,0.8152,0.8387,0.6315,0.5175,0.3654,0.2597,0.2172,0.2568,0.7066,0.7196,,,,,,,,,,,,,,,
,,,,,,,,-0.834,-0.6225,-0.328,-0.3192,-0.2943,0.9011,0.7697,0.5133,0.829,1.351,1.523,1.266,1.211,0.875,0.683,0.3683,0.4719,-0.00153,-0.03908,1.024,,,,,,,,,,,,,,,,
,,,,,,,-0.9277,-0.9107,-0.9918,0.07746,-0.05235,-0.08912,1.101,0.9404,0.1268,0.7045,0.7842,1.656,1.42,1.004,1.534,1.043,0.6831,0.8314,0.2305,0.2704,0.297,,,,,,,,,,,,,,,,
,,,,,,-0.7577,-1.018,-0.7553,-0.6234,0.3466,0.1977,0.4672,0.8942,1.085,0.03711,0.4702,1.223,1.824,1.658,1.056,1.581,0.7541,0.7367,0.8666,0.3887,0.4008,-0.1318,,,,,,,,,,,,,,,,
,,,,,,-0.8081,-1.019,-0.5352,-0.2817,0.4371,0.2466,0.5683,0.4102,0.4998,0.0,0.8516,1.514,1.499,2.15,1.541,1.656,0.99,0.7113,0.7369,0.5502,0.5981,-0.4552,,,,,,,,,,,,,,,,
,,,,,-0.9728,-0.8511,-0.9939,-0.2268,0.04989,0.4688,0.3503,0.5469,0.01834,0.2601,0.3811,0.7079,1.635,1.553,1.995,1.662,1.613,1.603,1.204,1.138,-0.00721,0.0142,-0.1147,,,,,,,,,,,,,,,,
,,,,-0.9278,-1.165,-0.8531,-0.6154,0.4382,0.3597,0.4316,0.09561,0.4431,-0.3643,0.2399,0.3642,0.8006,1.599,2.265,2.202,1.49,1.68,1.538,0.9174,1.114,0.02017,0.0451,-0.1902,,,,,,,,,,,,,,,,
,,,,-1.115,-1.098,-0.8628,-0.7485,0.6043,0.5446,0.4359,-0.2141,-0.1988,-0.6854,-0.02599,0.4805,0.7278,1.558,2.09,2.235,1.726,1.889,1.436,1.259,0.4045,0.06371,-0.09099,-1.158,,,,,,,,,,,,,,,,
,,,,-1.026,-1.151,-0.5928,-0.6526,0.5892,0.3461,0.4553,-0.1765,-0.3899,-0.4948,-0.04499,0.3889,1.063,1.513,1.78,2.425,1.797,1.83,1.552,0.5807,-0.03617,-0.2023,-0.1017,-1.088,,,,,,,,,,,,,,,,
,,,-1.134,-0.914,-0.7069,-0.2303,-0.5004,0.6991,0.3856,0.3098,0.1898,-0.2967,0.1328,0.3711,0.6677,0.4363,1.114,1.63,1.849,1.82,2.003,1.315,0.3942,0.08942,-0.7648,-0.5995,-0.9757,,,,,,,,,,,,,,,,
,,,-0.9531,-0.6162,-0.6594,-0.1114,-0.115,0.5563,0.3621,-0.1437,0.06929,-0.1718,0.3786,0.585,0.9931,0.7258,1.121,1.427,1.608,1.571,1.143,1.183,0.5183,0.5246,-0.9854,-0.4957,0.6288,,,,,,,,,,,,,,,,
,,-1.006,-0.8898,-0.4621,-0.5456,0.2179,0.03775,0.5939,0.4185,0.1827,0.3181,0.5304,1.018,1.368,1.145,1.34,1.418,1.018,1.245,1.434,0.6101,1.261,0.3908,0.0827,-0.6584,-0.141,,,,,,,,,,,,,,,,,
,,-1.071,-0.9109,-0.3886,-0.2617,0.4487,0.2329,1.064,0.5876,0.4944,0.773,0.9899,1.225,1.399,1.09,1.884,1.562,0.9976,0.756,0.5935,0.9474,0.9205,-0.1256,-1.01,-0.1098,0.5371,,,,,,,,,,,,,,,,,
,,-1.032,-0.661,-0.3919,-0.07847,0.4366,0.56,1.366,0.803,0.9211,1.431,1.413,1.236,1.127,1.112,1.859,1.477,0.9121,0.543,0.6442,1.23,1.139,-0.3275,-1.186,-0.4537,-0.6966,,,,,,,,,,,,,,,,,
,-1.046,-0.9585,-0.8706,-0.5448,-0.02859,0.6248,0.7556,0.9471,0.57,1.442,1.742,1.694,1.152,1.293,1.144,1.557,0.9218,0.442,0.8984,1.232,1.221,0.6496,-0.199,-1.038,-0.9635,-1.028,,,,,,,,,,,,,,,,,
,-1.172,-1.049,-0.6985,-0.3969,-0.08518,0.4623,0.8963,1.003,0.6962,1.389,1.287,1.384,1.181,1.514,0.7893,0.9131,0.4417,0.07368,0.6324,1.535,1.633,1.021,-0.3794,-0.9406,-0.9466,-0.8273,,,,,,,,,,,,,,,,,
,-1.187,-1.028,-0.5012,-0.3957,-0.02182,0.2064,0.8445,1.262,0.8477,1.305,0.918,0.8292,0.9375,1.33,0.3556,0.46,0.2294,0.427,1.125,1.743,1.466,0.6486,-0.2159,-1.012,-0.8466,-0.788,,,,,,,,,,,,,,,,,
,-1.047,-0.7995,-0.4265,-0.1014,0.04788,0.3896,0.9858,1.21,0.7725,1.183,0.7787,0.8039,0.5053,1.067,0.09265,0.2121,0.3919,0.5669,1.21,1.647,0.9282,0.4154,-0.773,-0.9848,-0.02614,-0.2533,,,,,,,,,,,,,,,,,
,-0.9853,-0.7277,-0.4239,0.138,0.0449,-0.03235,0.5558,0.6725,0.744,0.8343,0.6284,0.5471,0.09384,0.4562,0.2181,0.1717,0.5574,0.4689,0.8112,1.252,0.8729,-0.04399,-1.003,-1.372,-0.7711,-0.5518,,,,,,,,,,,,,,,,,
-0.9686,-1.062,-0.6034,-0.6041,-0.2653,-0.4941,-0.3453,0.1835,0.3176,0.4144,0.3501,0.2978,0.4231,-0.08647,0.1363,-0.06245,0.2154,-0.01199,-0.00817,0.2515,0.8581,0.02536,-0.7843,-0.6669,-1.345,-1.273,-1.153,,,,,,,,,,,,,,,,,
-1.168,-1.02,-0.6465,-0.8329,-0.5289,-0.7702,-0.3823,0.06594,0.155,0.02906,-0.02436,0.4683,0.5589,-0.03525,-0.08364,-0.3601,-0.2951,-0.3805,-0.2409,-0.2712,-0.0822,-0.7622,-0.989,-0.9412,-1.274,-1.035,-0.6177,,,,,,,,,,,,,,,,,
-1.164,-1.173,-0.8404,-0.889,-0.8091,-0.8765,-0.7206,-0.3166,0.04831,0.2147,-0.1037,0.3692,0.2669,-0.00667,-0.04259,-0.4098,-0.6465,-0.4645,-0.02648,-0.7352,-0.9009,-1.1,-1.242,-1.196,-1.262,-1.005,-0.6551,,,,,,,,,,,,,,,,,
