,,,,,,,,,,,,,,,,,,,,,0.9684,-0.1423,0.0471,-0.4717,1.0192,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.2157,0.7721,-0.4196,-0.5673,-0.1024,-0.2392,0.0436,-0.487,-0.5561,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.3386,0.0074,-0.0731,-1.1224,0.3638,-0.9774,-0.1051,-0.359,-0.7488,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.7875,-0.5918,-0.0414,-0.0209,1.639,-0.3142,0.9756,-0.5998,-0.2305,-0.2516,-0.3683,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.9356,-0.7574,-0.776,0.0724,0.6455,0.8684,1.042,-0.2884,0.1593,-0.8551,0.0122,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0255,-1.0617,-0.4084,-0.1886,0.0054,0.0552,0.5226,0.3446,0.6005,-0.4333,0.5086,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.5153,0.0036,-0.3451,-1.0931,0.0308,-0.6299,0.2394,0.1159,0.8495,0.3616,0.7262,-0.051,-1.0236,-1.1759,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.266,0.0371,-0.7957,-1.4724,0.4381,-0.3774,0.8248,0.2392,1.0836,0.4486,1.2,-0.5924,-0.4763,-0.3612,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.2673,0.3447,-0.5474,-0.4313,-0.3815,-1.1704,0.3009,-0.3866,0.3796,0.2617,0.9733,-0.1816,1.1279,0.0732,-0.3619,-0.4772,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.7999,0.5643,-0.9841,-0.8883,-0.7837,-1.0486,0.0411,-0.5896,1.3344,0.8619,1.0404,-0.0608,1.4878,-0.3916,0.1738,1.428,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.5017,0.2168,0.7656,0.698,-1.0198,-0.2706,-0.9786,-0.671,0.91,-0.2994,0.6202,0.4329,0.8306,-0.1134,0.8832,-0.6563,-0.0936,0.8947,,,,,,,,,,,,,,,,,
,,,,,,,,1.0421,0.2921,0.1936,0.5887,0.394,-0.6996,-1.1457,-0.3624,-0.0375,0.8799,0.0161,0.7003,0.1348,0.9081,0.2215,0.0949,-0.1487,0.0847,0.4882,-1.2464,,,,,,,,,,,,,,,,
