,,,,,,,,,,,,,,,,,,,,,0.4141,0.02136,-1.174,-0.417,-0.3723,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.6318,-0.09682,-0.05,0.6369,-0.1871,-0.572,-1.552,-0.5465,-0.9814,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.6684,0.9315,-0.6233,-0.0746,-1.235,-1.095,-1.442,-0.3786,-0.5315,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-1.407,-1.01,-0.4156,0.8552,-0.6181,-0.1358,0.08415,-0.6526,-1.697,-0.3736,-0.5418,-1.072,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.3197,-0.6073,-0.02828,0.7282,0.5427,-0.4058,0.3965,0.1597,-1.27,-0.9307,-1.39,-1.461,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.5593,-0.7769,0.104,0.2432,-0.6339,-0.5944,-0.1686,-0.2037,-1.011,-0.4309,-0.7738,-0.7246,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.1806,0.5754,0.2287,-0.3581,0.151,-0.1068,-0.1091,0.2524,-0.4977,-0.6327,-1.144,-0.472,-0.1899,-0.6403,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-1.091,-0.5868,-0.2121,-0.1592,-0.8493,-0.242,-0.398,-0.1675,-1.056,-1.079,-0.356,-0.03868,-0.1483,-0.871,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.3683,-0.3755,-1.075,-0.065,-0.249,0.2953,-1.088,-0.6131,-0.3229,0.3269,-1.509,-1.174,-0.4756,-0.2813,-0.2549,0.2164,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.4281,-0.6654,-0.6555,0.027,-0.2864,-0.2685,-0.1496,-0.486,-0.4292,0.2643,-1.193,-1.119,-0.4825,-0.3141,-0.6362,-0.1027,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.1415,-0.8013,-0.1155,-0.2499,-0.7473,-0.2548,-0.2079,-0.166,-0.1592,0.1211,-0.2184,0.5356,-0.5546,-0.8582,-0.3508,-0.3517,-0.1641,-0.08799,,,,,,,,,,,,,,,,,
,,,,,,,,1.254,0.02753,0.04787,-0.6901,0.1141,-0.9833,0.102,-0.5632,-0.4487,0.2796,0.7969,0.2766,0.4903,-0.7831,-0.4216,-0.8912,-0.2181,-0.8191,0.3459,,,,,,,,,,,,,,,,,
