Stimulus,Concentration,Ventrality
methyl trans-2-octenoate,,8.343475053772048
nonanal,,8.220547703620017
methyl octanoate,,8.042794259348623
2-decanone, 1/8,6.954551908226065
decanal,25 ppm,6.931615180921028
methyl 2-octynoate,,6.854832613287622
pentadecane-sigma,0.4ppm,6.521524754997541
valeric acid,25,6.510979313676072
2-undecanone,,6.471891619801298
octanal,,6.465790693029245
heptanal,25 ppm,6.2676725114799385
hexadecane,,6.198676747912873
pentadecane,0.4 ppm,6.09968108804391
tridecane,,6.099278161509094
1-octanol,13.6 ppm,5.975598361650064
decanal,,5.905111769105873
methyl glycolate,,5.815082799456567
dodecane,,5.519462379386695
pentadecane-alfaaesar,0.4ppm,5.50845628818578
valeric acid,6.25,5.483793655817164
hexanal,,5.462340794753383
1-heptanol,36 ppm,5.271248272388998
"trans,trans-2,4-decadienal",1/20 in mineral oil,5.241050699238633
celery,,5.222661941979956
1-hexanol,,5.217818373510742
ethyl heptanoate,75 ppm,5.160401468968187
navelorange,,5.160350089991054
ethyl caprylate,,5.121211369997047
1-heptanol,30 ppm,5.119190621279485
tetradecane,,5.059382398179144
methanol,10000ppm,5.046691129846145
"trans-2,cis-6-nonadienal",,5.02387342565417
lauryl acetate,,4.952063241730497
grass,,4.8047119294970395
pineneedles,,4.779690171632932
ethyl 3-methyl-3-phenylglycidate,,4.735985617067384
undecane,,4.694163247167824
ethyl heptanoate,75 ppm,4.650494218969827
1-nonanol,,4.633054114419625
trans-2-hexen-1-ol,,4.541506196994508
hexyl acetate,,4.478166857334091
goldendeliciousapple,0.13744566,4.477344147853996
"trans,trans-2,6-nonadienal",,4.474023376190864
heptanal,578 ppm,4.381778933926576
1-decanol,,4.326053402148162
valeric acid ,3.12,4.221712815816181
beta-pinene,,4.167396991301561
undecylenic acid,1/20 in mineral oil,4.159651742642986
methyl heptanoate,,4.114822584231106
pentanethiol,"1/1,000,000 in water",4.071550893088339
geraniol,,4.047613022863324
mackeralpike,,4.036453599246004
valeric acid,12.5,4.008391555235496
vanillin,,4.007708507322254
grannysmithapple,,3.9456749518726806
heptane,250ppm,3.9289578329022152
9-decen-1-ol,,3.8998209246554154
fujiapple,,3.8438278988609205
pineapple,,3.8414930355495462
trans-3-hexen-1-ol,,3.761096078947824
valeric acid,7.2 ppm,3.7214340057222
dipropyl disulfide,,3.7049890751870738
5-hexen-1-ol,,3.694500113213528
pentadecane,0.4 ppm,3.6692171484071627
pentadecane-acros,0.4ppm,3.620590295161546
nonane,,3.613087939013532
methanol,15000ppm,3.6047579457916044
2-nonanone,75 ppm,3.5885733269256743
1-heptanol,36 ppm,3.5661295782286593
1-octanol,,3.5300503357657087
groundbeef,,3.373996171643001
ethyl lactate,,3.3161486161190954
heptane,80ppm,3.314097765539474
"3,7-dimethyloctan-1-ol",,3.2933356824971676
butyric acid,1/20 in mineral oil,3.282743377690852
methyl nicotinate,,3.195337860626231
pentylamine,1/100 in water,3.1051162508123618
valeric acid,25,3.094014061088857
valeric acid,1/20 in mineral oil,3.0794310832703657
pentanal,25,3.078602415884054
3-methoxyphenol,,3.0759268296099087
nerol,,3.05034809333837
1-hexanol,,3.0365897660843117
butanal,25ppm,3.0319849078533547
methanol,2500ppm,3.0236422874957887
methyl caproate,,2.98392491660166
banana,,2.9226711806110375
garlic,,2.9111163659022665
banana,,2.8971925288697493
geranyl acetate,,2.7910347474480264
galaapple,,2.7650485982561896
cedarwood,,2.7480786082037545
dipropylsulfide,"1/100,000 in water",2.731601363488326
dodecanal,,2.6546751538142495
guaiacol,,2.5358642597713086
diethyl succinate,,2.519648672338356
2-undecanol,1/4 in mineral oil,2.3477876733500946
maltol,,2.3359955606990424
methyl lactate,,2.3327107620202123
4-pentenoic acid,,2.2751655593199596
(1S)-(-)-beta-pinene,1/20 in mineral oil,2.221533445493133
pentanal,25 ppm,2.212756160292037
1-pentanol,25 ppm,2.208152944318437
ethanol,2500ppm,2.200530779174673
octanoic acid,,2.1985782275528485
dipropyl sulfide,,2.1914956446994287
neryl acetate,,2.1841607182116802
banana,,2.166743174538455
farnesyl acetone,,2.1038875042800633
ethyl propionate,12 ppm,2.097842471837409
1-pentanol,2.5ppm,2.0976569015119164
beta-caryophyllene,,2.0769289070648385
(+)-limonene ,,2.0705012709910884
