CID,MolecularWeight,IsomericSMILES,IUPACName,name
4,75.11,CC(CN)O,1-aminopropan-2-ol,1-aminopropan-2-ol
190,135.13,C1=NC2=NC=NC(=C2N1)N,7H-purin-6-amine,adenine
239,89.09,C(CN)C(=O)O,3-aminopropanoic acid,beta-alanine
240,106.12,C1=CC=C(C=C1)C=O,benzaldehyde,benzaldehyde
261,72.11,CCCC=O,butanal,butyraldehyde
264,88.11,CCCC(=O)O,butanoic acid,butyric acid
326,148.20,CC(C)C1=CC=C(C=C1)C=O,4-propan-2-ylbenzaldehyde,4-isopropylbenzaldehyde
454,128.21,CCCCCCCC=O,octanal,octanal
460,124.14,COC1=CC=CC=C1O,2-methoxyphenol,guaiacol
527,58.08,CCC=O,propanal,propionaldehyde
586,131.13,CN(CC(=O)O)C(=N)N,2-[carbamimidoyl(methyl)amino]acetic acid,creatine
700,61.08,C(CO)N,2-aminoethanol,ethanolamine
750,75.07,C(C(=O)O)N,2-aminoacetic acid,glycine
978,137.14,C1=CC(=CC=C1C(=O)O)N,4-aminobenzoic acid,4-aminobenzoic acid
994,165.19,C1=CC=C(C=C1)CC(C(=O)O)N,2-amino-3-phenylpropanoic acid,dl-phenylalanine
1032,74.08,CCC(=O)O,propanoic acid,propionic acid
1183,152.15,COC1=C(C=CC(=C1)C=O)O,4-hydroxy-3-methoxybenzaldehyde,vanillin
1254,156.26,CC1CCC(C(C1)O)C(C)C,5-methyl-2-propan-2-ylcyclohexan-1-ol,menthol
1344,114.19,C1CCN(C1)CCN,2-pyrrolidin-1-ylethanamine,1-(2-aminoethyl)pyrrolidine
1738,182.17,COC1=C(C=CC(=C1)CC(=O)O)O,2-(4-hydroxy-3-methoxyphenyl)acetic acid,homovanillic acid
2537,152.23,CC1(C2CCC1(C(=O)C2)C)C,"1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",camphor
2758,154.25,CC1(C2CCC(O1)(CC2)C)C,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",eucalyptol
3314,164.20,COC1=C(C=CC(=C1)CC=C)O,2-methoxy-4-prop-2-enylphenol,eugenol
4133,152.15,COC(=O)C1=CC=CC=C1O,methyl 2-hydroxybenzoate,methyl salicylate
4657,151.21,COC1=CC=C(C=C1)CCN,2-(4-methoxyphenyl)ethanamine,4-methoxyphenethylamine
4837,86.14,C1CNCCN1,piperazine,piperazine
5144,162.18,C=CCC1=CC2=C(C=C1)OCO2,"5-prop-2-enyl-1,3-benzodioxole",safrole
5603,115.22,CCCCCC(C)N,heptan-2-amine,2-aminoheptane
5610,137.18,C1=CC(=CC=C1CCN)O,4-(2-aminoethyl)phenol,tyramine
5879,290.4,C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O,"(3R,5S,8R,9S,10S,13S,14S)-3-hydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,14,15,16-tetradecahydrocyclopenta[a]phenanthren-17-one",androsterone
5970,197.66,C[N+](C)(C)CC(CC(=O)O)O.[Cl-],(3-carboxy-2-hydroxypropyl)-trimethylazanium;chloride,dl-carnitine hydrochloride
6115,93.13,C1=CC=C(C=C1)N,aniline,aniline
6184,100.16,CCCCCC=O,hexanal,hexanal
6209,139.62,C[N+](C)(C)CCO.[Cl-],2-hydroxyethyl(trimethyl)azanium;chloride,choline chloride
6306,131.17,CC[C@H](C)[C@@H](C(=O)O)N,"(2S,3S)-2-amino-3-methylpentanoic acid",l-isoleucine
6341,45.08,CCN,ethanamine,ethanamine
6363,59.11,CC(C)N,propan-2-amine,isopropylamine
6569,72.11,CCC(=O)C,butan-2-one,2-butanone
6584,74.08,CC(=O)OC,methyl acetate,methyl acetate
6616,136.23,CC1(C2CCC(C2)C1=C)C,"2,2-dimethyl-3-methylidenebicyclo[2.2.1]heptane",camphene
6657,103.12,CCC(C(=O)O)N,2-aminobutanoic acid,dl-2-aminobutyric acid
6669,294.30,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C,"1-(4-tert-butyl-2,6-dimethyl-3,5-dinitrophenyl)ethanone",musk ketone
7047,129.16,C1=CC=C2C(=C1)C=CC=N2,quinoline,quinoline
7144,138.16,CC1=CC(=C(C=C1)O)OC,2-methoxy-4-methylphenol,2-methoxy-4-methylphenol
7150,136.15,COC(=O)C1=CC=CC=C1,methyl benzoate,methyl benzoate
7284,86.13,CCC(C)C=O,2-methylbutanal,2-methylbutyraldehyde
7408,121.18,CC(C1=CC=CC=C1)N,1-phenylethanamine,1-phenylethanamine
7410,120.15,CC(=O)C1=CC=CC=C1,1-phenylethanone,acetophenone
7417,135.16,CC(=O)C1=CC(=CC=C1)N,1-(3-aminophenyl)ethanone,3'-aminoacetophenone
7460,136.23,CC1=CCC(C=C1)C(C)C,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",alpha-phellandrene
7463,134.22,CC1=CC=C(C=C1)C(C)C,1-methyl-4-propan-2-ylbenzene,p-cymene
7468,135.16,CC(=O)C1=CC=C(C=C1)N,1-(4-aminophenyl)ethanone,4'-aminoacetophenone
7500,106.16,CCC1=CC=CC=C1,ethylbenzene,ethylbenzene
7504,107.15,C1=CC=C(C=C1)CN,phenylmethanamine,benzylamine
7508,110.15,C1CC(CC=C1)C=O,cyclohex-3-ene-1-carbaldehyde,3-cyclohexene-1-carboxaldehyde
7650,178.23,CCCC(=O)OCC1=CC=CC=C1,benzyl butanoate,benzyl butyrate
7658,192.25,CCCC(=O)OCCC1=CC=CC=C1,2-phenylethyl butanoate,phenethyl butyrate
7674,122.16,CCOC1=CC=CC=C1,ethoxybenzene,phenetole
7705,134.22,CCCCC1=CC=CC=C1,butylbenzene,butylbenzene
7731,122.16,CC1=CC=C(C=C1)OC,1-methoxy-4-methylbenzene,4-methylanisole
7758,116.16,CCC(C)OC(=O)C,butan-2-yl acetate,sec-butyl acetate
7762,116.16,CCCC(=O)OCC,ethyl butanoate,ethyl butyrate
