CID A,CID B,Subject,Rep,IA,IAmix,IB,IBmix,IAB,PA,PB,PAB
179,31249,2,1,1.6,0.0,5.6,7.0,6.8,6.3,5.6,5.5
179,31249,3,1,5.0,5.3,4.9,5.1,6.3,6.8,3.6,4.2
179,31249,5,1,5.2,4.7,5.4,3.8,4.9,3.7,5.3,3.8
179,31249,7,1,4.1,0.0,8.0,10.0,7.0,4.0,6.0,6.0
179,31249,14,1,5.2,5.7,5.8,4.1,5.4,5.1,5.1,6.2
179,31249,19,1,6.0,7.2,7.0,7.7,7.5,4.4,4.4,3.6
179,31249,21,1,4.1,4.5,5.0,4.0,6.8,3.4,7.5,4.1
179,31249,22,1,5.6,5.6,4.7,7.1,5.6,7.5,8.7,7.7
179,31249,25,1,6.7,5.4,6.6,4.6,7.0,5.0,5.0,7.3
179,31249,26,1,6.7,10.1,7.4,5.6,7.4,4.5,7.5,6.6
179,31249,27,1,9.0,8.1,8.0,8.0,9.0,4.4,5.5,4.5
179,31249,28,1,5.8,6.7,6.7,5.0,6.3,3.4,4.3,7.8
179,31249,34,1,7.5,5.3,9.7,7.8,8.3,5.3,3.7,4.3
179,31249,36,1,6.9,7.6,8.6,0.0,8.8,5.1,5.1,5.1
179,31249,37,1,4.0,3.2,6.2,0.0,6.1,4.1,8.9,3.1
179,31249,39,1,5.6,6.7,4.0,3.0,7.0,8.0,5.6,8.1
179,31249,40,1,8.2,9.0,8.5,10.6,8.3,3.6,5.9,5.9
179,31249,41,1,7.1,8.5,6.5,5.2,6.0,4.8,5.1,4.7
179,31249,45,1,3.6,0.4,6.1,4.3,5.9,3.7,2.7,2.8
179,31249,46,1,8.1,10.5,7.7,3.9,9.1,9.9,9.8,9.1
179,31249,48,1,6.6,9.9,7.4,8.1,7.9,5.0,6.4,4.3
179,31249,49,1,5.4,3.2,5.6,5.0,5.4,4.3,5.5,4.5
179,31249,51,1,5.0,8.0,6.6,4.0,6.6,1.7,5.0,1.6
179,31249,53,1,5.1,6.1,5.1,0.0,6.8,5.9,5.2,5.9
179,31249,54,1,4.7,3.5,4.1,4.5,4.0,5.0,5.4,5.1
179,31249,55,1,5.4,4.3,5.0,6.3,5.6,7.0,7.9,6.9
179,31249,59,1,6.4,7.0,7.2,5.0,7.2,2.7,2.6,2.2
179,31249,60,1,5.1,4.1,5.2,2.6,5.6,5.3,7.4,4.9
179,31249,62,1,6.1,5.5,5.6,4.8,6.1,5.5,9.3,9.3
179,31249,63,1,2.9,3.6,5.0,6.3,5.0,3.9,3.3,3.0
240,61592,3,1,4.7,4.9,3.5,3.5,6.3,3.5,4.5,5.8
240,61592,5,1,6.3,5.7,5.0,6.3,2.0,5.2,4.6,4.0
240,61592,7,1,6.0,7.5,3.0,1.5,6.2,8.0,3.0,4.7
240,61592,9,1,6.6,3.3,3.0,3.0,5.4,4.1,3.1,5.0
240,61592,11,1,5.5,4.7,5.5,3.0,8.2,5.6,6.0,1.8
240,61592,12,1,8.2,5.7,2.3,2.3,7.2,2.4,7.6,4.7
240,61592,13,1,7.0,4.9,6.8,7.5,6.4,4.5,5.3,1.5
240,61592,17,1,8.3,4.2,0.2,0.2,7.2,1.3,5.0,6.3
240,61592,21,1,8.0,6.4,3.3,6.6,5.7,4.2,4.2,5.1
240,61592,23,1,5.0,6.0,4.6,5.3,6.1,7.6,3.1,5.2
240,61592,25,1,6.4,5.1,6.0,0.0,8.0,7.0,3.7,4.6
240,61592,27,1,9.0,7.2,6.0,6.0,6.1,4.0,4.0,8.0
240,61592,29,1,6.0,4.8,6.0,5.4,8.0,9.0,8.0,4.0
240,61592,32,1,9.3,6.5,4.3,5.2,7.4,3.1,5.0,2.7
240,61592,34,1,9.7,8.7,6.4,1.3,8.0,1.3,3.6,5.1
240,61592,35,1,8.3,7.5,2.3,2.3,8.6,5.1,5.1,4.2
240,61592,36,1,9.0,11.0,3.6,3.6,7.0,4.1,5.8,3.0
240,61592,37,1,6.0,3.6,6.0,6.0,6.6,3.0,3.0,7.3
240,61592,38,1,7.2,5.4,6.3,5.7,6.9,7.5,6.1,2.5
240,61592,40,1,6.9,7.6,4.0,0.8,6.0,2.4,6.1,3.8
240,61592,45,1,6.1,4.9,3.4,0.3,9.1,3.7,2.7,9.9
240,61592,46,1,10.0,8.0,0.3,0.5,9.0,10.0,5.0,2.0
240,61592,47,1,9.7,4.9,4.0,4.0,6.3,0.0,4.0,7.5
240,61592,49,1,7.3,6.6,6.3,6.3,5.5,7.5,3.2,5.5
240,61592,51,1,6.3,3.2,4.4,4.0,7.2,5.6,5.2,5.9
240,61592,57,1,6.1,3.7,5.2,2.6,5.5,5.3,5.3,5.7
240,61592,59,1,7.3,6.2,6.2,4.7,7.7,2.9,3.2,2.3
240,61592,61,1,7.0,6.7,1.3,1.3,5.1,1.4,3.5,2.4
240,61592,63,1,6.8,5.1,2.8,4.2,5.0,8.1,5.0,8.0
240,61592,65,1,8.4,6.7,6.6,6.6,8.6,4.5,2.6,3.6
261,61592,1,1,8.3,2.5,1.8,0.0,5.0,2.4,5.0,3.9
261,61592,2,1,8.5,9.4,7.3,3.7,8.6,2.6,3.6,2.5
261,61592,5,1,5.4,5.9,6.4,0.0,5.8,2.7,1.5,2.6
261,61592,7,1,7.0,10.5,6.0,0.0,8.0,2.0,4.0,0.9
261,61592,9,1,8.5,7.7,6.5,9.1,7.8,2.6,3.2,2.2
261,61592,11,1,5.5,2.8,7.0,3.5,5.9,3.1,2.1,2.1
261,61592,12,1,8.0,8.0,9.2,0.0,8.0,3.0,0.3,4.0
261,61592,14,1,6.0,6.6,6.0,5.4,7.5,3.5,3.0,4.0
261,61592,16,1,8.6,11.0,6.8,5.1,9.4,1.4,2.8,2.8
261,61592,19,1,8.0,8.4,3.2,2.6,7.5,4.0,2.5,4.1
261,61592,24,1,4.0,4.0,3.8,5.3,4.9,3.1,3.5,4.2
261,61592,27,1,6.9,3.5,5.2,0.0,9.2,6.2,5.3,3.4
261,61592,28,1,5.7,7.4,4.7,2.4,6.9,0.3,2.2,0.1
261,61592,29,1,5.3,5.3,4.0,2.8,5.2,8.0,8.9,8.5
261,61592,30,1,5.4,5.7,4.8,5.3,5.8,3.1,3.5,2.7
261,61592,32,1,7.1,4.3,2.1,0.0,5.8,2.0,3.5,3.1
261,61592,33,1,7.0,5.6,6.0,6.0,6.0,1.9,4.0,4.0
261,61592,34,1,8.6,6.9,7.5,6.0,6.3,0.4,1.5,2.5
261,61592,35,1,5.2,2.6,5.0,7.5,5.3,2.8,3.5,2.9
261,61592,41,1,7.4,5.9,6.1,7.9,6.8,2.5,2.9,3.2
261,61592,47,1,9.5,4.8,1.9,2.9,9.0,0.5,2.9,0.9
261,61592,48,1,8.5,7.7,6.8,7.5,7.5,4.7,5.6,4.4
261,61592,52,1,7.6,8.7,5.3,4.2,8.0,2.3,3.5,2.3
261,61592,53,1,6.2,8.7,3.1,0.0,7.3,4.3,4.4,4.6
261,61592,54,1,5.6,8.4,2.8,2.1,5.0,2.8,5.0,1.7
261,61592,55,1,6.5,4.6,5.0,2.0,5.5,0.0,2.4,0.0
261,61592,56,1,8.1,6.5,5.0,8.5,9.6,1.0,4.1,0.1
261,61592,60,1,5.2,4.4,4.4,2.9,6.0,7.7,6.3,7.8
261,61592,61,1,6.2,6.8,1.3,0.0,7.8,3.5,2.4,3.5
261,61592,64,1,5.0,5.5,3.1,0.0,6.1,4.3,5.0,2.5
454,7590,2,1,6.3,4.7,5.6,4.2,6.7,6.4,7.4,6.6
454,7590,3,1,6.6,6.3,4.8,5.0,5.7,3.4,6.3,4.9
454,7590,5,1,5.7,5.1,5.8,7.3,7.3,2.3,2.3,1.9
454,7590,7,1,5.1,6.4,2.0,2.0,6.0,1.0,0.2,1.2
454,7590,9,1,4.4,5.7,4.3,5.6,5.7,3.9,3.3,4.3
454,7590,12,1,6.2,6.2,6.1,5.8,3.9,1.0,1.1,2.1
454,7590,13,1,6.3,5.0,6.3,6.6,6.3,4.0,5.0,5.5
454,7590,14,1,7.0,7.0,7.0,7.0,8.0,4.3,4.4,4.4
454,7590,25,1,6.7,4.7,5.8,5.8,6.3,2.5,0.3,3.4
454,7590,26,1,7.5,11.0,6.7,3.4,7.4,2.7,2.7,1.7
454,7590,27,1,6.7,5.0,8.7,11.0,9.2,8.2,8.4,8.3
454,7590,29,1,5.1,1.0,5.4,5.4,5.5,5.0,0.4,0.5
454,7590,32,1,5.6,2.8,7.7,3.9,7.3,2.3,7.2,2.0
454,7590,34,1,3.7,1.5,9.4,7.5,8.4,7.7,1.5,1.4
454,7590,35,1,6.8,3.4,6.7,3.4,6.0,3.4,2.7,2.1
454,7590,36,1,6.3,5.0,6.7,8.7,9.2,5.8,3.8,3.5
454,7590,39,1,5.0,3.8,7.0,8.4,8.0,7.8,5.6,6.4
