Stimulus,CID,Concentration (mg/mL),Solvent,Purity
179,179,25.2,water,≥97%
240,240,3.82,"1,2-propanediol",0.99
261,261,10.8,"1,2-propanediol",≥97%
454,454,2.44,"1,2-propanediol",0.99
650,650,9.89,"1,2-propanediol",0.99
998,998,2.32,"1,2-propanediol",≥90%
1183,1183,0.786,"1,2-propanediol",0.98
2758,2758,4.62,"1,2-propanediol",≥97%
2879,2879,5.53,"1,2-propanediol",≥97%
3314,3314,0.467,"1,2-propanediol",0.99
6184,6184,1.26,"1,2-propanediol",0.98
6549,6549,6.12,"1,2-propanediol",≥80%
6920,6920,1.62,"1,2-propanediol",≥98%
7284,7284,3.57,"1,2-propanediol",0.95
7302,7302,143.0,"1,2-propanediol",≥97%
7342,7342,4.49,"1,2-propanediol",0.99
7438,7438,9.68,"1,2-propanediol",0.97
7463,7463,3.27,mineral oil,≥97%
7590,7590,1.18,"1,2-propanediol",0.99
7654,7654,9.92,"1,2-propanediol",0.99
7714,7714,33.5,"1,2-propanediol",0.99
7720,7720,9.46,"1,2-propanediol",≥99%
7742,7742,4.3,"1,2-propanediol",≥98%
7749,7749,1.3,"1,2-propanediol",0.99
7762,7762,8.14,"1,2-propanediol",0.99
7765,7765,2.0,"1,2-propanediol",0.99
7799,7799,8.47,"1,2-propanediol",≥99%
7800,7800,97.9,"1,2-propanediol",0.99
7895,7895,1.66,"1,2-propanediol",0.98
7945,7945,0.127,"1,2-propanediol",0.98
8063,8063,12.0,"1,2-propanediol",≥95%
8091,8091,2.73,"1,2-propanediol",0.99
8093,8093,1.11,"1,2-propanediol",≥97%
8129,8129,11.8,"1,2-propanediol",≥99%
8186,8186,0.357,"1,2-propanediol",≥97%
8723,8723,7.2,"1,2-propanediol",≥99%
8785,8785,8.08,"1,2-propanediol",0.99
8842,8842,3.65,"1,2-propanediol",≥97%
10430,10430,79.0,"1,2-propanediol",0.98
10448,10448,0.593,"1,2-propanediol",0.98
10882,10882,7.18,"1,2-propanediol",≥98%
10976,10976,1.74,"1,2-propanediol",≥97%
11086,11086,49.8,"1,2-propanediol",0.98
12748,12748,0.385,"1,2-propanediol",≥98%
12756,12756,3.43,"1,2-propanediol",≥97%
12813,12813,7.36,"1,2-propanediol",≥98%
13187,13187,3.05,"1,2-propanediol",≥97%
16821,16821,22.4,"1,2-propanediol",≥97%
18635,18635,0.068,"1,2-propanediol",≥97%
18827,18827,1.48,"1,2-propanediol",0.98
19310,19310,0.000805,"1,2-propanediol",≥97%
22873,22873,7.41,"1,2-propanediol",>98%
24020,24020,3.99,"1,2-propanediol",0.99
31244,31244,4.24,"1,2-propanediol",≥99%
31249,31249,388.0,"1,2-propanediol",0.98
31253,31253,1.62,mineral oil,≥97%
31260,31260,2.06,"1,2-propanediol",≥99%
31272,31272,2.31,"1,2-propanediol",0.99
61592,61592,0.373,"1,2-propanediol", >99%
61653,61653,1.01,"1,2-propanediol",≥98%
62465,62465,3.58,"1,2-propanediol",0.98
62725,62725,0.315,"1,2-propanediol",0.99
78126,78126,0.279,"1,2-propanediol",≥97%
521348,521348,0.593,"1,2-propanediol",0.98
637563,637563,4.4,mineral oil,≥99%
637566,637566,4.79,"1,2-propanediol",0.98
637758,637758,8.25,"1,2-propanediol",0.98
643820,643820,2.66,mineral oil,≥97%
853433,853433,3.33,"1,2-propanediol",≥97%
1549026,1549026,10.4,"1,2-propanediol",0.98
5281167,5281167,1.44,"1,2-propanediol",0.98
9855795,9855795,4.91,mineral oil,≥65%
