Stimulus,CID,CASNo,OdorName
1024,16724,2244-16-8,(+)-carvone
1025,439570,6485-40-1,(-)-carvone
1067,8094,111-14-8,heptanoic acid
1069,1032,79-09-4,propionic acid
1078,12348,628-63-7,n-amyl acetate
1081,4458,106-24-1,geraniol
1089,241,71-43-2,benzene
1101,31244,123-11-5,anisaldehyde
1111,307,14371-10-9,cinnamaldehyde
1113,7794,5949-05-3,(-)-citronellal
1115,323,91-64-5,coumarin
1116,7967,108-94-1,Cyclohexanone
1117,7463,99-87-6,p-cymene
1118,31358,126-81-8,"5,5-Dimethyl-1,3-cyclohexanedione"
1145,8051,110-43-0,2-heptanone
1147,3314,97-53-0,eugenol
1155,2266,123-99-9,nonanedioic acid
1164,957,111-87-5,1-octanol
1171,31289,124-19-6,nonanal
1174,7410,98-86-2,acetophenone
1190,62378,1128-08-1,dihydrojasmone
1191,15717,1797-74-6,allyl phenylacetate
1192,17356,2550-40-5,dicyclohexyl disulfide
1202,20499,4437-20-1,coffee difuran
1203,1133,68-11-1,thioglycolic acid
1210,1049,110-86-1,pyridine
1213,10558,513-44-0,2-methyl-1-propanethiol
1262,26955,14901-07-6,beta-Ionone 
1274,8144,111-88-6,1-octanethiol
1278,181287,60633-24-1,TMT
1281,16666,2216-51-5,(-)-menthol
1282,165675,15356-60-2,(+)-menthol
1283,263,71-36-3,1-butanol
1284,6569,78-93-3,2-butanone
1285,19801,3913-71-1,2-decenal
1286,106997,18368-91-7,2-ethylfenchol
1287,7144,93-51-6,2-methoxy-4-methylphenol
1288,12587,646-07-1,4-methylvaleric acid
1289,-1,8015-62-1,ambrette
1290,86705,18339-16-7,androstenone
1291,-2,8007-70-3,anise
1292,-3,,banana
1293,64832,18127-01-0,bourgeonal
1294,31272,123-86-4,butyl acetate
1295,264,107-92-6,butyric acid
1296,8892,142-62-1,caproic acid
1297,-4,68990-83-0,cedarwood
1298,2758,470-82-6,cineole
1299,-5,8015-91-6,cinnamon
1300,10993,928-96-1,cis-3-hexen-1-ol
1301,8843,5392-40-5,citral
1302,-6,8000-29-1,citronella
1303,8175,112-31-2,decyl aldehyde
1304,650,431-03-8,diacetyl
1305,11617,592-88-1,diallyl sulfide
1306,7583,101-84-8,diphenyl ether
1307,8467,121-32-4,ethyl vanillin
1308,61014,105-95-3,ethylene brassylate
1310,7136,93-28-7,eugenol acetate
1311,7127,93-15-2,eugenol methyl ether
1312,14525,7787-20-4,fenchone
1313,-7,,fir
1314,91497,1222-05-5,galaxolide
1315,261258,4075-07-4,androstadienone
1316,7780,105-87-3,geranyl acetate
1317,460,90-05-1,guaiacol
1318,8130,111-71-7,heptaldehyde
1319,8159,112-06-1,heptyl acetate
1320,17525,2639-63-6,hexyl butyrate
1321,6448,125-12-2,isobornyl acetate
1322,6561,78-84-2,isobutyraldehyde
1323,6590,79-31-2,isobutyric acid
1324,7338,97-54-1,isoeugenol
1325,10430,503-74-2,isovaleric acid
1326,-8,8022-96-6,jasmine
1327,-9,8008-26-2,lime
1328,6549,78-70-6,linalool
1329,878,74-93-1,methanethiol
1330,4133,119-36-8,methyl salicylate
1332,-10,8008-45-5,nutmeg
1333,8164,112-14-1,octyl acetate
1334,454,124-13-0,octyl aldehyde
1335,-11,8008-57-9,orange
1336,235414,106-02-5,pentadecalactone
1337,998,122-78-1,phenyl acetaldehyde
1338,9261,290-37-9,pyrazine
1339,7439,6485-40-1,r-carvone
1340,12306915,5989-27-5,r-limonene
1341,-12,8006-87-9,sandalwood
1342,-13,8008-79-5,spearmint
1343,17100,98-55-5,terpineol
1344,111037,80-26-2,terpinyl acetate
1345,8186,112-44-7,undecanal
1346,1183,121-33-5,vanillin
1348,64805,1205-17-0,helional
1360,7047,91-22-5,quinoline
1367,14228,1117-55-1,hexyl octanoate
1372,22227,5524-05-0 ,(+)-dihydrocarvone
1375,7150,93-58-3,methyl benzoate
1377,8461,121-14-2,"2,4-DNT"
1378,228987,80-54-6,lilial
1379,91604,31906-04-4,lyral
1388,61052,122-74-7,3-phenyl propyl propionate
1391,20797,4674-50-4,amyl laurate
1396,62835,28664-35-9,caramel furanone
1410,8091,111-11-5,methyl octanoate
1411,10890,540-18-1,amyl butyrate
1412,17429,2591-86-8,1-formylpiperidine
1414,193087,35205-70-0,3-methyl-2-hexenoic acid
1416,24433,7756-96-9,butyl anthranilate
2022,-14,,CD293
