CID,Name,MW,SMILES,IUPACName,abraham-2013,arctander-1960,bozza-cabinet,bushdid-2014,chae-2019,datta-cabinet,davison-2007,dravnieks-1985,enantiomers,flavornet,fleischmann-cabinet,fragrance-db,gerkin-cabinet,goodscents,gras,haddad-2008,leffingwell,mainland-cabinet,mainland-intensity,mainland-receptors,prestwick,rinberg-glomeruli,scott-2014,senselab,sigma-2014,smith-cabinet,sobel-2013,superscent,wakayama-2019
4,1-aminopropan-2-ol,75.11,CC(CN)O,1-aminopropan-2-ol,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11,"1,2-dichloroethane",98.96,C(CCl)Cl,"1,2-dichloroethane",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,3-methyl-2-oxovaleric acid,130.14,CCC(C)C(=O)C(=O)O,3-methyl-2-oxopentanoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,3-methyl-2-oxobutanoic acid,116.11,CC(C)C(=O)C(=O)O,3-methyl-2-oxobutanoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2-ketoglutaric acid,146.1,C(CC(=O)O)C(=O)C(=O)O,2-oxopentanedioic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,2-oxobutanoic acid,102.09,CCC(=O)C(=O)O,2-oxobutanoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
70,4-methyl-2-oxopentanoic acid,130.14,CC(C)CC(=O)C(=O)O,4-methyl-2-oxopentanoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,"3,4-dihydroxybenzoic acid",154.12,C1=CC(=C(C=C1C(=O)O)O)O,"3,4-dihydroxybenzoic acid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
98,3-mercaptopyruvic acid,120.13,C(C(=O)C(=O)O)S,2-oxo-3-sulfanylpropanoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
101,3-hydroxybenzaldehyde,122.12,C1=CC(=CC(=C1)O)C=O,3-hydroxybenzaldehyde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
