CID,MolecularWeight,IsomericSMILES,IUPACName,name
454,128.21,CCCCCCCC=O,octanal,octanal
7410,120.15,CC(=O)C1=CC=CC=C1,1-phenylethanone,acetophenone
7461,136.23,CC1=CCC(=CC1)C(C)C,"1-methyl-4-propan-2-ylcyclohexa-1,4-diene",gamma-terpinene
7762,116.16,CCCC(=O)OCC,ethyl butanoate,ethyl butyrate
8063,86.13,CCCCC=O,pentanal,pentanal
8857,88.11,CCOC(=O)C,ethyl acetate,ethyl acetate
11583,100.16,CCCCC(=O)C,hexan-2-one,2-hexanone
31276,130.18,CC(C)CCOC(=O)C,3-methylbutyl acetate,isoamyl acetate
5281163,128.17,CCOC(=O)/C(=C/C)/C,ethyl (E)-2-methylbut-2-enoate,ethyl tiglate
5323652,114.14,C/C=C(\C)/C(=O)OC,methyl (E)-2-methylbut-2-enoate,methyl tiglate
