subject,experiment,cell,filename
1_0,1,0,a201024-001_bank1.mat
1_1,1,1,a201024-001_bank1.mat
1_2,1,2,a201024-001_bank1.mat
1_3,1,3,a201024-001_bank1.mat
1_4,1,4,a201024-001_bank1.mat
1_5,1,5,a201024-001_bank1.mat
1_6,1,6,a201024-001_bank1.mat
1_7,1,7,a201024-001_bank1.mat
1_8,1,8,a201024-001_bank1.mat
1_9,1,9,a201024-001_bank1.mat
1_10,1,10,a201024-001_bank1.mat
1_11,1,11,a201024-001_bank1.mat
1_12,1,12,a201024-001_bank1.mat
1_13,1,13,a201024-001_bank1.mat
1_14,1,14,a201024-001_bank1.mat
1_15,1,15,a201024-001_bank1.mat
1_16,1,16,a201024-001_bank1.mat
1_17,1,17,a201024-001_bank1.mat
1_18,1,18,a201024-001_bank1.mat
1_19,1,19,a201024-001_bank1.mat
1_20,1,20,a201024-001_bank1.mat
1_21,1,21,a201024-001_bank1.mat
1_22,1,22,a201024-001_bank1.mat
1_23,1,23,a201024-001_bank1.mat
1_24,1,24,a201024-001_bank1.mat
1_25,1,25,a201024-001_bank1.mat
1_26,1,26,a201024-001_bank1.mat
1_27,1,27,a201024-001_bank1.mat
1_28,1,28,a201024-001_bank1.mat
1_29,1,29,a201024-001_bank1.mat
1_30,1,30,a201024-001_bank1.mat
1_31,1,31,a201024-001_bank1.mat
1_32,1,32,a201024-001_bank1.mat
1_33,1,33,a201024-001_bank1.mat
1_34,1,34,a201024-001_bank1.mat
1_35,1,35,a201024-001_bank1.mat
1_36,1,36,a201024-001_bank1.mat
1_37,1,37,a201024-001_bank1.mat
1_38,1,38,a201024-001_bank1.mat
1_39,1,39,a201024-001_bank1.mat
1_40,1,40,a201024-001_bank1.mat
1_41,1,41,a201024-001_bank1.mat
1_42,1,42,a201024-001_bank1.mat
1_43,1,43,a201024-001_bank1.mat
1_44,1,44,a201024-001_bank1.mat
1_45,1,45,a201024-001_bank1.mat
1_46,1,46,a201024-001_bank1.mat
1_47,1,47,a201024-001_bank1.mat
1_48,1,48,a201024-001_bank1.mat
1_49,1,49,a201024-001_bank1.mat
1_50,1,50,a201024-001_bank1.mat
1_51,1,51,a201024-001_bank1.mat
1_52,1,52,a201024-001_bank1.mat
1_53,1,53,a201024-001_bank1.mat
1_54,1,54,a201024-001_bank1.mat
2_0,2,0,a200624-001_bank1.mat
2_1,2,1,a200624-001_bank1.mat
2_2,2,2,a200624-001_bank1.mat
2_3,2,3,a200624-001_bank1.mat
2_4,2,4,a200624-001_bank1.mat
2_5,2,5,a200624-001_bank1.mat
2_6,2,6,a200624-001_bank1.mat
2_7,2,7,a200624-001_bank1.mat
2_8,2,8,a200624-001_bank1.mat
2_9,2,9,a200624-001_bank1.mat
2_10,2,10,a200624-001_bank1.mat
2_11,2,11,a200624-001_bank1.mat
2_12,2,12,a200624-001_bank1.mat
2_13,2,13,a200624-001_bank1.mat
2_14,2,14,a200624-001_bank1.mat
2_15,2,15,a200624-001_bank1.mat
2_16,2,16,a200624-001_bank1.mat
2_17,2,17,a200624-001_bank1.mat
2_18,2,18,a200624-001_bank1.mat
2_19,2,19,a200624-001_bank1.mat
2_20,2,20,a200624-001_bank1.mat
2_21,2,21,a200624-001_bank1.mat
2_22,2,22,a200624-001_bank1.mat
2_23,2,23,a200624-001_bank1.mat
2_24,2,24,a200624-001_bank1.mat
2_25,2,25,a200624-001_bank1.mat
2_26,2,26,a200624-001_bank1.mat
2_27,2,27,a200624-001_bank1.mat
2_28,2,28,a200624-001_bank1.mat
2_29,2,29,a200624-001_bank1.mat
2_30,2,30,a200624-001_bank1.mat
2_31,2,31,a200624-001_bank1.mat
2_32,2,32,a200624-001_bank1.mat
2_33,2,33,a200624-001_bank1.mat
2_34,2,34,a200624-001_bank1.mat
