,MolecularWeight,IsomericSMILES,IUPACName,name
-739906803644,516.10163758,N12C(=O)[C@H]([C@H]1SCC(=C2C(=O)O)C[N+]1(C)CCCC1)NC(=O)/C(=N\OC)/c1nc(sc1)N.[Cl-]	,,
-728172053246,841.5061800159999,C1(C(C(C(C(O1)C)OC1CC(C(C(O1)C)O)(O)C)N(C)C)O)O[C@@H]1[C@H]([C@@H](CC(=O)O[C@@H](C/C=C/C=C/[C@H](OC2OC(C(CC2)N(C)C)C)[C@@H](C[C@@H]1CC=O)C)C)O*)OC	,,
-295627774688,678.1326839980001,[C@H]1([C@H]([C@@H]([C@H](O[C@H]1S[Au]=P(CC)(CC)CC)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C	,,
-195689773322,736.3310822000001,[C@]123C4N(C=C5C6[C@@]7([C@H]8[N@+](C/C(=C\CO)/[C@@H]5C8)(CC7)CC=C)c5c(N6C=C4[C@@H]4/C(=C/CO)/C[N@@+]([C@H]1C4)(CC3)CC=C)cccc5)c1c2cccc1.[Cl-].[Cl-]	,,
204,158.12,C1(C(=O)NC(=O)N1)NC(=O)N,"(2,5-dioxoimidazolidin-4-yl)urea",allantoin
460,124.14,COC1=CC=CC=C1O,2-methoxyphenol,guaiacol
564,131.17,C(CCC(=O)O)CCN,6-aminohexanoic acid,6-aminohexanoic acid
896,232.28,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,N-[2-(5-methoxy-1H-indol-3-yl)ethyl]acetamide,melatonin
936,122.12,C1=CC(=CN=C1)C(=O)N,pyridine-3-carboxamide,nicotinamide
938,123.11,C1=CC(=CN=C1)C(=O)O,pyridine-3-carboxylic acid,nicotinic acid
1046,123.11,C1=CN=C(C=N1)C(=O)N,pyrazine-2-carboxamide,pyrazinamide
1302,230.26,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,2-(6-methoxynaphthalen-2-yl)propanoic acid,23981-80-8
1892,224.22,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCO,"7-(2-hydroxyethyl)-1,3-dimethylpurine-2,6-dione",etofylline
1981,415.8,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,2-[2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetyl]oxyacetic acid,acemetacin
1983,151.16,CC(=O)NC1=CC=C(C=C1)O,N-(4-hydroxyphenyl)acetamide,acetaminophen
1986,222.3,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,"N-(5-sulfamoyl-1,3,4-thiadiazol-2-yl)acetamide",acetazolamide
1989,324.4,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,1-(4-acetylphenyl)sulfonyl-3-cyclohexylurea,acetohexamide
2082,265.33,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,methyl N-(6-propylsulfanyl-1H-benzimidazol-2-yl)carbamate,albendazole
2083,239.31,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,4-[2-(tert-butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)phenol,salbutamol
2122,383.9,C=CCSCC1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,"6-chloro-1,1-dioxo-3-(prop-2-enylsulfanylmethyl)-3,4-dihydro-2H-1lambda6,2,4-benzothiadiazine-7-sulfonamide",althiazide
2123,210.28,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,"2-N,2-N,4-N,4-N,6-N,6-N-hexamethyl-1,3,5-triazine-2,4,6-triamine",altretamine
2141,214.23,C(CN)CNCCSP(=O)(O)O,2-(3-aminopropylamino)ethylsulfanylphosphonic acid,amifostine
2145,232.28,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,"3-(4-aminophenyl)-3-ethylpiperidine-2,6-dione",aminoglutethimide
2148,194.19,C1=CC(=CC=C1C(=O)NCC(=O)O)N,2-[(4-aminobenzoyl)amino]acetic acid,4-aminohippuric acid
2151,203.24,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N,"4-amino-1,5-dimethyl-2-phenylpyrazol-3-one",4-aminoantipyrine
2159,369.5,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,4-amino-N-[(1-ethylpyrrolidin-2-yl)methyl]-5-ethylsulfonyl-2-methoxybenzamide,amisulpride
2162,408.9,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,"3-O-ethyl 5-O-methyl 2-(2-aminoethoxymethyl)-4-(2-chlorophenyl)-6-methyl-1,4-dihydropyridine-3,5-dicarboxylate",amlodipine
2170,313.8,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,"8-chloro-6-piperazin-1-ylbenzo[b][1,4]benzoxazepine",amoxapine
2187,293.4,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,"2-[3-(2-cyanopropan-2-yl)-5-(1,2,4-triazol-1-ylmethyl)phenyl]-2-methylpropanenitrile",anastrozole
2194,240.4,COC1=CC=C(C=C1)C2=CC(=S)SS2,5-(4-methoxyphenyl)dithiole-3-thione,anethole trithione
2196,219.24,COC1=CC=C(C=C1)C(=O)N2CCCC2=O,1-(4-methoxybenzoyl)pyrrolidin-2-one,aniracetam
2202,226.23,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,"1,8-dihydroxy-10H-anthracen-9-one",anthralin
2206,188.23,CC1=CC(=O)N(N1C)C2=CC=CC=C2,"1,5-dimethyl-2-phenylpyrazol-3-one",antipyrine
2244,180.16,CC(=O)OC1=CC=CC=C1C(=O)O,2-acetyloxybenzoic acid,aspirin
2247,458.6,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,1-[(4-fluorophenyl)methyl]-N-[1-[2-(4-methoxyphenyl)ethyl]piperidin-4-yl]benzimidazol-2-amine,astemizole
2265,277.27,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],6-(3-methyl-5-nitroimidazol-4-yl)sulfanyl-7H-purine,azathioprine
2284,213.66,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,4-amino-3-(4-chlorophenyl)butanoic acid,baclofen
2310,155.19,CCC1(CC(=O)NC(=O)C1)C,"4-ethyl-4-methylpiperidine-2,6-dione",bemegride
2315,421.4,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2,"3-benzyl-1,1-dioxo-6-(trifluoromethyl)-3,4-dihydro-2H-1lambda6,2,4-benzothiadiazine-7-sulfonamide",bendroflumethiazide
2333,424.1,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br,"(3,5-dibromo-4-hydroxyphenyl)-(2-ethyl-1-benzofuran-3-yl)methanone",benzbromarone
2337,165.19,CCOC(=O)C1=CC=C(C=C1)N,ethyl 4-aminobenzoate,benzocaine
2343,431.9,C1=CC=C(C=C1)CSCC2=NS(=O)(=O)C3=CC(=C(C=C3N2)Cl)S(=O)(=O)N,"3-(benzylsulfanylmethyl)-6-chloro-1,1-dioxo-4H-1lambda6,2,4-benzothiadiazine-7-sulfonamide",benzthiazide
2375,430.4,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,N-[4-cyano-3-(trifluoromethyl)phenyl]-3-(4-fluorophenyl)sulfonyl-2-hydroxy-2-methylpropanamide,bicalutamide
2378,310.4,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,1-[phenyl-(4-phenylphenyl)methyl]imidazole,bifonazole
2391,361.4,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3,[4-[(4-acetyloxyphenyl)-pyridin-2-ylmethyl]phenyl] acetate,bisacodyl
2446,344.25,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Br,4-amino-5-bromo-N-[2-(diethylamino)ethyl]-2-methoxybenzamide,bromopride
2448,420.3,C1CN(CCC1(C2=CC=C(C=C2)Br)O)CCCC(=O)C3=CC=C(C=C3)F,4-[4-(4-bromophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one,bromperidol
2466,223.27,CCCCOC1=CC=C(C=C1)CC(=O)NO,2-(4-butoxyphenyl)-N-hydroxyacetamide,bufexamac
2471,364.4,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,3-(butylamino)-4-phenoxy-5-sulfamoylbenzoic acid,bumetanide
