smiles,binary_classification_Lys-ab2A,binary_classification_Lys-ab2B,binary_classification_Lys-ab3A,binary_classification_Lys-ab4A,binary_classification_Lys-ab4C,binary_classification_Lys-ab5A
C=C(C)C1CC=C(C)CC1,0,0,0,1,1,0
CCOC(C)=O,0,0,0,1,0,0
CCCCCC(=O)OCC,0,0,0,1,1,0
CCOC(=O)CC(C)O,1,0,0,1,1,0
CCCCCCOC(=O)CCCCC,0,0,0,0,0,0
CCCOC(C)=O,0,0,0,1,0,0
CC(=O)C(C)O,0,0,0,1,0,0
CC(=O)C(C)=O,0,0,0,1,0,0
CCCCCC(C)=O,1,0,0,1,1,0
CC(=O)CCC=C(C)C,1,0,0,1,1,0
CCCCCCO,0,0,0,1,1,0
C=CC(O)CCCCC,1,0,0,1,1,0
Cc1ccccc1O,0,0,0,1,1,0
OCCc1ccccc1,1,0,0,1,1,0
CC(O)C(C)O,1,0,0,1,0,0
CC1(O)CC2CCC1(C)C2(C)C,0,0,0,1,0,0
C=CC(C)(O)CCC=C(C)C,1,0,0,0,1,0
CC=O,0,0,0,1,1,0
O=Cc1ccccc1,1,0,0,1,1,0
CCCC=O,1,1,1,1,1,1
CCCCC=O,1,1,1,1,1,1
CCC/C=C/C=O,1,1,1,1,1,1
CCNCC,0,0,0,1,1,0
CCN,0,0,0,0,0,0
C1CCNC1,0,0,0,0,0,0
c1ccncc1,0,0,0,1,0,0
NCCCCCN,0,0,0,0,1,0
NCCCCN,0,0,0,1,1,0
NCCc1ccccc1,0,0,0,0,0,0
CC(=O)O,0,1,1,0,1,1
CCC(=O)O,0,1,1,0,1,1
CCCC(=O)O,0,1,1,1,1,1
CCCC(=O)C(=O)O,0,0,0,0,0,0
O=C(O)Cc1ccccc1,0,0,0,1,0,0
CCCCCC(=O)O,0,0,0,1,0,0
