smiles,binary_classification_response
CC[C@@H](C(=O)O)c1ccccc1,0
C=C1CC[C@H]2C[C@@H]1C2(C)C,0
CC1(C)[C@H]2CC[C@]1(C)C(=O)C2,0
CC1(C)C(=O)[C@]2(C)CC[C@H]1C2,0
CC[C@H](C(=O)O)c1ccccc1,0
CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,0
C=C(C)[C@@H]1CC[C@@H](C)C(=O)C1,1
CC1(C)C(=O)[C@@]2(C)CC[C@@H]1C2,0
CCCCC1OC(=O)CC1C,0
CC1=CC[C@@H]2C[C@H]1C2(C)C,0
C=C1CC[C@]2(C(C)C)C[C@H]12,0
C=C1CC[C@@H]2C[C@H]1C2(C)C,0
CC1=CC[C@H]2C[C@@H]1C2(C)C,0
C/C=C/C(=O)C(C)CC,0
CC/C=C\CC/C=C/CO,0
CC(C)(S)CCOC=O,0
CCCC/C=C\C=C\C=O,0
CCCCCCC/C=C/C=O,0
CCCC/C=C/C=O,1
CCC/C=C/C=O,0
CCCCCC/C=C/C=O,0
CCCCCCCC/C=C/C=O,0
O=C(O)/C=C/c1ccc(O)cc1,0
CSSSC,0
C=C(C)[C@@H]1CC=C(C)C(=O)C1,1
C=C(C)[C@H]1CC=C(C)CC1,1
CC1=CCC(C(C)(C)S)CC1,0
CC(C)=CCC[C@H](C)CCO,1
C=C(C)[C@@H]1CC=C(C)CC1,1
C=C(C)[C@H]1CC=C(C)C(=O)C1,1
C=C(C)[C@@H]1CC=C(C)CC1,1
CCCCCC/C=C\C=O,0
CCCCC/C=C\C=O,0
CC/C=C\CC=O,0
CCCCC/C=C\CCC=O,0
CC/C=C\CCC=O,0
CC/C=C\CCOC(C)=O,0
CC(=O)c1ccccc1N,0
CC=CC(=O)C1=C(C)C=CCC1(C)C,0
CCC(=O)C1=NCCC1,0
CC(=O)C1=NCCS1,0
CCCSSSC,0
CCCSSSCCC,0
CCCCO,0
CCCCCCCCCCO,1
CCCCCCCO,1
CCCCCCCCCO,1
CCCCCCCCO,1
C=CC(O)CCCCC,1
C=CC(=O)CCCCC,0
CCCCCS,1
CC12CCC(CC1)C(C)(C)O2,0
CC(C)CCCCCCCCCCC=O,0
CCC(C)c1nccnc1OC,0
CC1=CC[C@@H](C(C)(C)O)CC1,0
CC(=O)c1cnccn1,0
O=C1Cc2ccccc2O1,0
CCC1(O)C2(C)CCC(C2)C1(C)C,0
CCC1OC(C)=C(O)C1=O,0
CCCCCC(C)O,1
CCCCC(C)=O,1
COc1nccnc1CC(C)C,0
COc1nccnc1C(C)C,0
COc1ccc(C)cc1O,0
CC(C)CS,0
CC(C)(C)S,0
CSSc1ccoc1C,0
Cc1occc1S,0
CC1=CCC(C(C)C)C=C1,0
CCC(C)CO,0
CCC(C)C(=O)O,0
CCC(C)COC(C)=O,0
Cc1ccccc1O,0
CC(C)CO,0
CC(C)C=O,0
CC(C)C(=O)O,0
CCCCCCCC(C)=O,1
CCCCCCC(C)=O,1
CCCC(C)=O,0
CCCCCc1ccccn1,1
O=CCc1ccccc1,0
O=C(O)Cc1ccccc1,0
SCCc1ccccc1,1
OCCc1ccccc1,0
CC(=O)OCCc1ccccc1,1
CCC(=O)C(C)S,0
CC(=O)C(C)=O,0
CCc1ncc(C)nc1CC,0
CCCCC(=O)C(C)=O,0
CCCC(=O)C(C)=O,1
CCC(=O)C(C)=O,0
Cc1cnc(C)c(C)n1,0
Cc1ccc(O)c(C)c1,0
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],0
CCCCCC(=O)CC(C)=O,1
CCCCC(=O)CC(C)=O,1
COc1cccc(OC)c1O,0
Cc1cccc(C)c1O,0
C=CCSC,0
C=CCSSCC=C,0
CCc1cccc(O)c1,0
CCCCC(=O)CC,1
CC(=O)C(C)O,0
CCCCC(S)C(C)CO,0
CCCCCC(S)C(C)CO,0
CCC(S)C(C)CO,0
CC(CO)CS,0
CCCC(S)CCOC(C)=O,1
CCCCCC(=O)C(C)C(C)=O,0
CC(=O)C(C)C(C)=O,0
CC(C)CCO,0
CCCC(=O)C(C)CC,0
Cc1c[nH]c2ccccc12,0
Cc1cccc(O)c1,0
CCCCCC(=O)CC,1
OC/C=C/c1ccccc1,0
O=C(O)CCc1ccccc1,0
CCCC(S)CCO,0
CCC(S)C(C)=O,0
CCC(=O)C(=O)CC,1
O=C1CCOc2ccccc21,1
C=Cc1ccc(O)c(OC)c1,0
C=Cc1ccc(O)cc1,0
CCc1ccc(O)c(OC)c1,0
CCCCC(CC)CCC(=O)O,0
CCc1ccc(O)cc1,0
O=c1cc(O)c2ccccc2o1,0
COCCC(C)(C)S,0
COC1=C(C)OC(C)C1=O,0
CC(=O)CC(C)(C)S,0
CC(=O)c1ccc(C)cc1,1
COc1cc(C)ccc1O,0
CCCCC(C)CCC(=O)O,0
CCCc1ccc(O)c(OC)c1,0
CCC1OC(=O)C(O)=C1C,0
CCCCCC1CCC(=O)O1,0
CC(=O)CC(=O)CC(C)C,1
COc1ccc2ccc(=O)oc2c1,0
CCOC(C)OCC,0
CC(=O)O,0
CC(=O)c1ccccc1,1
C=CCc1ccccc1,0
C=CCOC(=O)CCCCCC,0
C=CCOC(=O)Cc1ccccc1,1
CCCCCOC(=O)CCCCC,0
C[C@@]12C=CC[C@H]1[C@@H]1CC[C@H]3CC(=O)CC[C@]3(C)[C@H]1CC2,0
c1ccccc1,0
O=C(c1ccccc1)c1ccccc1,1
CC(=O)OCc1ccccc1,1
CC=CC(=O)C1=C(C)CCCC1(C)C,0
CC(=O)/C=C/C1=C(C)CCCC1(C)C,0
CSCSC,0
CCCC=O,0
CCCCS,0
CCCC(=O)O,0
CCCCOC(C)=O,0
CCCCOC(=O)C(C)OC(=O)CCC,0
CCCC1CC(=O)C=C(C)C1,1
CC(=O)OC/C=C/c1ccccc1,1
CC(C)=CCCC(C)CC=O,1
c1coc(CSSCc2ccco2)c1,1
CC(C)c1ccc(C=O)cc1,0
O=C1CCCCC1,0
CCCCCCCCCC=O,0
CCCCCCCC1CCCC(=O)O1,0
CCCC1CCCC(=O)O1,0
CCCCCC1CCCC(=O)O1,0
CCCCCC1=C(C)CCC1=O,1
CSSC,0
CSC,0
CCCCC/C=C/C=C/C=O,0
CCCC/C=C/C=C/C=O,0
CC/C=C\CC/C=C/C=O,0
C=CCc1ccc(OC)cc1,1
CC=O,0
CCS,0
CCO,0
CCC[C@@H](O)CC(=O)OCC,0
CCOC(=O)/C=C/c1ccccc1,0
CCOC(=O)C(C)CC,0
CCOC(=O)Cc1ccccc1,0
CCOC(=O)CC(C)C,0
CCOC(=O)CCSC,0
CCOC(=O)CCC(C)C,0
CCOC(C)=O,0
CCOC(=O)c1ccccc1,0
CCCC(=O)OCC,0
CCOC(=O)C1CCCCC1,1
CCCCCCCCCC(=O)OCC,0
CCCCCC(=O)OCC,0
CCOC(=O)C(C)C,0
CCCCCCCC(=O)OCC,0
CCCCC(=O)OCC,0
CCOc1cc(C=O)ccc1O,0
C=CCc1ccc(O)c(OC)c1,0
C=CCc1ccc(OC(C)=O)c(OC)c1,1
C=CCc1ccc(OC)c(OC)c1,0
CC12CCC(C1)C(C)(C)C2=O,0
SCc1ccco1,0
CC1=C(O)C(=O)C(C)O1,0
CSSCc1ccco1,0
CCC1CCC(=O)O1,0
CCCCCCC1CCC(=O)O1,0
CCCCCCCCC1CCC(=O)O1,0
CCCCC1CCC(=O)O1,0
CCCCCCCC1CCC(=O)O1,0
COc1ccccc1O,0
