smiles,binary_classification_response
CC[C@@H](C(=O)O)c1ccccc1,0
CC1(C)[C@H]2CC[C@]1(C)C(=O)C2,0
CC1(C)C(=O)[C@]2(C)CC[C@H]1C2,0
CC[C@H](C(=O)O)c1ccccc1,0
CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,0
C=C(C)[C@@H]1CC[C@@H](C)C(=O)C1,0
CC1(C)C(=O)[C@@]2(C)CC[C@@H]1C2,0
C=C(C)[C@@H]1CC=C(C)C(=O)C1,0
CC(C)=CCC[C@H](C)CCO,0
C=C(C)[C@H]1CC=C(C)C(=O)C1,0
CCCCCCCCCCO,0
CCCCCCCO,0
CCCCCCO,0
CCCCCCCCCO,0
CCCCCCCCO,0
CCCCCC1OC1C/C=C\CCCCCCCC(=O)O,0
CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,0
O=C1Cc2ccccc2O1,0
CCCCCC(C)=O,0
CCCCC(C)=O,0
O=C(O)CCC(=O)C(=O)O,1
CCCCCCCC(C)=O,0
CCCCCCC(C)=O,0
CCCC(C)=O,0
O=C1CCCN1,1
CC(=O)C(C)=O,0
CCCC(=O)C(C)=O,0
CCCCC(=O)CC,0
CCCCC(S)C(C)CO,0
CCCCCC(S)C(C)CO,0
CCC(S)C(C)CO,0
CC(CO)CS,0
CCCCCC(=O)C(C)C(C)=O,0
CCCCCC(=O)CC,0
CCC(=O)C(=O)CC,0
CC(=O)NCCCC(=O)O,0
O=C1CCOc2ccccc21,0
O=c1cc(O)c2ccccc2o1,0
CC(=O)c1ccccc1,0
C=CCc1ccccc1,0
C=CCOC(=O)CCCCCC,0
C=CCOC(=O)Cc1ccccc1,0
CC(=O)/C=C/C1C(C)=CCCC1(C)C,0
CCCCCOC(=O)CCCCC,0
C[C@@]12C=CC[C@H]1[C@@H]1CC[C@H]3CC(=O)CC[C@]3(C)[C@H]1CC2,0
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,0
c1ccccc1,0
O=C(c1ccccc1)c1ccccc1,0
CC(=O)OCc1ccccc1,0
CC(=O)/C=C/C1=C(C)CCCC1(C)C,1
CCCC(=O)O,0
CCCCOC(=O)C(C)OC(=O)CCC,0
CCCCOC=O,0
O=c1ccc2ccccc2o1,0
O=C1CCCCC1,0
CCCCCCCCCC=O,0
CCCCCCCCCC(=O)O,0
CCCCCC1CCCC(=O)O1,0
CCCCCC1=C(C)CCC1=O,0
CCOC(=O)C(C)C,0
CCC1CCC(=O)O1,0
Cc1c(O)cc2c(c1C)OC(C)(CCC(=O)O)CC2,1
CC(C)=CCC/C(C)=C/CO,0
O=CC(O)CO,0
CCCCCCC=O,0
CCCCCCC(=O)O,0
CCCCCC=O,0
CCCCCC(=O)O,0
CCCCCCOC(C)=O,0
NCCc1cnc[nH]1,0
CC(=O)CO,0
O=C(O)C(=O)CO,1
O=C1CN=CN1,1
O=C[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](O)[C@H](O)[C@H](O)CO,1
N[C@H](CO)Cc1cnc[nH]1,1
CC(O)C(=O)O,1
NC(=O)CCCCC1CCSS1,0
CC(C)(O)CCCC1=CCC(C=O)CC1,0
CC(=O)NCCCCN,0
CC(=O)NCCCNCCCCN,0
CC(=O)NCCCCNCCCN,0
CCCCCCCCC=O,0
CCCCCCCCCS,0
CCCCCCCCC(=O)O,0
COc1cc(C(O)CN)ccc1O,0
CCCCCCCC=O,0
CCCCCCCCS,0
CCCCCCCC(=O)O,0
CCCCCCCCCCCCCCCC(=O)O,1
CCCCCCCCCCCCCCCC(=O)NCCO,0
CCCCCCCCCCCCCCC(=O)O,0
CCCCC(=O)O,0
CCCCCO,0
CC(=O)Oc1ccccc1,0
CC(=O)OCC=C(C)C,0
CCC(=O)O,1
CCCCCCCCCCCCCCCCCC(=O)NCCO,0
