smiles,binary_classification_response
CCCCCCCCCCO,0
CCCCCCCCCCCCO,0
CCCCCCCO,0
CCCCCCO,0
CCCCCCCCCO,1
CC12CCC(CC1)C(C)(C)O2,0
CCCCCCCCC(C)=O,1
CCCCCCCCCCC(C)=O,0
CCCCC(CC)CO,0
CCCCCC(C)=O,0
COc1nccnc1CC(C)C,1
Cc1cnccn1,1
CC(C)C(=O)O,1
CCCCCCCC(C)O,1
CCCCCCCC(C)=O,0
CCCCCCC(C)O,0
CCCCCCC(C)=O,0
CC(=O)C(C)=O,0
CC(=O)C(C)O,1
CCCCC(S)C(C)CO,0
CCCCCC(S)C(C)CO,0
CCC(S)C(C)CO,0
CC(CO)CS,0
CCCCCC(=O)C(C)C(C)=O,0
CCCCCCC(=O)CC,1
CCCCCC(O)CC,0
CCCCCC(=O)CC,1
CCCCC(O)CCC,0
CC(=O)CCC=C(C)C,1
CC(=O)c1ccccc1,1
C[C@@]12C=CC[C@H]1[C@@H]1CC[C@H]3CC(=O)CC[C@]3(C)[C@H]1CC2,0
COc1ccccc1,1
O=Cc1ccccc1,1
c1ccc2scnc2c1,1
OCc1ccccc1,1
CC(=O)/C=C/C1=C(C)CCCC1(C)C,1
CCCCOC(=O)CCC,1
CC12CCC(CC1=O)C2(C)C,0
O=C/C=C/c1ccccc1,1
CC(C)=CCC/C(C)=C/C=O,1
CC(C)=CCC/C(C)=C/C#N,1
O=c1ccc2ccccc2o1,0
O=C1CCCCC1,1
CCCCCCCCCC=O,1
CCCCCCCCCC(=O)O,0
CCCCCC1CCCC(=O)O1,1
CSSC,0
CCCCCCCCCCCC=O,0
CCCCCCCCCCCC(=O)O,0
C=CCc1ccc(OC)cc1,1
CCCC(=O)OCC,1
CCCCCCCCCC(=O)OCC,0
CCCCCCC(=O)OCC,1
CCCCCC(=O)OCC,1
CCOC(=O)C(C)C,0
CCCCCCCCC(=O)OCC,0
CCCCCCCC(=O)OCC,0
CCOc1cc(C=O)ccc1O,0
CCCCCCC1CCC(=O)O1,0
CC(C)=CCC/C(C)=C/CO,0
CC(=O)OC/C=C(\C)CCC=C(C)C,0
COc1ccccc1O,0
CCCCCC1C(=O)CCC1CC(=O)OC,0
CC(C=O)Cc1ccc2c(c1)OCO2,1
CCCCCCC=O,0
CCCCCCC(=O)O,1
CCCCCC=O,0
CCCCCC(=O)O,1
c1ccc2[nH]ccc2c1,0
CC(=O)OCCC(C)C,1
CC(C)CC(=O)O,1
C=C(C)C1CC=C(C)CC1,0
CC(C)(O)CCCC1=CCC(C=O)CC1,0
Cc1occc(=O)c1O,0
CC1CCC(C(C)C)C(O)C1,0
CC1CCC(C(C)C)C(=O)C1,0
CCCCCCCCCC(=O)OC,0
CCCCCCC(=O)OC,1
CCCCCC(=O)OC,0
CCCCCCCCC(=O)OC,0
CCCCCCCC(=O)OC,1
COC(=O)c1ccccc1O,0
CCCCCCCCC=O,1
CCCCCCCC=O,1
CCCCCCCC(=O)O,1
COc1ccc(C=O)cc1,1
CC(=O)CCc1ccc2c(c1)OCO2,0
CCC(=O)O,1
c1cnccn1,1
c1ccncc1,0
c1ccc2ncccc2c1,0
CCCC(=O)SC,1
C=CCc1ccc2c(c1)OCO2,1
c1cscn1,1
Cc1ccc(C(C)C)c(O)c1,0
C/C=C/c1ccc(OC)cc1,1
CCCCCCCCCCC=O,1
COc1cc(C=O)ccc1O,0
