smiles,regression_log_solubility
C=CCC=C,-2.09
c1c(O)C2C(=O)C3cc(O)ccC3OC2cc1(OC),-2.943
CCCCCCCCC(=O)OCC,-3.8
CC/C=C\C,-2.54
COC(=O)Nc2nc1ccc(cc1[nH]2)C(=O)c3ccccc3,-3.88
Cc1ccc2cc(C)ccc2c1,-4.89
CCN(CC)C(=S)SSC(=S)N(CC)CC,-4.86
CCOC(=O)Nc2cccc(OC(=O)Nc1ccccc1)c2 ,-4.632
CC(C)C(O)C(C)C,-1.22
C1c2ccccc2c3ccccc13,-5.0
CCC1(C(=O)NCNC1=O)c2ccccc2,-2.64
OCC(O)CO,1.12
Cc1ccccc1N(=O)=O,-2.33
CCCC,-2.57
CC1(C)C2CCC1(C)C(O)C2,-2.32
CCCC(C)(O)CC,-0.98
O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 ,-3.043
c1ccccc1(OC(=O)NC),-1.8030000000000002
CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 ,-2.322
CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 ,-5.153
Cc1cccc(c1)N(=O)=O,-2.44
C1=Cc2cccc3cccc1c23,-3.96
C1c2ccccc2c3cc4ccccc4cc13,-8.04
CCCCCOC(=O)C,-1.89
Oc1cccc2ccccc12,-2.22
O=Cc1ccccc1,-1.19
CCC(=C)C,-2.73
CNN,1.34
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12 ,-3.57
Cc1occc1C(=O)Nc2ccccc2,-3.3
Nc3ccc2cc1ccccc1cc2c3 ,-5.17
c1cnc2c(c1)ccc3ncccc23,-2.68
CSc1nnc(c(=O)n1N)C(C)(C)C,-2.253
CC(=O)SC4CC1=CC(=O)CCC1(C)C5CCC2(C)C(CCC23CCC(=O)O3)C45,-4.173
CCOC(=O)CC,-0.66
c1ccoc1,-0.82
CC(O)C(C)(C)C,-0.62
Cc1ccccc1,-2.21
Cc1ccc(cc1)S(=O)(=O)N,-1.74
CCCC1CCCC1,-4.74
Cc1cccc2c1Cc3ccccc32,-5.22
Cc1cncc(C)c1,0.38
CCCCCCCCCCCCCCCO,-6.35
CSC,-0.45
COC(=O)c1cccnc1 ,-0.46
O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.47
CC(C)SC(C)C,-2.24
CC12CCC(CC1)C(C)(C)O2 ,-1.64
CC(=O)Nc1ccc(cc1)N(=O)=O,-2.6919999999999997
CNc1ccccc1,-1.28
CCOCC,-0.09
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,-5.03
CCc1cccc2ccccc12,-4.17
O=C1NC(=O)c2ccccc12 ,-2.61
CC(C)CO,0.1
Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4 ,-2.9
CCSC(=O)N(CC(C)C)CC(C)C,-3.68
CC,-1.36
CCCCc1c(C)nc(nc1O)N(C)C ,-2.24
CCC(C)(C)O,0.15
CCOC(=O)N,0.85
CCOC=C,-0.85
Nc1cc[nH]c(=O)n1 ,-1.155
CCCC(C)(C)C,-4.36
C/C1CCC(\C)CC1,-4.47
CCC(CC)C=O,-1.52
O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,-4.593999999999999
CCC(C)(C)C,-3.55
Cc1ccccc1C,-2.8
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,-1.7080000000000002
Cc2cnc1cncnc1n2,-0.8540000000000001
c2ccc1NCCc1c2 ,-1.04
CCCC(=O)OCC,-1.36
Cc1cc2c3ccccc3ccc2c4ccccc14,-6.57
CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12,-4.883
c1ccc2cnccc2c1,-1.45
CCCCC=O,-0.85
O=C1NC(=O)NC(=O)C1(CC)CC,-2.4
NC(=O)NC1NC(=O)NC1=O ,-1.6
c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,-9.332
CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,-2.09
CC(=O)OC3(CCC4C2CCC1=CC(=O)CCC1C2CCC34C)C#C,-4.8
Cc1ccncc1C,0.36
CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,-3.46
Oc1ccc(O)cc1,-0.17
CC34CCC1C(CCc2cc(O)ccc12)C3CC(O)C4O ,-4.955
NC(=O)c1ccccc1,-0.96
c2ccc1[nH]ccc1c2,-1.52
CC(C)N(=O)=O,-0.62
CC1CCCCC1,-3.85
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.09
CCOC(=O)C,-0.04
c1(O)cc(O)ccc1CCCCCC,-2.59
O2c1ccccc1N(C)C(=O)c3cccnc23 ,-3.6719999999999997
CCOc1ccc(NC(=O)C)cc1,-2.35
Cc1ncc(N(=O)=O)n1CCO ,-1.26
CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,-1.13
O=C1NC(=O)NC(=O)C1(C)CC,-1.228
C=Cc1ccccc1,-2.82
CCN(CC)c1ccccc1,-3.03
CCCCCCc1ccccc1,-5.21
c2ccc1[nH]ncc1c2 ,-2.16
CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1 ,-2.93
OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,-1.23
CN(C)C(=O)C(c1ccccc1)c2ccccc2 ,-2.98
