smiles,regression_binding_score
C#CCOc1cccc2c1-c1cccc3c1C(C2)N(C)CC3,7.3
C#CCOc1cccc2c1-c1cccc3c1C(C2)N(CCC)CC3,7.26
C#Cc1c[nH]c(CN2CCN(c3ccccc3)CC2)c1,6.57
C(=Cc1ccccc1)CN1CCN(c2nc3ccsc3n3cccc23)CC1,7.08
C1=C(c2c[nH]c3ccccc23)CC2CCC1N2CCOc1cccc2[nH]ccc12,6.95
C1=C(c2c[nH]c3ccccc23)CC2CCC1N2CCOc1cccc2c1OCCO2,7.07
C1=C(c2c[nH]c3ccccc23)CCN(CC2CNc3ccccc3O2)C1,6.02
C1=C(c2c[nH]c3ccccc23)CCN(CCOc2cccc3[nH]ccc23)C1,7.36
C1=C(c2c[nH]c3ccccc23)CCN(CCOc2cccc3c2OCCO3)C1,6.9
C1=C(c2c[nH]c3ccccc23)CCN(CCOc2cccc3ncccc23)C1,6.49
C1=C(c2c[nH]c3ccccc23)CCN(CCc2coc3ccccc23)C1,7.44
C1=C(c2c[nH]c3ncccc23)CCN(CCOc2cccc3[nH]ccc23)C1,7.81
C1=C(c2c[nH]c3ncccc23)CCN(CCOc2cccc3c2OCCO3)C1,6.69
C1=C(c2c[nH]c3ncccc23)CCN(CCOc2cccc3ncccc23)C1,6.98
C1=C(c2cc3ccccc3[nH]2)CC2CCC1N2CCOc1cccc2ncccc12,6.5
C1=C(c2ccc3ccccc3c2)CC2CCC1N2CCOc1cccc2[nH]ccc12,6.53
C1=C(c2cccc(CNCCOc3cccc4c3OC3(CC3)C4)c2)CCC1,7.47
C1=C(c2cccc(CNCCOc3cccc4c3OCCO4)c2)CCC1,8.19
C1=C(c2cccc(CNCCOc3cccc4c3OCO4)c2)CCC1,6.87
C1=C(c2ccccc2)CCN(Cc2cnn(-c3ccccc3)c2)C1,7.43
C1=C(c2cncc(CNCCOc3cccc4c3OC3(CC3)C4)c2)CCC1,8.58
C=C(C)COc1cccc2c1-c1cccc3c1C(C2)N(CCC)CC3,6.43
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCCC)CC(O)C(C)C1O,5.3
C=CC(C)c1ccc(O)c2c1CC1c3c(cccc3-2)CCN1CCC,6.2
C=CCC1Cc2cccc(OC)c2CC1NCCC,6.98
C=CCC1c2c(O)cccc2CCC1NCCC,9.3
C=CCC1c2c(cccc2OC)CCC1N(CCC)CCC,8.2
C=CCC1c2c(cccc2OC)CCC1NCC1CC1,8.465
C=CCC1c2c(cccc2OC)CCC1NCCC,8.235
C=CCC1c2ccccc2CCC1NCCC,6.76
C=CCN(CC=C)CCc1c[nH]c2ccc(C)cc12,7.5
C=CCN(CC=C)CCc1c[nH]c2ccc(OC)cc12,7.23
C=CCN(CC=C)CCc1c[nH]c2ccccc12,7.0
C=CCN(CCC)C1CCc2cccc(OC)c2C1=C,8.42
C=CCN1CC2c3c(O)cccc3CCC21,9.51
C=CCN1CC2c3c(cccc3OC)CCC21,8.23
C=CCN1CCC2Cc3c(O)cccc3CC21,6.7175
C=CCN1CCC2Cc3c(cccc3OC)CC21,6.8375
C=CCN1CCC2Cc3cccc(OC)c3CC21,6.91
C=CCN1CCC2c3c(O)cccc3CCC21,8.713333333333333
C=CCN1CCC2c3c(cccc3OC)CCC21,8.288333333333332
C=CCN1CCC2c3cccc(O)c3CCC21,7.358
C=CCN1CCC2c3cccc(OC)c3CCC21,7.02
C=CCN1CCC2c3ccccc3CCC21,7.984999999999999
C=CCN1CCN(c2nc3ccc4ncccc4c3n3cccc23)CC1,5.34
C=CCN1CCN(c2nc3cccnc3n3cccc23)CC1,6.93
