essential_oil,smiles
Abies alba cone oil,CC(=C)[C@H]1CCC(=CC1)C
Abies alba cone oil,CC1=CCC2CC1C2(C)C
Abies alba cone oil,CC1(C)C2CCC(C2)C1=C
Abies alba cone oil,CC1(C)C2CCC(=C)C1C2
Abies alba cone oil,CC(=O)OC1CC2CCC1(C)C2(C)C
Abies alba cone oil,CC1=CC[C@@H](CC1)C(C)(C)O
Abies alba cone oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Abies alba cone oil,CC1(C)C2CCC1(C)C(O)C2
Abies alba cone oil,CC(C)=CCCC(=C)C=C
Abies alba cone oil,CC1(C)CCCC2(C)C3CCC(C13)C2=C
Abies alba cone oil,CC(C)=C1CCC(=CC1)C
Abies alba cone oil,CC(C)=CCCC(C)(O)C=C
Abies alba cone oil,CC1=CCC2C(C1)C2(C)C
Abies alba needle oil,CC(=C)[C@H]1CCC(=CC1)C
Abies alba needle oil,CC1=CCC2CC1C2(C)C
Abies alba needle oil,CC1(C)C2CCC(C2)C1=C
Abies alba needle oil,CC1(C)C2CCC(=C)C1C2
Abies alba needle oil,CC(=O)OC1CC2CCC1(C)C2(C)C
Abies alba needle oil,CC1=CC[C@@H](CC1)C(C)(C)O
Abies alba needle oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Abies alba needle oil,CC1(C)C2CCC1(C)C(O)C2
Abies alba needle oil,CC(C)=CCCC(=C)C=C
Abies alba needle oil,CC1(C)CCCC2(C)C3CCC(C13)C2=C
Abies alba needle oil,CC(C)=C1CCC(=CC1)C
Abies alba needle oil,CC(C)=CCCC(C)(O)C=C
Abies alba needle oil,CC1=CCC2C(C1)C2(C)C
Allspice oil,COc1cc(CC=C)ccc1O
Allspice oil,COc1ccc(CC=C)cc1OC
Allspice oil,CC(=C)[C@@H]1CCC(=CC1)C
Allspice oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Allspice oil,CC(C)[C@H]1CC=C(C)C=C1
Allspice oil,CC(C)=C1CCC(=CC1)C
Allspice oil,CC1=CCC2CC1C2(C)C
Allspice oil,CC(C)=CCCC(=C)C=C
Allspice oil,CC1(C)C2CCC(=C)C1C2
Allspice oil,CC(C)=CCCC(C)(O)C=C
Allspice oil,CC(C)=CC\C=C(/C)C=C
Allspice oleoresin,COc1cc(CC=C)ccc1O
Allspice oleoresin,COc1ccc(CC=C)cc1OC
Allspice oleoresin,CC(=C)[C@@H]1CCC(=CC1)C
Allspice oleoresin,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Allspice oleoresin,CC(C)[C@H]1CC=C(C)C=C1
Allspice oleoresin,CC(C)=C1CCC(=CC1)C
Allspice oleoresin,CC1=CCC2CC1C2(C)C
Allspice oleoresin,CC(C)=CCCC(=C)C=C
"Almond oil, bitter",O=Cc1ccccc1
"Almond oil, bitter",OC(=O)c1ccccc1
Ambrette seed absolute,CC(C)=CCC\C(C)=C\CCC(=C)C=C
Ambrette seed absolute,CCCCCCCCCCOC(C)=O
Ambrette seed absolute,CC(C)=CCC\C(C)=C\C\C=C(/C)C=C
Ambrette seed absolute,CCCCCCCCCCCCOC(C)=O
Ambrette seed absolute,CC(C)=CCC\C(C)=C/CC[C@](C)(O)C=C
Ambrette seed absolute,CC(C)=CCC\C(C)=C\CC\C(C)=C\CO
Ambrette seed oil,CC(C)=CCC\C(C)=C\CCC(=C)C=C
Ambrette seed oil,CCCCCCCCCCOC(C)=O
Ambrette seed oil,CC(C)=CCC\C(C)=C\C\C=C(/C)C=C
Ambrette seed oil,CCCCCCCCCCCCOC(C)=O
Ambrette seed oil,CC(C)=CCC\C(C)=C/CC[C@](C)(O)C=C
Ambrette seed oil,CC(C)=CCC\C(C)=C\CC\C(C)=C\CO
Amyris oil,CC(C)=CCC\C(C)=C\CCC(C)(O)C=C
Amyris oil,CC(C)=CCCC(=C)[C@@H]1CCC(=CC1)C
Angelica root oil,CC1=CCC2CC1C2(C)C
Angelica root oil,CC(C)[C@H]1CC=C(C)C=C1
Angelica root oil,CC1=CCC2C(C1)C2(C)C
Angelica root oil,CC(=C)C1CCC(=CC1)C
Angelica root oil,CC(C)=CC\C=C(/C)C=C
Angelica root oil,CC(C)=CCCC(=C)C=C
Angelica root oil,CC(C)c1ccc(C)cc1
Angelica root oil,CC(C)=CC/C=C(/C)C=C
Angelica root oil,O=C1CCCCCCCCCCCCCCO1
Angelica root oil,CC1(C)C2CCC(C2)C1=C
Angelica root oil,CC1(C)C2CCC(=C)C1C2
Angelica root oil,CC(C)=C1CCC(=CC1)C
Angelica root oil,CC(C)=CCCC(=C)[C@@H]1CCC(=CC1)C
Angelica root oil,C[C@@H]1CC[C@H](C=C1)C(C)=C
Angelica root oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Angelica seed oil,CC1=CCC2CC1C2(C)C
Angelica seed oil,CC(C)[C@H]1CC=C(C)C=C1
Angelica seed oil,CC(C)=CCCC(=C)C=C
Angelica seed oil,CC(=C)[C@@H]1CCC(=CC1)C
Angelica seed oil,CC(C)=CC\C=C(/C)C=C
Angelica seed oil,CC(C)=CCCC(C)(O)C=C
Angelica seed oil,CC1(C)C2CCC(=C)C1C2
Angelica seed oil,CC(C)=CC/C=C(/C)C=C
Angelica seed oil,CC1(C)C2CCC(C2)C1=C
Angelica seed oil,O=C1CCCCCCCCCCCCCCO1
Angelica seed oil,CC(C)=C1CCC(=CC1)C
Angelica seed oil,CC1=CCC2C(C1)C2(C)C
Anise seed oil,COc1ccc(\C=C\C)cc1
Anise seed oil,COc1ccc(CC=C)cc1
Anise seed oil,COc1ccc(\C=C/C)cc1
Anise seed oil,CC(C)=CCCC(=C)[C@@H]1CCC(=CC1)C
Anise seed oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Anise seed oil,CC(=C)[C@@H]1CCC(=CC1)C
Anise seed oil,CC(C)=CCCC(C)(O)C=C
Armoise vulgaris oil,CC(C)[C@@]12C[C@@H]1[C@@H](C)C(=O)C2
Armoise vulgaris oil,CC1(C)C2CCC1(C)C(=O)C2
Armoise vulgaris oil,CC(C)[C@@]12C[C@H]1[C@H](C)C(=O)C2
Armoise vulgaris oil,CC1=CC[C@@H](CC1)C(C)(C)O
Armoise vulgaris oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Armoise vulgaris oil,CC1(C)C2CCC1(C)C(O)C2
Armoise vulgaris oil,COc1cc(CC=C)ccc1O
Armoise vulgaris oil,CC(C)=CCC\C(C)=C\CO
Armoise vulgaris oil,CC(C)=CCCC(C)(O)C=C
Armoise vulgaris oil,CC(=C)[C@H]1CCC(=CC1)C
Armoise vulgaris oil,CC1(C)C2CCC(C2)C1=C
Armoise vulgaris oil,CC1=CCC2CC1C2(C)C
Armoise vulgaris oil,CC1(C)C2CCC(=C)C1C2
Arnica absolute,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Arnica absolute,CC(C)=CCC\C(C)=C\CC\C(C)=C\CO
Arnica absolute,CC(C)=CCC\C(C)=C\CCC(C)(O)C=C
Artemisia herba-alba oil,CC(C)[C@@]12C[C@@H]1[C@@H](C)C(=O)C2
Artemisia herba-alba oil,CC1(C)C2CCC1(C)C(=O)C2
Artemisia herba-alba oil,CC(C)[C@@]12C[C@H]1[C@H](C)C(=O)C2
Artemisia herba-alba oil,CC1(C)C2CCC(C2)C1=C
Artemisia herba-alba oil,CC1=CCC2CC1C2(C)C
Artemisia herba-alba oil,CC1(C)C2CCC(=C)C1C2
Baccartol,CC(C)=CCC\C(C)=C\CO
Baccartol,CC(CCC=C(C)C)C\C=C\C(C)=O
Baccartol,C[C@@H](CCO)CCC=C(C)C
Baccharis dracunculifolia oil,CC(C)=CCC/C(C)=C/CC[C@](C)(O)C=C
Baccharis dracunculifolia oil,CC1(C)C2CCC(=C)C1C2
Baccharis dracunculifolia oil,CC(=C)C1CCC(=CC1)C
Baccharis dracunculifolia oil,CC1=CCC2CC1C2(C)C
Baccharis dracunculifolia oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Baccharis dracunculifolia oil,CC(C)=CCCC(=C)C=C
Baccharis dracunculifolia oil,CC(C)=CCCC(=C)[C@@H]1CCC(=CC1)C
Baccharis dracunculifolia oil,CC(C)=CC\C=C(/C)C=C
Baccharis dracunculifolia oil,CC(C)=CCCC(C)(O)C=C
Baccharis dracunculifolia oil,CC(C)=CCC\C(C)=C\CC\C(C)=C\CO
"Balsam absolute, Peru",OC(=O)\C=C\c1ccccc1
"Balsam absolute, Peru",OC(=O)c1ccccc1
"Balsam absolute, Peru",CC(C)=CCC\C(C)=C\CCC(C)(O)C=C
"Balsam oil, Peru",OC(=O)\C=C\c1ccccc1
"Balsam oil, Peru",OC(=O)c1ccccc1
"Balsam oil, Peru",CC(C)=CCC\C(C)=C\CCC(C)(O)C=C
"Balsam oil, Peru",COc1cc(C=O)ccc1O
"Balsams, Canada",CC1=CCC2CC1C2(C)C
"Balsams, Canada",CC1(C)C2CCC(=C)C1C2
"Balsams, Canada",CC(=C)[C@H]1CCC(=CC1)C
"Balsams, Canada",CC1=CC[C@@H](CC1)C(C)(C)O
"Basil oil, chemotype estragole",COc1ccc(CC=C)cc1
"Basil oil, chemotype estragole",CC(C)=CCCC(C)(O)C=C
"Basil oil, chemotype estragole",CC(C)=CC\C=C(/C)C=C
"Basil oil, chemotype estragole",COc1cc(CC=C)ccc1O
"Basil oil, chemotype estragole",CC(=C)[C@@H]1CC=C(C)C(=O)C1
"Basil oil, chemotype estragole",CC(C)=CCCC(=C)[C@@H]1CCC(=CC1)C
"Basil oil, chemotype estragole",COc1ccc(CC=C)cc1OC
"Basil oil, chemotype estragole",CC(C)=CC/C=C(/C)C=C
"Basil oil, chemotype estragole",CC(=C)[C@H]1CCC(=CC1)C
"Basil oil, chemotype estragole",Oc1ccc(CC=C)cc1
"Basil oil, chemotype estragole",CC1=CCC2CC1C2(C)C
"Basil oil, chemotype estragole",C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
"Basil oil, chemotype estragole",CC1(C)C2CCC(=C)C1C2
"Basil oil, chemotype estragole",CC(C)C1CCC(C)CC1=O
"Basil oil, chemotype estragole",COC(=O)\C=C\c1ccccc1
"Basil oil, chemotype estragole",CC(C)=CCCC(=C)C=C
"Basil oil, chemotype estragole",COc1ccc(\C=C\C)cc1
"Basil oil, chemotype linalool",CC(C)=CCCC(C)(O)C=C
"Basil oil, chemotype linalool",COc1cc(CC=C)ccc1O
"Basil oil, chemotype linalool",CC(C)=CC\C=C(/C)C=C
"Basil oil, chemotype linalool",CC(=O)OC1CC2CCC1(C)C2(C)C
"Basil oil, chemotype linalool",CC(C)=CCCC(=C)[C@@H]1CCC(=CC1)C
"Basil oil, chemotype linalool",COc1ccc(CC=C)cc1
"Basil oil, chemotype linalool",CC1(C)C2CCC(=C)C1C2
"Basil oil, chemotype linalool",CC(C)=CCCC(=C)C=C
"Basil oil, chemotype linalool",CC(=C)[C@H]1CCC(=CC1)C
"Basil oil, chemotype linalool",CC1=CCC2CC1C2(C)C
"Basil oil, chemotype linalool",C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
"Basil oil, chemotype linalool",CC(C)=CC/C=C(/C)C=C
"Basil oil, chemotype linalool",COc1ccc(CC=C)cc1OC
"Basil oil, chemotype linalool",CC(C)=CCC\C(C)=C\CO
"Basil oil, chemotype linalool",CC(C)=CCC\C(C)=C\CCC(C)(O)C=C
"Basil oil, chemotype linalool",CC1(C)C2CCC(C2)C1=C
"Basil oil, chemotype linalool",CC(C)=C1CCC(=CC1)C
"Basil oleoresin, chemotype estragole",COc1ccc(CC=C)cc1
"Basil oleoresin, chemotype estragole",CC(C)=CCCC(C)(O)C=C
"Basil oleoresin, chemotype estragole",CC(C)=CC\C=C(/C)C=C
"Basil oleoresin, chemotype estragole",CC1=CCC2CC1C2(C)C
"Basil oleoresin, chemotype estragole",CC1(C)C2CCC(=C)C1C2
"Basil oleoresin, chemotype estragole",COc1cc(CC=C)ccc1O
"Basil oleoresin, chemotype estragole",COc1ccc(CC=C)cc1OC
"Basil oleoresin, chemotype estragole",CC(=C)[C@H]1CCC(=CC1)C
"Basil oleoresin, chemotype estragole",CC1(C)C2CCC(C2)C1=C
"Basil oleoresin, chemotype estragole",CC(C)C1CCC(C)CC1=O
"Basil oleoresin, chemotype estragole",CC(C)=CCCC(=C)C=C
"Bay leaves oil, terpeneless",COc1cc(CC=C)ccc1O
"Bay leaves oil, terpeneless",Oc1ccc(CC=C)cc1
"Bay leaves oil, terpeneless",COc1ccc(CC=C)cc1OC
"Bay leaves oil, terpeneless",CC(C)=CCCC(C)(O)C=C
"Bay leaves oil, terpeneless",C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
"Bay leaves oil, terpeneless",COc1ccc(CC=C)cc1
"Bay leaves, West Indian, oil",COc1cc(CC=C)ccc1O
"Bay leaves, West Indian, oil",CC(C)=CCCC(=C)C=C
"Bay leaves, West Indian, oil",Oc1ccc(CC=C)cc1
"Bay leaves, West Indian, oil",CC(=C)[C@H]1CCC(=CC1)C
"Bay leaves, West Indian, oil",COc1ccc(CC=C)cc1OC
"Bay leaves, West Indian, oil",CC(C)=CCCC(C)(O)C=C
"Bay leaves, West Indian, oil",CCCCCC(O)C=C
"Bay leaves, West Indian, oil",CCCCCC(=O)CC
"Bay leaves, West Indian, oil",CC(C)=CC\C=C(/C)C=C
"Bay leaves, West Indian, oil",C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
"Bay leaves, West Indian, oil",COc1ccc(CC=C)cc1
"Bay leaves, West Indian, oil",CC1=CCC2CC1C2(C)C
"Bay leaves, West Indian, oil",CC(C)=CCC\C(C)=C\C=O
"Bay leaves, West Indian, oil",CC(C)=CCC\C(C)=C/C=O
"Bay leaves, West Indian, oil",CC(C)=C1CCC(=CC1)C
"Bay leaves, West Indian, oil",CC1(C)C2CCC(=C)C1C2
"Bay leaves, West Indian, oil",CC1(C)C2CCC(C2)C1=C
"Bay leaves, West Indian, oil",CC(C)=CC/C=C(/C)C=C
Bergamot oil expressed,CC(=C)[C@@H]1CCC(=CC1)C
Bergamot oil expressed,CC(C)=CCCC(C)(OC(C)=O)C=C
Bergamot oil expressed,CC(C)=CCCC(C)(O)C=C
Bergamot oil expressed,CC1(C)C2CCC(=C)C1C2
Bergamot oil expressed,CC(C)C1=CCC(=CC1)C
Bergamot oil expressed,CC1=CCC2CC1C2(C)C
Bergamot oil expressed,CC(C)=CCCC(=C)C=C
Bergamot oil expressed,CC(C)=CCC\C(C)=C\C=O
Bergamot oil expressed,CC(C)=CCCC(=C)[C@@H]1CCC(=CC1)C
Bergamot oil expressed,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Bergamot oil expressed,CC(=O)OC/C=C(C)/CCC=C(C)C
Bergamot oil expressed,CC(=O)OC\C=C(C)/CCC=C(C)C
Bergamot oil expressed,CC(C)=CCC\C(C)=C/C=O
Bergamot oil expressed,CC(C)=C1CCC(=CC1)C
Bergamot oil expressed,CC(C)=CCC\C(C)=C\CO
Bergamot oil expressed,CC(C)=CCC\C(C)=C/CO
"Bergamot oil, furocoumarin free",CC(=C)[C@@H]1CCC(=CC1)C
"Bergamot oil, furocoumarin free",CC(C)=CCCC(C)(OC(C)=O)C=C
"Bergamot oil, furocoumarin free",CC(C)=CCCC(C)(O)C=C
"Bergamot oil, furocoumarin free",CC(C)C1=CCC(=CC1)C
"Bergamot oil, furocoumarin free",CC1(C)C2CCC(=C)C1C2
"Bergamot oil, furocoumarin free",CC(C)c1ccc(C)cc1
"Bergamot oil, furocoumarin free",CC(C)=CCCC(=C)C=C
"Bergamot oil, furocoumarin free",CC1=CCC2CC1C2(C)C
"Bergamot oil, furocoumarin free",CC(=O)OC\C=C(C)/CCC=C(C)C
"Bergamot oil, furocoumarin free",CC(C)=C1CCC(=CC1)C
"Bergamot oil, furocoumarin free",C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
"Bergamot oil, furocoumarin free",CC(C)=CCC\C(C)=C\C=O
"Bergamot oil, furocoumarin free",CC(=O)OC/C=C(C)/CCC=C(C)C
"Bergamot oil, furocoumarin free",CC(C)=CCC\C(C)=C/C=O
"Bergamot oil, furocoumarin free",CC(C)=CCCC(=C)[C@@H]1CCC(=CC1)C
"Bergamot oil, furocoumarin free",CC(C)=CC\C=C(/C)C=C
"Bergamot oil, furocoumarin free",CC(C)=CCC\C(C)=C\CO
"Bergamot oil, furocoumarin free",CC(C)=CCC\C(C)=C/CO
"Birch, sweet, oil",COC(=O)c1ccccc1O
"Birch, sweet, oil",CC(C)=CCCC(C)(O)C=C
"Bucchu oil, betulina",CC(C)C1CCC(C)CC1=O
"Bucchu oil, betulina",CC(=C)[C@H]1CCC(=CC1)C
"Bucchu oil, betulina",CC(C)C1CCC(C)CC1=O
"Bucchu oil, betulina",CC1CCC(C(=O)C1)C(C)(C)S
"Bucchu oil, betulina",CC(C)C1(O)CCC(=CC1)C
"Bucchu oil, betulina",C[C@@H]1CCC(=C(C)C)C(=O)C1
"Bucchu oil, betulina",CC(C)=CCCC(=C)C=C
"Bucchu oil, betulina",CC(C)=CCCC(C)(O)C=C
"Bucchu oil, betulina",CC1=CCC2CC1C2(C)C
"Bucchu oil, betulina",CC(C)=CC\C=C(/C)C=C
"Bucchu oil, betulina",CC1(C)C2CCC(=C)C1C2
"Bucchu oil, crenulata",C[C@@H]1CCC(=C(C)C)C(=O)C1
"Bucchu oil, crenulata",CC(=C)[C@H]1CCC(=CC1)C
"Bucchu oil, crenulata",CC(C)C1CCC(C)CC1=O
"Bucchu oil, crenulata",CC(C)C1CCC(C)CC1=O
"Bucchu oil, crenulata",CC(C)=CCCC(=C)C=C
"Bucchu oil, crenulata",CC(C)=CCCC(C)(O)C=C
"Bucchu oil, crenulata",CC1=CCC2CC1C2(C)C
"Bucchu oil, crenulata",CC1(C)C2CCC(=C)C1C2
"Bucchu oil, crenulata",CC(=C)C1CC=C(C)C(=O)C1
"Bulnesia sarmienti, ext., acetate",C[C@H]1CC[C@H](CC2=C1CC[C@@H]2C)C(C)(C)OC(C)=O
"Bulnesia sarmienti, ext., acetate",C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Cabreuva oil,CC(C)=CCC\C(C)=C\CCC(C)(O)C=C
Cabreuva oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Cajuput oil,CC1=CC[C@@H](CC1)C(C)(C)O
Cajuput oil,CC(=C)[C@H]1CCC(=CC1)C
Cajuput oil,CC1=CCC2CC1C2(C)C
Cajuput oil,CC(C)=CCCC(C)(O)C=C
Cajuput oil,CC(C)=CCCC(=C)C=C
Cajuput oil,CC1(C)C2CCC(=C)C1C2
Cajuput oil,CC(C)C1=CCC(=CC1)C
Cajuput oil,CC(C)=C1CCC(=CC1)C
Cajuput oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Cajuput oil,CC(C)=CCC\C(C)=C\CO
Cajuput oil,CC1(C)C2CCC(C2)C1=C
Cajuput oil,CC1=CCC2C(C1)C2(C)C
Cajuput oil,CC(C)=CCCC(C)(OC(C)=O)C=C
Calamus oil,CC1(C)C2CCC1(C)C(=O)C2
Calamus oil,COc1ccc(\C=C\C)cc1OC
Calamus oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Calamus oil,CC1(C)C2CCC(C2)C1=C
Calamus oil,CC(C)c1ccc(C)cc1
Calamus oil,CC(C)=CCCC(C)(O)C=C
Calamus oil,CC(C)=CC/C=C(/C)C=C
Calamus oil,CC(=C)C1CCC(=CC1)C
Calamus oil,CC(C)=CCC\C(C)=C\CC\C(C)=C\CO
Calamus oil,CC1=CCC2CC1C2(C)C
Calamus oil,COc1ccc(CC=C)cc1OC
Calamus oil,CC(C)=CC\C=C(/C)C=C
Calamus oil,CC1(C)C2CCC(=C)C1C2
Calamus oil,CC(C)=CCCC(=C)C=C
"Camphor oil, white",CC(=C)C1CCC(=CC1)C
"Camphor oil, white",CC(C)c1ccc(C)cc1
"Camphor oil, white",CC(C)C1=CCC(=CC1)C
"Camphor oil, white",CC(C)[C@H]1CC=C(C)C=C1
"Camphor oil, white",CC1=CCC2CC1C2(C)C
"Camphor oil, white",CC(C)C1=CC=C(C)CC1
"Camphor oil, white",CC1=CCC2C(C1)C2(C)C
"Camphor oil, white",CC(C)=C1CCC(=CC1)C
"Camphor oil, white",CC1(C)C2CCC(=C)C1C2
"Camphor oil, white",CC(C)=CCCC(=C)C=C
"Camphor oil, white",CC(C)=CC\C=C(/C)C=C
"Camphor oil, white",CC(C)=CCCC(C)(O)C=C
"Camphor oil, white",CC(C)=CC/C=C(/C)C=C
Cananga oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Cananga oil,CC(C)=CCC\C(C)=C\C\C=C(/C)C=C
Cananga oil,CC(C)=CCCC(C)(O)C=C
Cananga oil,CC(=O)OC/C=C(C)/CCC=C(C)C
Cananga oil,COc1ccc(C)cc1
Cananga oil,CC1(C)CC2C1CCC3(C)OC3CCC2=C
Cananga oil,CC(C)=CCC\C(C)=C\CC\C(C)=C\CO
Cananga oil,CC(C)=CCC\C(C)=C\CO
Cananga oil,COc1cc(CC=C)ccc1O
Cananga oil,COc1ccc(CC=C)cc1OC
Cananga oil,CC(C)=CCCC(=C)C=C
Cananga oil,CC(C)=CCC\C(C)=C\CCC(C)(O)C=C
Cananga oil,CC1=CCC2CC1C2(C)C
Caraway seed oil,CC(=C)[C@H]1CC=C(C)C(=O)C1
Caraway seed oil,CC(=C)[C@@H]1CCC(=CC1)C
Caraway seed oil,CC(C)=CCCC(=C)C=C
Caraway seed oil,CC1=CCC2CC1C2(C)C
Caraway seed oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Caraway seed oil,CC(=C)C1CCC(=CC1)C=O
Caraway seed oil,CC(C)=CC\C=C(/C)C=C
Cardamom seed extract,CC(=O)OC(C)(C)C1CCC(=CC1)C
Cardamom seed extract,CC(C)=CCCC(C)(OC(C)=O)C=C
Cardamom seed extract,CC(C)=CCCC(C)(O)C=C
Cardamom seed extract,CC(=C)[C@@H]1CCC(=CC1)C
Cardamom seed extract,CC1=CCC2CC1C2(C)C
Cardamom seed extract,CC1=CC[C@@H](CC1)C(C)(C)O
Cardamom seed extract,CC(C)=CCCC(=C)C=C
Cardamom seed extract,CC(C)=CCC\C(C)=C\CO
Cardamom seed extract,CC(C)=CCC\C(C)=C\CCC(C)(O)C=C
Cardamom seed extract,CC(C)=CCC\C(C)=C\C=O
Cardamom seed extract,CC(=O)OC/C=C(C)/CCC=C(C)C
Cardamom seed extract,CC1(C)C2CCC(=C)C1C2
Cardamom seed extract,CC(C)=C1CCC(=CC1)C
Cardamom seed oil,CC(=O)OC(C)(C)C1CCC(=CC1)C
Cardamom seed oil,CC(C)=CCCC(C)(OC(C)=O)C=C
Cardamom seed oil,CC(C)=CCCC(C)(O)C=C
Cardamom seed oil,CC(=C)[C@@H]1CCC(=CC1)C
Cardamom seed oil,CC1=CCC2CC1C2(C)C
Cardamom seed oil,CC1=CC[C@@H](CC1)C(C)(C)O
Cardamom seed oil,CC(C)=CCCC(=C)C=C
Cardamom seed oil,CC(C)=CCC\C(C)=C\CO
Cardamom seed oil,CC(C)=CCC\C(C)=C\CCC(C)(O)C=C
Cardamom seed oil,CC(=O)OC/C=C(C)/CCC=C(C)C
Cardamom seed oil,CC1(C)C2CCC(=C)C1C2
Cardamom seed oil,CC(C)=CCC\C(C)=C\C=O
Cardamom seed oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
