smiles,regression_ESOL
COC(OC)C(C)c1ccccc1,-2.7816432847356594
CC(C)=CCCC(C)=CCOC(Cc1ccccc1)OCC=C(C)CCC=C(C)C,-8.335177760156627
CCCCCCCCCCCCOS(=O)(=O)O,-4.216422764299815
COc1ccc(C(C)=O)cc1,-2.247570615199455
CC(=O)c1ccccc1,-2.078162161039649
CC/C=C\C[C@H]1C(=O)CC[C@@H]1CC(=O)OC,-3.0531235966384065
CCCCCCCCCCCCCC=O,-4.722671853602597
CCCCCCCCCC=O,-3.208078153741573
CCCCCCCCCO,-2.6860819363608446
CC(C)=C[C@@H]1C[C@H](C)CCO1,-2.7979257222753233
CCCCCCCCCCO,-3.0647303613261
CCCCCC1(C)CCC(C)(C)C1=O,-3.948293793856548
CCCCCCCC=O,-2.4507813038110595
CCCCCCCCC=O,-2.8294297287763164
O=C1CCCCCCCCCCCCCCCO1,-5.133235681365778
Cc1ccc(CCC=O)cc1,-2.393573678334908
C=CCOC(=O)CCC1CCCCC1,-3.3012342978503333
C=CCCCCCCCCC=O,-3.410709567244309
CCC/C=C/CC1CCCC1O,-2.977320678256622
CCC/C=C/CC1CCCC1=O,-3.1218551489958406
CCCCCCCCCCCC=O,-3.9653750036720843
CC(O)CO,0.2467754482488079
CC/C=C/CCC1CCCC(=O)O1,-3.0248228655276974
CCCC[C@H]1C[C@H](C(C)=O)C(=O)O1,-2.1954323258477784
CCCCCCCCCC(C)C=O,-3.8584997871397606
O=COCCOc1ccccc1,-1.8587906599591515
O=C(O)CC(O)(CC(=O)O)C(=O)O,-0.06277952013821722
CCOC(=O)C(=O)OCCC(C)CCC=C(C)C,-3.5213571637413668
CC(CC=O)CCc1ccccc1,-3.0815693292774315
CCO,-0.03554296160405547
CCCCCC1CCC(=O)O1,-2.4400914814937478
CC(C)CCCC(C)CCO,-2.8509799282614527
CC(C)COC(=O)CC(C)C,-2.4129584740349483
CCCCC(=O)OCC,-1.8694120571690835
C=CCOC(=O)CCCCC,-2.4506918956370765
CCOC(=O)C(C)C,-1.383888415671504
CCCCCCCCC(C)C#N,-3.7042679522649067
CCCCCCCC1CCC(=O)O1,-3.197388331424259
CC(=O)c1cc2c(cc1C)C(C)(C)C(C)C2(C)C,-4.653591945224061
C/C=C/C(=O)C1=C(C)CCCC1(C)C,-3.7031349874638333
COC(C)OCCC(C)CCC=C(C)C,-3.9062262860785983
CC(=O)OCC1=CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@H]3C,-4.3892109708511935
CC1=C(O)C(=O)C(C)O1,-1.142268313748074
CCC(O)c1ccccc1,-2.321769662576226
CC(CC=O)CCCC(C)(C)O,-2.44023610239113
OCC1CC2CC1C1CCC(CO)C21,-1.9647035137219868
CCCCCC(C=O)=Cc1ccccc1,-3.984948655003088
CCC(=O)OCCC(C)CCC=C(C)C,-3.8584103789657767
CCCCCOC(=O)CC(C)C,-2.8984821155325284
C/C=C/c1ccc(OC)cc1,-2.8398982293746147
CC1CCC2C(C)(C)C3CC12CC1OC13C,-3.871850435566897
CCCCOC(C)OCCc1ccccc1,-3.7699495357695514
CCCCCCOC(C)OCC,-3.0531732391776734
COc1ccc(CO)cc1,-1.647409499752989
COc1ccc(C=O)cc1,-1.8892197333014933
COc1ccc(COC(C)=O)cc1,-2.3197584161574607
CC(C)=O,-0.5575391789847832
CC(=O)[n+]1cc(C)nc(C)c1,-1.3237819320105144
CC(C)CC(=O)OCc1ccccc1,-3.1337147292660403
CC(=O)OC1CCC(C(C)(C)C)CC1,-3.382995596720615
CC/C=C\CCOC(=O)c1ccccc1,-3.5247255305811347
