smiles,regression_pred_pKd
CCOC(C)OCC,4.090447177128533
CCCCCOC(C)OCCC(C)C,5.103819753306799
COC(C)OC(C)OCc1ccccc1,5.248796612715939
CCCCOC(C)OCC,5.043946084530017
CCCCOC(C)OCCC(C)C,4.9388281356945525
CCCCOC(C)OC(C)CCC,4.6094169180923465
CCCCOC(C)OCCc1ccccc1,6.060762285900848
CC(C)CCOC(C)OCCC(C)C,4.070403778954366
CC(C)COC(C)OCC(C)C,3.8008602267016034
CC(C)OC(C)OC(C)C,3.1244651527719283
CCCCCOC(C)OCCCCC,5.013826849903488
CCCCOC(C)OCCCC,4.833555548749356
CCCCCCOC(C)OCCCCCC,4.866072547986848
CC(OCCc1ccccc1)OCCc1ccccc1,5.379878249374329
CCCOC(C)OCCC,4.263145274757724
CCOC(C)OCC(C)CC,3.8648965720255015
CCOCCOCCC(C)C,4.480931253551515
CCCCCOC(C)OCC,5.211622895765761
CC/C=C/CCOC(C)OCC,4.6255321953421795
CCCCCCOC(C)OCC,5.063483069855483
CCOC(C)OCC(C)C,4.3265526748793635
CCOC(C)OC,4.5710776847790475
CCOC(C)OCCc1ccccc1,5.869231318824259
CCCOC(C)OCC,4.556169205160048
CCCCCCOC(C)OCCC(C)C,4.95730491036086
CC(C)CCOC(C)OCC(C)C,4.304723999264
CCCC(C)OC(C)OCCC(C)C,4.546567576934098
CCCOC(C)OC(C)CCC,4.281787157138161
CCCOC(C)OCCc1ccccc1,5.7466748959981775
CC=O,3.78009512615274
COc1ccc(C(C)=O)cc1,5.323681177160323
CC(=O)O,4.931202330110561
CC(=O)OCC(COC(C)=O)OC(C)=O,4.776002440718621
CC(=O)C(C)O,4.5177748177340815
CC(=O)CO,4.743826236926713
CC(C)=O,4.2828143187967385
CC(=O)COC(C)=O,4.956924513500956
CC(=O)c1ccccc1,5.408999178810633
COc1cc(C(C)=O)cc(OC)c1O,5.580091796004123
COc1cc(C(C)=O)ccc1O,6.0292313288142125
CCC(=O)COC(C)=O,5.0174781309247
CC(=O)OCCCCOC(C)=O,5.476873113213818
CC(=O)OC1(C)CCCC(C)(C)C12CCC(C)O2,4.728978525033736
CC(=O)OC1=C(C)OC(C)C1=O,5.4691344829953
CC(=O)CCc1ccc(OC(C)=O)cc1,5.598541147939231
CC(=O)Oc1cc(C)ccc1C(C)C,5.4176790726176645
CC(=O)C1=C(C)C2CC3(C1)C(C)CCC3C2(C)C,5.0416917124672915
CC(=O)C1CCCC1=O,5.157761291751814
CC(=O)N1CCC=CS1,4.900824892990146
CC(=O)c1oc(C)cc1C,4.800124955431368
CC(=O)c1cc(C)oc1C,4.745098634977911
CC(=O)[n+]1cc(C)nc(C)c1,5.498468762339183
CC(=O)c1ncc(C)nc1C,4.765845508139992
CC(=O)c1cnc(C)c(C)n1,4.723290941762697
CC(=O)c1cc(C)sc1C,5.726780155033702
CCc1nccnc1C(C)=O,5.4604207380274055
CCc1cnc(C(C)=O)cn1,5.373077971457922
CCc1cncc(C(C)=O)n1,5.726833022486839
CC(=O)CCc1nccs1,5.8434463010516104
CC(=O)n1ccc2ccccc21,5.964617590600839
CC(=O)c1ccc(C)o1,4.709161456187406
CC(=O)c1nccnc1C,4.694451969691025
CC(=O)c1ccnc(C)n1,5.033271365213417
CC(=O)Cc1ccc[nH]1,5.727058467845723
CC(=O)c1cnccn1,4.7740567467025565
CC(=O)c1ccccn1,5.285639909042335
CC(=O)c1cccnc1,4.83353216510271
CC(=O)c1ccc[nH]1,5.092741830781441
CC(=O)C1=CCCCN1,4.482394338358996
CC(=O)c1nccs1,4.739511756900597
CC(=O)C1NCCS1,4.208739106690258
CC(=O)C1=NCCS1,5.165492066273207
CC(=O)OCCCCCCSC(C)=O,5.61281006584192
O=C(O)/C=C(\CC(=O)O)C(=O)O,4.349303871311497
O=C(O)CCCCC(=O)O,4.450580733655563
C/C=C(C)/C=C/C=C(C)C,3.5550431913230858
C=CCCC(=O)/C=C/C1C(C)=CCCC1(C)C,6.856155126402409
C=CCOC(=O)Cc1ccccc1,5.891346004336362
