Type,Experiment,CID,ID,Compared To ID,ID In Exp 1,ID In Exp 2,Dilution1,Intensity1,Dilution2,Intensity2,Dilution3,Intensity3,PredictedDistance,Mix Component 1,Mix Component 2,Mix Component 3,Mix Component 4,Mix Component 5,Mix Component 6,Mix Component 7,Mix Component 8,Mix Component 9,Mix Component 10,Mix Component 11,Mix Component 12,Mix Component 13,Mix Component 14,Mix Component 15,Mix Component 16,Mix Component 17,Mix Component 18,Mix Component 19,Mix Component 20,Mix Component 21,Mix Component 22,Mix Component 23,Mix Component 24,Mix Component 25,Mix Component 26,Mix Component 27,Mix Component 28,Mix Component 29,Mix Component 30,,,,,
mono-molecule,Exp1,7519,,,1,,100.00%,70.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp1,7770,,,2,,100.00%,65.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp1,1140,,,3,,100.00%,54.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp1,8030,,,4,,100.00%,60.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp1,8103,,,5,,100.00%,47.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp1,8129,,,6,,100.00%,47.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp1,957,,,7,,100.00%,46.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp1,4133,,,8,,100.00%,53.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp1,31252,,,9,,100.00%,76.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp1,31276,,,10,,10.00%,50.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
