CID,MolecularWeight,IsomericSMILES,IUPACName,name
1183,152.15,COC1=C(C=CC(=C1)C=O)O,4-hydroxy-3-methoxybenzaldehyde,vanillin
12755,109.13,CN1C=CC=CC1=O,1-methylpyridin-2-one,1-methyl-2-pyridone
227085,137.14,COC(=O)C1=CC=NC=C1,methyl pyridine-4-carboxylate,methyl isonicotinate
379,144.21,CCCCCCCC(=O)O,octanoic acid,octanoic acid
8158,158.24,CCCCCCCCC(=O)O,nonanoic acid,nonanoic acid
8094,130.18,CCCCCCC(=O)O,heptanoic acid,heptanoic acid
8892,116.16,CCCCCC(=O)O,hexanoic acid,hexanoic acid
31244,136.15,COC1=CC=C(C=C1)C=O,4-methoxybenzaldehyde,4-methoxybenzaldehyde
1254,156.26,CC1CCC(C(C1)O)C(C)C,5-methyl-2-propan-2-ylcyclohexan-1-ol,menthol
10819,152.23,CC(=C)C1CCC(=CC1)CO,(4-prop-1-en-2-ylcyclohexen-1-yl)methanol,perillyl alcohol
8868,130.14,CCOC(=O)CC(=O)C,ethyl 3-oxobutanoate,ethyl acetoacetate
638014,192.30,CC1=C(C(CCC1)(C)C)/C=C/C(=O)C,"(E)-4-(2,6,6-trimethylcyclohexen-1-yl)but-3-en-2-one",beta-ionone
123406,134.17,CCC1=CC=CC=C1C=O,2-ethylbenzaldehyde,2-ethylbenzaldehyde
7707,134.17,C1=CC=C(C=C1)CCC=O,3-phenylpropanal,3-phenylpropanal
8129,116.20,CCCCCCCO,heptan-1-ol,1-heptanol
14525,152.23,CC1(C2CCC(C2)(C1=O)C)C,"1,3,3-trimethylbicyclo[2.2.1]heptan-2-one",(.+/-.)-fenchone
9261,80.09,C1=CN=CC=N1,pyrazine,pyrazine
8103,102.17,CCCCCCO,hexan-1-ol,1-hexanol
26808,122.17,CC1=CN=C(C(=N1)C)C,"2,3,5-trimethylpyrazine","2,3,5-trimethylpyrazine"
7410,120.15,CC(=O)C1=CC=CC=C1,1-phenylethanone,acetophenone
7150,136.15,COC(=O)C1=CC=CC=C1,methyl benzoate,methyl benzoate
16724,150.22,CC1=CC[C@@H](CC1=O)C(=C)C,(5S)-2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one,d-carvone
13175,156.26,CCCCCC(=O)CCCC,decan-5-one,5-decanone
