CID,Olfactory Receptor
177,MOR261-1
177,MOR268-1
179,OR52D1
240,OR1G1
240,OR52D1
240,MOR258-2
240,MOR103-15
240,MOR171-2
240,MOR256-3
244,OR1G1
244,OR52D1
261,OR1G1
264,OR2J3
264,OR2T1
264,OR4Q3
264,OR8U8
264,OR10G7
264,OR10H1
264,OR11H4
264,OR52D1
323,OR2J2
323,OR2J3
323,OR2W1
323,OR5P3
323,MOR189-1
323,MOR207-1
323,MOR259-1
323,MOR258-2
323,MOR258-1
323,MOR204-6
323,MOR41-1
323,MOR161-1
323,MOR162-1
323,MOR139-1
323,MOR129-1
323,MOR106-1
323,MOR250-1
323,MOR185-1
323,MOR170-1
342,MOR139-3
356,MOR103-15
379,OR2W1
379,OR11H7P
379,OR52D1
379,MOR103-15
379,MOR40-4
379,MOR22-2
379,MOR31-2
379,MOR33-1
379,MOR32-4
379,MOR23-1
379,MOR30-1
379,MOR32-11
379,MOR25-1
379,MOR8-2
379,MOR5-1
379,MOR40-1
379,MOR42-3
379,MOR42-2
379,MOR106-1
379,MOR256-17
379,MOR256-3
454,OR1A1
454,OR1A2
454,OR1D2
454,OR1G1
454,OR1N1
454,OR2W1
454,OR52D1
454,MOR103-15
454,MOR23-1
454,MOR139-3
454,MOR256-3
460,OR1G1
460,OR2T1
878,MOR244-3
957,OR1A1
957,OR1A2
957,OR1G1
957,OR2J2
957,OR2W1
957,MOR203-1
957,MOR261-1
957,MOR103-15
957,MOR22-2
957,MOR31-2
957,MOR33-1
957,MOR23-1
957,MOR268-1
957,MOR40-1
957,MOR139-3
998,OR10A6
998,OR10G7
998,OR10H2
998,MOR244-3
1032,OR1E1
1032,OR51E2
1183,OR1G1
1183,OR1L3
1183,OR2G2
1183,OR2M4
1183,OR2T34
1183,OR2T10
1183,OR5AC2
1183,OR7D4
1183,OR10G7
1183,MOR174-9
1183,MOR224-7P
1254,OR1G1
2537,OR1G1
2969,OR1G1
2969,OR2W1
2969,MOR203-1
2969,MOR260-1
2969,MOR40-4
2969,MOR33-1
2969,MOR32-4
2969,MOR30-1
2969,MOR32-11
2969,MOR25-1
2969,MOR5-1
2969,MOR40-1
2969,MOR42-3
