CID,Molar Refractivity,Net Charge,HBD,HBA,Rt Bonds,Rings,TPSA,Hetero Atoms,Heavy Atoms,Aromatic Heavy Atoms,Melting Point (°C),Boiling Point (°C@760.00mm Hg),Vapor Pressure (mmHg@25.00 °C),Vapor Density (Air =1),Fraction Csp3,LogP,iLOGP,XLOGP3,WLOGP,MLOGP,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class: esol_class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT Class,GI Absorption,BBB Permeable,PgP Substrate,Log Kp (cm/s),Bioavailability Score,Caco2,Human Intestinal Absorption,Plasm Protein Binding,CYP1A2 Inhibitor,CYP2C19 Inhibitor,CYP2C9 Inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Ames mutagenesis,Acute Oral Toxicity,Carcinogenicity (Binary),Carcinogenicity (Trinary),Eye Irritation,Hepatotoxicity,Androgen Receptor Binding,Aromatase Binding,Estrogen Receptor Binding,Glucocorticoid Receptor Binding,Thyroid Receptor Binding,BRCP inhibitor,BSEP inhibitor,OATP1B1 inhibitor,OATP1B3 inhibitor,OATP2B1 inhibitor,OCT1 inhibitor,OCT2 inhibitor
4,20.40,1,2,2,1,,46.25,2,5,0,24.00 to 26.00,160.00 to 161.00,0.47,2.6,1.00,-0.674,1.13,-0.96,-0.67,-0.63,0.37,174,2.32,Highly soluble,0.47,224,2.98,Highly soluble,0.34,166,2.21,Soluble,High,0,0,-7.44,0.55,0,1,0.058,0,0,0,0,0,1,1.465,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
19,37.45,-1,3,4,1,1,77.76,4,11,6,204.00 to 208.00,362.00 to 363.00,,,0.00,0.796,1.09,1.20,0.80,0.40,-1.89,1.99,0.013,Very soluble,-2.43,0.57,0,Soluble,-0.60,38.3,0.25,Soluble,High,0,0,-6.39,0.56,1,1,0.733,0,0,0,0,1,0,2.427,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
49,28.12,-1,1,3,2,,54.37,3,8,0,31.5,170.00 to 171.00,0.732,,0.60,0.296,0.77,0.71,0.30,-0.09,-0.88,15.5,0.133,Very soluble,-1.43,4.32,0.04,Very soluble,0.03,124,1.07,Soluble,High,0,0,-6.50,0.85,0,1,0.605,0,0,0,0,0,0,0.697,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
51,29.89,-2,2,5,4,,91.67,5,10,0,114.00 to 116.00,323.00 ,0.00001,,0.40,-0.495,-0.09,-0.90,-0.50,-1.06,0.09,178,1.22,Highly soluble,-0.54,41.9,0.29,Very soluble,0.64,632,4.33,Soluble,High,0,0,-7.83,0.56,0,1,0.16,0,0,0,0,0,0,1.137,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
58,23.31,-1,1,3,2,,54.37,3,7,0,33,170.00 to 171.00,0.482,,0.50,0.05,0.46,0.14,0.05,-0.50,-0.43,38,0.372,Very soluble,-0.84,14.8,0.15,Very soluble,0.08,123,1.21,Soluble,High,0,0,-6.82,0.85,1,1,0.104,0,0,0,0,0,0,0.946,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
70,32.93,-1,1,3,3,,54.37,3,9,0,8 to 10,170.00 to 171.00,0.239,,0.67,0.686,1.06,0.94,0.69,0.28,-1.04,11.8,0.091,Very soluble,-1.67,2.79,0.02,Very soluble,-0.39,52.7,0.41,Soluble,High,1,0,-6.43,0.85,0,1,0.563,0,0,0,0,0,0,0.88,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
72,37.45,-1,3,4,1,1,77.76,4,11,6,221,170.00 to 171.00,,,0.00,0.796,0.66,1.15,0.80,0.40,-1.86,2.14,0.014,Very soluble,-2.38,0.65,0,Soluble,-0.60,38.3,0.25,Soluble,High,0,0,-6.42,0.56,0,1,0.717,0,0,0,0,1,0,1.111,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
107,42.79,-1,1,2,3,1,37.30,2,11,6,107,170.00 to 171.00,0.002,,0.22,1.704,1.50,1.84,1.70,1.98,-2.14,1.1,0.007,Soluble,-2.24,0.86,0.01,Soluble,-2.56,0.41,0,Soluble,High,1,0,-5.91,0.85,1,1,0.74,0,0,0,0,0,0,1.33,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
119,25.82,,2,3,3,,63.32,3,7,0,203,170.00 to 171.00,0.008,,0.75,-0.19,0.72,-3.17,-0.19,-0.39,1.72,5360,52,Highly soluble,2.41,264,256,Highly soluble,-0.04,95.1,0.92,Soluble,High,0,0,-9.18,0.55,1,1,0.353,0,0,0,0,0,0,0.775,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
125,34.59,,2,2,1,1,40.46,2,9,6,124.5,170.00 to 171.00,0.01,,0.14,0.885,1.29,0.25,0.73,0.88,-1.19,7.93,0.064,Very soluble,-0.66,27.1,0.22,Very soluble,-1.61,3.06,0.02,Soluble,High,1,0,-6.88,0.55,1,1,0.314,0,0,0,0,1,0,1.941,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
