Stimulus,Decriptors,Modifiers
4.0,fishy;ammonical,
49.0,fruity,
58.0,sweet;brown;lactonic;caramel;creamy,
70.0,fruity,
72.0,balsamic;phenolic,mild
107.0,cinnamyl;fatty;sweet;rose;floral;balsamic;musk,
119.0,meaty;savory,
125.0,bitter;sweet;coconut;almond;fruity,
126.0,sweet;honey;metallic;almond;vanilla;brown;woody;balsamic;nutty,
135.0,phenolic;nutty,
176.0,pungent;sour;green;herbaceous;vinegar;woody;acetic;acidic,sharp
177.0,winey;pungent;fresh;fruity;musty;coffee;aldehydic;ethereal,penetrating;suffocating
178.0,mousy;bland,
179.0,fatty;dairy;yogurt;sweet;sour;milky;green;vanilla;woody;caramel;buttery;creamy;bland,
180.0,characteristic;apple;fruity;pear;solvent;ethereal,
222.0,cloying;ammonical;pungent;repellent;irritating,suffocating;sharp
239.0,fruity;sweet,
240.0,bitter;sugar;sweet;cherry;aromatic;almond;stinging;fruity;marzipan;nutty;burnt;spicy;powdery;maraschino,sharp;powerful
241.0,gasoline;aromatic,
243.0,unpleasant;balsamic;urine,faint
244.0,berry;sweet;grapefruit;cherry;rose;citrus;floral;phenolic;aromatic;balsamic;walnut;chemical,
247.0,bland,
261.0,garbage;meaty;cocoa;pungent;malty;characteristic;sweet;apple;green;bready;musty;fruity;pear;creamy;chocolate;ethereal,
262.0,creamy;buttery;fruity;onion,
263.0,winey;oily;banana;sweet;fusel;vanilla;medicinal;balsamic;fermented;whiskey;alcoholic,
264.0,cheese;unpleasant;dairy;sweaty;buttery;fruity;caprylic;rancid;acetic;acidic;obnoxious,penetrating;sharp
273.0,animal;characteristic;dead animal;sperm;urine,
284.0,pungent;fermented;vinegar;fruity;acetic,penetrating;sharp
311.0,lemon,
313.0,irritating;pungent,faint
323.0,coumarinic;sweet;green;pleasant;vanilla;hay;tonka;spicy;new mown hay,
325.0,sweet;floral;caraway;aromatic;cumin;herbaceous;leathery;spicy;warm,strong
326.0,oily;pungent;green;cumin;herbaceous;woody;spicy;acidic,sharp
332.0,winey;clove;peanut;smoky;sweet;roasted;apple;cedar;phenolic;fresh;woody;spicy;dry;curry;warm;amber,
335.0,sweet;phenolic;herbaceous;musty;medicinal;leathery;tarry;plastic,
338.0,phenolic;nutty,faint
342.0,sweet;ethereal;phenolic;medicinal;woody;leathery;dry;tarry;coal tar;plastic;fecal,
356.0,alkane;gasoline,
379.0,wax;cheese;fatty;oily;sweaty;vegetable;sour;fruity;rancid;unpleasant;irritating;soapy;acidic,faint
402.0,sulfurous;rotten;offensive;eggs,
454.0,wax;fatty;pungent;honey;aldehydic;orange;citrus;green;fruity;peely;soapy;lemon,strong
460.0,bacon;meaty;smoky;sweet;phenolic;aromatic;vanilla;woody;medicinal;spicy;savory,
