CID,Primary Odor,Sub Odor
4,Ammonia,Fishy
4,Fishy/Ammonia,Fishy
4,Fishy/Rancid,Fishy
4,Food,Fishy
19,Odorless,
49,Fragrant/Fruity,Fruity
49,Lemon,Fruity
49,Nature,Fruity
49,Sweet,Fruity
51,Odorless,
58,Brown,Brown
58,Caramel,Caramel
58,Chemical/Hydrocarbon,Lactonic
58,Dairy,Creamy
58,Fragrant,Sweet
58,Lemon,Sweet
58,Microbiological,Lactonic
58,Minty,Sweet
58,Non-citrusfruity,Sweet
58,Sweet,Caramel
58,Sweet,Sweet
58,Terpenes/Pine/Lemon,Sweet
70,Fragrant/Fruity,Fruity
70,Lemon,Fruity
70,Nature,Fruity
70,Sweet,Fruity
72,Balsamic,Balsamic
72,Medicinal/Phenolic,Phenolic
72,Other,Mild
72,Woody,Phenolic
107,Ambrosial,Musk
107,Balsamic,Balsamic
107,Floral,Floral
107,Floral,Rose
107,Fragrant,Floral
107,Fragrant,Rose
107,Fragrant,Sweet
107,Lemon,Sweet
107,Minty,Sweet
107,Nature,Floral
107,Non-citrusfruity,Sweet
107,Popcorn,Fatty
107,Spices,Cinnamyl
107,Sweet,Sweet
107,Terpenes/Pine/Lemon,Sweet
119,Food,Meaty
119,Non-vegetarian,Meaty
119,Salty,Savory
125,Bitter,Bitter
125,Dryfruit,Almond
125,Fragrant,Sweet
125,Fragrant/Fruity,Fruity
125,Lemon,Fruity
125,Lemon,Sweet
125,Minty,Sweet
125,Nature,Fruity
125,Non-citrusfruity,Sweet
125,Nutty,Almond
125,Popcorn,Almond
125,Sweet,Fruity
125,Sweet,Sweet
125,Terpenes/Pine/Lemon,Sweet
126,Balsamic,Balsamic
126,Brown,Brown
126,Buildingmaterials&construction,Metallic
126,Buildingmaterials&construction,Woody
126,Caramel,Honey
126,Dryfruit,Almond
126,Fragrant,Sweet
126,Grassy/Woody,Woody
126,Lemon,Sweet
126,Metallic,Metallic
126,Minty,Sweet
126,Non-citrusfruity,Sweet
126,NoseFeel,Metallic
126,Nutty,Almond
126,Nutty,Nutty
126,Popcorn,Almond
126,Popcorn,Nutty
126,Popcorn,Woody
126,Sweet,Sweet
126,Sweet,Vanilla
126,Terpenes/Pine/Lemon,Sweet
126,Woody,Vanilla
126,Woody,Woody
135,Medicinal/Phenolic,Phenolic
135,Nutty,Nutty
135,Popcorn,Nutty
135,Woody,Phenolic
174,Odorless,
176,Foul,Pungent
176,Lemon,Acid
176,Lemon,Sharp
176,Lemon,Sour
176,NoseFeel,Pungent
176,NoseFeel,Sharp
176,Pungent,Pungent
176,Rancid,Vinegar
176,Sharp/Pungent,Acid
176,Sharp/Pungent,Pungent
176,Sharp/Pungent,Sharp
176,Sharp/Pungent,Sour
176,Sharp/Pungent,Vinegar
176,Sickening,Acid
176,Sickening,Pungent
176,Sickening,Sharp
177,Beverage,Winey
177,Chemical/Hydrocarbon,Aldehydic
177,Chemical/Hydrocarbon,Ether
177,Earthy/Musty/Moldy,Earthy/ Musty
177,Earthy/Musty/Moldy,Musty
177,Earthy/Musty/Moldy,Musty/Moldy
177,Foul,Pungent
177,Fragrant/Fruity,Fruity
177,Fresh,Fresh
177,Lemon,Fruity
177,Nature,Fruity
177,NoseFeel,Pungent
177,Popcorn,Musty
177,Pungent,Pungent
177,Restaurant,Coffee
177,Sharp/Pungent,Musty
177,Sharp/Pungent,Pungent
177,Sickening,Pungent
177,Sweet,Fruity
177,Woody,Coffee
177,Woody/Resinous,Musty
178,Odorless,
179,Bakery,Buttery
179,Caramel,Buttery
179,Dairy,Buttery
179,Dairy,Creamy
179,Dairy,Dairy
179,Dairy,Milky
179,Fragrant,Sweet
179,Lemon,Sweet
179,Minty,Sweet
179,Non-citrusfruity,Sweet
179,Popcorn,Fatty
179,Sweet,Sweet
179,Terpenes/Pine/Lemon,Sweet
180,Chemical/Hydrocarbon,Ether
180,Chemical/Hydrocarbon,Solvent
180,Fruity,Apple
180,Fruity,Pear
180,Fuel/GasStation/Solvent,Solvent
180,Solvent/Hydrocarbon,Solvent
196,Odorless,
204,Odorless,
222,Ammonia,Ammonia
222,Chemical/Hydrocarbon,Repellent
222,Fishy/Ammonia,Ammonia
239,Odorless,
240,Beverage,Maraschino
240,Bitter,Bitter
240,Burnt,Burnt
240,Dryfruit,Almond
240,Fragrant,Sweet
240,Fragrant/Fruity,Fruity
240,Fruity,Cherry
240,Lemon,Fruity
240,Lemon,Sharp
240,Lemon,Sweet
240,Minty,Sweet
240,Nature,Fruity
240,Non-citrusfruity,Cherry
240,Non-citrusfruity,Sweet
240,NoseFeel,Sharp
240,Nutty,Almond
240,Nutty,Nutty
240,Popcorn,Almond
240,Popcorn,Burnt
240,Popcorn,Nutty
240,Sharp/Pungent,Sharp
240,Sickening,Burnt
240,Sickening,Sharp
240,Softfloral,Powdery
240,Sweet,Fruity
240,Sweet,Sugar
240,Sweet,Sweet
240,Terpenes/Pine/Lemon,Sweet
241,Aromatic,Aromatic
241,Chemical/Hydrocarbon,Gasoline
241,Fragrant,Aromatic
241,Fuel/GasStation/Solvent,Gasoline
241,Minty,Aromatic
241,Non-citrusfruity,Aromatic
241,Solvent/Hydrocarbon,Gasoline
241,Woody/Resinous,Aromatic
243,Balsamic,Balsamic
243,Fishy/Ammonia,Urine
243,Waste,Urine
244,Balsamic,Balsamic
244,Chemical/Hydrocarbon,Sweet Organic Chemical
244,Citrus,Citrus
244,Citrus,Grapefruit
244,Dryfruit,Walnut
244,Floral,Floral
244,Floral,Rose
244,Fragrant,Floral
244,Fragrant,Rose
244,Fragrant,Sweet
244,Fragrant/Fruity,Citrus
244,Fruity,Berry
244,Fruity,Cherry
244,Fruity,Citrus
244,Fruity,Grapefruit
244,Lemon,Citrus
244,Lemon,Sweet
244,Medicinal/Phenolic,Phenolic
244,Minty,Sweet
244,Nature,Floral
244,Non-citrusfruity,Cherry
244,Non-citrusfruity,Sweet
244,Nutty,Walnut
244,Solvent/Hydrocarbon,Chemical
244,Sweet,Sweet
244,Sweet,Sweet Organic Chemical
244,Terpenes/Pine/Lemon,Sweet
244,Woody,Phenolic
247,Bland,Bland
261,Bakery,Bready
261,Bakery,Malty
261,Beverage,Malty
261,Caramel,Chocolate
261,Chemical/Hydrocarbon,Ether
261,Chocolate,Chocolate
261,Chocolate,Cocoa
261,Dairy,Creamy
261,Earthy/Musty/Moldy,Earthy/ Musty
261,Earthy/Musty/Moldy,Musty
261,Earthy/Musty/Moldy,Musty/Moldy
261,Food,Cocoa
261,Food,Meaty
261,Foul,Garbage
261,Foul,Pungent
261,Fragrant/Fruity,Green
261,Fruity,Apple
261,Fruity,Pear
261,Green,Green
261,Non-vegetarian,Meaty
261,NoseFeel,Pungent
261,Popcorn,Musty
261,Pungent,Pungent
261,Sharp/Pungent,Musty
261,Sharp/Pungent,Pungent
261,Sickening,Pungent
261,Sweet,Chocolate
261,Sweet,Malty
261,Sweet,Sweet Garbage
261,Terpenes/Pine/Lemon,Sweet Garbage
261,Waste,Garbage
261,Woody/Resinous,Musty
262,Alliaceous,Onion
262,Bakery,Buttery
262,Caramel,Buttery
262,Dairy,Buttery
262,Dairy,Creamy
262,Fragrant/Fruity,Fruity
262,Lemon,Fruity
262,Marshy/Septic/Sulphurous,Onion
262,Nature,Fruity
262,Sickening,Onion
262,Sweet,Fruity
262,Vegetables,Onion
263,Balsamic,Balsamic
263,Beverage,Whiskey
263,Beverage,Winey
263,Chemical/Hydrocarbon,Fusel
263,Chemical/Hydrocarbon,Medicinal
263,Chemical/Hydrocarbon,Sweet (Medicinal)
263,Foul,Fermented
263,Fragrant,Sweet
263,Fruity,Banana
263,Lemon,Sweet
263,Medicinal/Alcohol,Medicinal
263,Medicinal/Phenolic,Medicinal
263,Minty,Medicinal
263,Minty,Sweet
263,Non-citrusfruity,Banana
263,Non-citrusfruity,Sweet
263,Non-fooditems,Oily
263,Popcorn,Oily
263,Sweet,Sweet
263,Sweet,Sweet (Medicinal)
263,Sweet,Vanilla
263,Terpenes/Pine/Lemon,Sweet
263,Woody,Medicinal
263,Woody,Vanilla
264,Bakery,Buttery
