Sr.No.,Name,SMILES,CAS No,Mol. Wt.,Mol. Formula,PubChem,ZINC
1,"2,3-Dihydroxybenzoic acid",C1=CC(=C(C(=C1)O)O)C(=O)O,303-38-8,154.12,C7H6O4,19,ZINC388166
2,Carbon dioxide,C(=O)=O,124-38-9,44.01,CO2,280,
3,Carbastat,C[N+](C)(C)CCOC(=O)N,462-58-8,147.20,C6H15N2O2+,2551,ZINC3079342
4,Z-Dimethomorph,COC1=C(C=C(C=C1)/C(=CC(=O)N2CCOCC2)/C3=CC=C(C=C3)Cl)OC,110488-70-5,324.42,C21H22ClNO4,5463781,ZINC26891906
5,Nepetalic acid,C[C@H]1CC[C@@H]([C@@H]1C(=O)O)[C@@H](C)C=O,524-06-1,387.86,C10H16O3,5486616,ZINC6037654
6,Triolein,CCCCCCCC/C=CCCCCCCCC(=O)OCC(OC(=O)CCCCCCC/C=CCCCCCCCC)COC(=O)CCCCCCC/C=CCCCCCCCC,122-32-7,374.27,C57H104O6,5497163,ZINC85545180
7,(E)-Dimethomorph,COC1=C(C=C(C=C1)/C(=C/C(=O)N2CCOCC2)/C3=CC=C(C=C3)Cl)OC,110488-70-5,392.28,C21H22ClNO4,5889665,ZINC2382938
8,Edetate calcium disodium,C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Ca+2],62-33-9,218.28,C10H12CaN2Na2O8,6093170,
9,Calcium hydroxide,[OH-].[OH-].[Ca+2],1305-62-0,132.14,CaH2O2,6093208,
10,Gold disodium thiomalate,C(C(C(=O)[O-])[S-])C(=O)[O-].[Na+].[Na+].[Au+],74916-57-7,76.33,C4H3AuNa2O4S,6093241,
11,Carbofuran,CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C,1563-66-2,221.25,C12H15NO3,2566,ZINC56963
12,Edetate calcium disodium monohydrate,C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].O.[Na+].[Na+].[Ca+2],23411-34-9,313.35,C10H16CaN2Na2O10,6096880,
13,Magnesium dihydrogen phosphate,OP(=O)(O)[O-].OP(=O)(O)[O-].[Mg+2],13092-66-5,296.23,H4MgO8P2,6096959,
14,Ammonium sulfate,[NH4+].[NH4+].[O-]S(=O)(=O)[O-],7783-20-2,334.28,H8N2O4S,6097028,
15,Magnesium;dihydroxide;hydrate,O.[OH-].[OH-].[Mg+2],null,386.17,H4MgO3,444497,
