Ser. No.,Primary Odor,Sub Odor,CAS Number,Chemical Name
0,Alliaceous,Alliaceous,74-93-1,Methanethiol
1,Alliaceous,Alliaceous,75-08-1,Ethanethiol
2,Alliaceous,Alliaceous,75-33-2,2-Propanethiol
3,Alliaceous,Alliaceous,100-53-8,Benzyl mercaptan
4,Alliaceous,Alliaceous,107-03-9,1-Propanethiol
5,Alliaceous,Alliaceous,107-18-6,Allyl alcohol
6,Alliaceous,Alliaceous,108-98-5,Benzenethiol
7,Alliaceous,Alliaceous,110-02-1,Thiophene
8,Alliaceous,Alliaceous,110-66-7,1-Pentanethiol
9,Alliaceous,Alliaceous,110-81-6,Diethyl disulfide
10,Alliaceous,Alliaceous,111-31-9,1-Hexanethiol
11,Alliaceous,Alliaceous,111-47-7,Dipropyl sulfide
12,Alliaceous,Alliaceous,505-23-7,"1,3-Dithiane"
13,Alliaceous,Alliaceous,507-09-5,Thioacetic acid
14,Alliaceous,Alliaceous,544-40-1,Dibutyl sulfide
15,Alliaceous,Alliaceous,554-14-3,2-Methylthiophene
16,Alliaceous,Alliaceous,623-51-8,Ethyl thioglycolate
17,Alliaceous,Alliaceous,624-89-5,Ethyl methyl sulfide
18,Alliaceous,Alliaceous,629-19-6,Dipropyl disulfide
19,Alliaceous,Alliaceous,693-95-8,4-Methylthiazole
20,Alliaceous,Alliaceous,870-23-5,Allyl mercaptan
21,Alliaceous,Alliaceous,1618-26-4,Bis(methylthio)methane
22,Alliaceous,Alliaceous,1679-07-8,Cyclopentanethiol
23,Alliaceous,Alliaceous,2050-87-5,Diallyl trisulfide
24,Alliaceous,Alliaceous,2179-57-9,Diallyl disulfide
25,Alliaceous,Alliaceous,2179-59-1,Allyl propyl disulfide
26,Alliaceous,Alliaceous,2179-60-4,Methyl propyl disulfide
27,Alliaceous,Alliaceous,2550-40-5,Dicyclohexyl disulfide
28,Alliaceous,Alliaceous,3658-80-8,Dimethyl trisulfide
29,Alliaceous,Alliaceous,3877-15-4,Methyl propyl sulfide
30,Alliaceous,Alliaceous,5616-51-3,"2-Methyl-1,3-dithiolane"
31,Alliaceous,Alliaceous,6028-61-1,Dipropyl trisulfide
32,Alliaceous,Alliaceous,30453-31-7,Ethyl propyl disulfide
33,Alliaceous,Alliaceous,50363-43-4,"4-Methyl-1,3-dithiolane"
34,Alliaceous,Alliaceous,1003-04-9,Tetrahydrothiophen-3-one
35,Alliaceous,Alliaceous,2408-20-0,Allyl propionate
36,Alliaceous,Alliaceous,13678-58-5,1-(Methylthio)-2-butanone
37,Alliaceous,Alliaceous,13678-68-7,S-Furfuryl thioacetate
38,Alliaceous,Alliaceous,13679-61-3,Methyl 2-thiofuroate
39,Alliaceous,Alliaceous,15679-13-7,2-Isopropyl-4-methylthiazole
40,Alliaceous,Alliaceous,34135-85-8,Allyl methyl trisulfide
41,Alliaceous,Alliaceous,41820-22-8,Allyl thiopropionate
42,Alliaceous,Alliaceous,37887-04-0,3-Mercapto-2-butanol
43,Alliaceous,Alliaceous,57124-87-5,2-Methyltetrahydrofuran-3-thiol
44,Alliaceous,Alliaceous,57500-00-2,Methyl furfuryl disulfide
45,Alliaceous,Alliaceous,59020-85-8,Furfuryl thiopropionate
46,Alliaceous,Alliaceous,67633-97-0,3-Mercapto-2-pentanone
47,Alliaceous,Alliaceous,2179-58-0,Allyl methyl disulfide
48,Alliaceous,Alliaceous,10152-76-8,Allyl methyl sulfide
49,Alliaceous,Alliaceous,636-72-6,2-Thiophenemethanol
50,Alliaceous,Alliaceous,2253-73-8,Isopropyl isothiocyanate
51,Alliaceous,Alliaceous,4253-89-8,Diisopropyl disulfide
52,Alliaceous,Alliaceous,27817-67-0,Allyl propyl sulfide
53,Alliaceous,Alliaceous,7341-17-5,2-Ethyl-1-hexanethiol
54,Alliaceous,Alliaceous,34365-79-2,S-Isopropyl 3-methylbut-2-enethioate
55,Alliaceous,Alliaceous,20333-39-5,Ethyl methyl disulfide
56,Alliaceous,Alliaceous,14252-42-7,"Ethane, 1,1-bis(ethylthio)-"
57,Alliaceous,Alliaceous,10544-63-5,Ethyl crotonate
58,Alliaceous,Alliaceous,1438-91-1,Furfuryl methyl sulfide
59,Alliaceous,Alliaceous,20582-85-8,4-(Methylthio)buta
60,Alliaceous,Alliaceous,24330-52-7,"1,3-Butanedithiol"
61,Alliaceous,Alliaceous,33922-73-5,Allyl propyl trisulfide
62,Alliaceous,Alliaceous,31499-71-5,Methyl ethyl trisulfide
63,Alliaceous,Alliaceous,63012-97-5,2-Methyl-3-(methylthio)furan
64,Alliaceous,Alliaceous,227456-28-2,3-Mercapto-2-methylpentanal
65,Alliaceous,Alliaceous,51647-38-2,"3-Methyl-1,2,4-trithiolane"
66,Alliaceous,Alliaceous,1113-13-9,"1-Propanesulfonothioic acid, S-propyl ester"
67,Alliaceous,Alliaceous,54717-17-8,"2,4,6-Triethyl-1,3,5-dithiazinane"
68,Alliaceous,Alliaceous,4532-64-3,"2,3-Butanedithiol"
69,Alliaceous,Alliaceous,94278-27-0,Ethyl 3-(furfurylthio)propionate
70,Alliaceous,Alliaceous,5925-75-7,2-[(1h-Benzimidazol-2-ylmethyl)sulfanyl]-n-(naphthalen-2-yl)acetamide
71,Alliaceous,Alliaceous,32951-19-2,"1-Butene, 1-(methylthio)-, (E)-"
72,Alliaceous,Alliaceous,71159-90-5,1-p-Menthene-8-thiol
73,Alliaceous,Alliaceous,37887-04-0,"(R*,S*)-3-Mercaptobutan-2-ol"
74,Alliaceous,Alliaceous,252736-36-0,Furfuryl propyl disulfide
