Stimulus,CID
4,4
19,19
49,49
51,51
58,58
70,70
72,72
107,107
119,119
125,125
126,126
135,135
174,174
176,176
177,177
178,178
179,179
180,180
196,196
204,204
222,222
239,239
240,240
241,241
243,243
244,244
247,247
261,261
262,262
263,263
264,264
273,273
280,280
281,281
284,284
294,294
299,299
311,311
313,313
323,323
325,325
326,326
332,332
335,335
338,338
342,342
356,356
379,379
385,385
401,401
402,402
424,424
453,453
454,454
460,460
525,525
527,527
564,564
596,596
602,602
611,611
612,612
614,614
650,650
660,660
670,670
674,674
679,679
702,702
713,713
743,743
750,750
753,753
757,757
767,767
769,769
784,784
785,785
791,791
798,798
802,802
836,836
838,838
857,857
875,875
876,876
878,878
880,880
904,904
931,931
932,932
936,936
938,938
957,957
964,964
971,971
977,977
978,978
980,980
984,984
985,985
994,994
996,996
997,997
998,998
999,999
1001,1001
1004,1004
1030,1030
1031,1031
1032,1032
1045,1045
1049,1049
1054,1054
1057,1057
1060,1060
1066,1066
1068,1068
1091,1091
1110,1110
1123,1123
1127,1127
1136,1136
1140,1140
1145,1145
1146,1146
1175,1175
1176,1176
1182,1182
1183,1183
1206,1206
1213,1213
1245,1245
1254,1254
1302,1302
1480,1480
1486,1486
1491,1491
1639,1639
1727,1727
1752,1752
1775,1775
1839,1839
1983,1983
1986,1986
1989,1989
2078,2078
2153,2153
2164,2164
2176,2176
2200,2200
2214,2214
2242,2242
2244,2244
2256,2256
2268,2268
2286,2286
2314,2314
2319,2319
2328,2328
2336,2336
2337,2337
2345,2345
2346,2346
2355,2355
2450,2450
2479,2479
2482,2482
2513,2513
2519,2519
2529,2529
2537,2537
2551,2551
2566,2566
2682,2682
2712,2712
2714,2714
2719,2719
2720,2720
2724,2724
2758,2758
2775,2775
2788,2788
2812,2812
2879,2879
2907,2907
2910,2910
2912,2912
2943,2943
2955,2955
2969,2969
2998,2998
3016,3016
3025,3025
3030,3030
3037,3037
3055,3055
3092,3092
3102,3102
3117,3117
3120,3120
3168,3168
3225,3225
3279,3279
3283,3283
3284,3284
3286,3286
3295,3295
3314,3314
3331,3331
3366,3366
3385,3385
3392,3392
3435,3435
3440,3440
3444,3444
3450,3450
3485,3485
3496,3496
3512,3512
3611,3611
3637,3637
3639,3639
3647,3647
3696,3696
3715,3715
3728,3728
3739,3739
3776,3776
3883,3883
3893,3893
3902,3902
4053,4053
4101,4101
4114,4114
4133,4133
4138,4138
4159,4159
4170,4170
4173,4173
4201,4201
4276,4276
4411,4411
4421,4421
4436,4436
4510,4510
4537,4537
4544,4544
4567,4567
4616,4616
4630,4630
4641,4641
4649,4649
4685,4685
4696,4696
4736,4736
4737,4737
4748,4748
4753,4753
4754,4754
4760,4760
4763,4763
4764,4764
4781,4781
4788,4788
4837,4837
4906,4906
4909,4909
4911,4911
4929,4929
4933,4933
4943,4943
4947,4947
4991,4991
5054,5054
5143,5143
5144,5144
5192,5192
5193,5193
5236,5236
5238,5238
5251,5251
5281,5281
5304,5304
5327,5327
5329,5329
5344,5344
5345,5345
5383,5383
5407,5407
5429,5429
5430,5430
5454,5454
5503,5503
5510,5510
5541,5541
5546,5546
5560,5560
5569,5569
5578,5578
5610,5610
5634,5634
5641,5641
5727,5727
5734,5734
5754,5754
5755,5755
5756,5756
5757,5757
5761,5761
5770,5770
5780,5780
5790,5790
5799,5799
5816,5816
5831,5831
5862,5862
5865,5865
5870,5870
5876,5876
5878,5878
5950,5950
5960,5960
5961,5961
5962,5962
5971,5971
5983,5983
5987,5987
5988,5988
5991,5991
5993,5993
5994,5994
5997,5997
6001,6001
6009,6009
6010,6010
6013,6013
6017,6017
6019,6019
6037,6037
6047,6047
6050,6050
6054,6054
6057,6057
6082,6082
6106,6106
6129,6129
6134,6134
6140,6140
6143,6143
6167,6167
6172,6172
6184,6184
6194,6194
6202,6202
6213,6213
6215,6215
6224,6224
6230,6230
6231,6231
6234,6234
6251,6251
6252,6252
6253,6253
6267,6267
6274,6274
6276,6276
6281,6281
6282,6282
6285,6285
6287,6287
6292,6292
6300,6300
6305,6305
6306,6306
6307,6307
6322,6322
6323,6323
6324,6324
6328,6328
6329,6329
6334,6334
6338,6338
6341,6341
6343,6343
6351,6351
6354,6354
6363,6363
6364,6364
6368,6368
6369,6369
6370,6370
6373,6373
6384,6384
6386,6386
6387,6387
6388,6388
6389,6389
6391,6391
6392,6392
6393,6393
6425,6425
6429,6429
6430,6430
6446,6446
6448,6448
6466,6466
6476,6476
6488,6488
6493,6493
6501,6501
6504,6504
6505,6505
6506,6506
6514,6514
6527,6527
6528,6528
6529,6529
6532,6532
6544,6544
6548,6548
6549,6549
6557,6557
6558,6558
6560,6560
6561,6561
6562,6562
6568,6568
6569,6569
6579,6579
6584,6584
6590,6590
6616,6616
6631,6631
6651,6651
6654,6654
6658,6658
6660,6660
6669,6669
6719,6719
6726,6726
6732,6732
6736,6736
6753,6753
6758,6758
6781,6781
6799,6799
6819,6819
6826,6826
6835,6835
6849,6849
6862,6862
6869,6869
6873,6873
6874,6874
6877,6877
6883,6883
6884,6884
6885,6885
6912,6912
6915,6915
6917,6917
6919,6919
6920,6920
6930,6930
6937,6937
6943,6943
6949,6949
6954,6954
6985,6985
6986,6986
6987,6987
6988,6988
6989,6989
6998,6998
7002,7002
7007,7007
7016,7016
7019,7019
7027,7027
7037,7037
7041,7041
7043,7043
7047,7047
7055,7055
7058,7058
7059,7059
7092,7092
7095,7095
7119,7119
7122,7122
7127,7127
7128,7128
7129,7129
7130,7130
7136,7136
7144,7144
7146,7146
7147,7147
7148,7148
7149,7149
7150,7150
7151,7151
7153,7153
7159,7159
7165,7165
7166,7166
7170,7170
7175,7175
7179,7179
7184,7184
7193,7193
7194,7194
7197,7197
7211,7211
7222,7222
7224,7224
7225,7225
7237,7237
7244,7244
7245,7245
7247,7247
7249,7249
7267,7267
7269,7269
7276,7276
7283,7283
7284,7284
7288,7288
7302,7302
7303,7303
7304,7304
7311,7311
7334,7334
7335,7335
7336,7336
7341,7341
7342,7342
7343,7343
7344,7344
7347,7347
7351,7351
7353,7353
7358,7358
7359,7359
7360,7360
7361,7361
7362,7362
7363,7363
7364,7364
7389,7389
7391,7391
7392,7392
7393,7393
7405,7405
7406,7406
7409,7409
7410,7410
7413,7413
7430,7430
7438,7438
7439,7439
7455,7455
7456,7456
7460,7460
7461,7461
7462,7462
7463,7463
7465,7465
7467,7467
7469,7469
7476,7476
7478,7478
7501,7501
7505,7505
7509,7509
7519,7519
7520,7520
7523,7523
7530,7530
7531,7531
7533,7533
7551,7551
7559,7559
7562,7562
7570,7570
7580,7580
7583,7583
7590,7590
7592,7592
7593,7593
7599,7599
7600,7600
7601,7601
7616,7616
7628,7628
7632,7632
7633,7633
7635,7635
7638,7638
7641,7641
7642,7642
7643,7643
7646,7646
7650,7650
7651,7651
7654,7654
7655,7655
7657,7657
7658,7658
7659,7659
7662,7662
7664,7664
7685,7685
7695,7695
7702,7702
7704,7704
7707,7707
7708,7708
7710,7710
7711,7711
7714,7714
7720,7720
7725,7725
7728,7728
7731,7731
7733,7733
7738,7738
7742,7742
7749,7749
7755,7755
7757,7757
7758,7758
7761,7761
7762,7762
7765,7765
7768,7768
7770,7770
7771,7771
7772,7772
7775,7775
7778,7778
7781,7781
7792,7792
7793,7793
7794,7794
7795,7795
7797,7797
7798,7798
7799,7799
7800,7800
7802,7802
7803,7803
7820,7820
7822,7822
7824,7824
7826,7826
7843,7843
7847,7847
7848,7848
7852,7852
7855,7855
7857,7857
7858,7858
7859,7859
7865,7865
7871,7871
7881,7881
7888,7888
7894,7894
7895,7895
7896,7896
7909,7909
7910,7910
7913,7913
7915,7915
