Stimulus,Subject,Normalization,Ave SSR (DeltaSpikes/s)
 C12,HsOr161,Pentane,-3.0
 C12,HsOr170,Pentane,3.0
 C12,HsOr174,Pentane,1.8
 C12,HsOr175,Pentane,-2.0
 C12,HsOr177,Pentane,5.4
 C12,HsOr182,Pentane,-1.2
 C12,HsOr183,Pentane,4.0
 C12,HsOr188,Pentane,-0.4
 C12,HsOr190,Pentane,17.8
 C12,HsOr20,Pentane,3.0
 C12,HsOr209,Pentane,-1.6
 C12,HsOr210,Pentane,6.2
 C12,HsOr212,Pentane,-9.4
 C12,HsOr224,Pentane,-1.6
 C12,HsOr236,Pentane,0.4
 C12,HsOr259-L2,Pentane,1.0
 C12,HsOr271,Pentane,-9.8
 C12,HsOr32,Pentane,-10.0
 C12,HsOr35,Pentane,-2.2
 C12,HsOr36,Pentane,16.5
 C12,HsOr37,Pentane,-4.4
 C12,HsOr378,Pentane,7.2
 C12,HsOr4,Pentane,-13.8
 C12,HsOr55,Pentane,-0.25
 C12,HsOr59,Pentane,0.5
 C12,NoUAS,Pentane,-1.0
C10,HsOr161,Pentane,-0.2
C10,HsOr170,Pentane,-2.6
C10,HsOr174,Pentane,4.4
C10,HsOr175,Pentane,-4.6
C10,HsOr177,Pentane,-8.0
C10,HsOr182,Pentane,0.8
C10,HsOr183,Pentane,0.8
C10,HsOr188,Pentane,-4.4
C10,HsOr190,Pentane,5.8
C10,HsOr20,Pentane,-1.8
C10,HsOr209,Pentane,3.6
C10,HsOr210,Pentane,4.6
C10,HsOr212,Pentane,-5.0
C10,HsOr224,Pentane,-6.4
C10,HsOr236,Pentane,5.0
C10,HsOr259-L2,Pentane,-0.8
C10,HsOr271,Pentane,-2.4
C10,HsOr32,Pentane,-7.8
C10,HsOr35,Pentane,-13.6
C10,HsOr36,Pentane,7.833333333333333
C10,HsOr37,Pentane,-5.4
C10,HsOr378,Pentane,1.6
C10,HsOr4,Pentane,-13.2
C10,HsOr55,Pentane,-7.5
C10,HsOr59,Pentane,-2.5
C10,NoUAS,Pentane,-6.0
C11,HsOr161,Pentane,-2.4
C11,HsOr170,Pentane,-1.2
C11,HsOr174,Pentane,-8.4
C11,HsOr175,Pentane,-4.8
C11,HsOr177,Pentane,0.2
C11,HsOr182,Pentane,0.6
C11,HsOr183,Pentane,6.8
C11,HsOr188,Pentane,3.2
C11,HsOr190,Pentane,4.8
C11,HsOr20,Pentane,-1.8
C11,HsOr209,Pentane,5.2
C11,HsOr210,Pentane,-4.4
C11,HsOr212,Pentane,-2.6
C11,HsOr224,Pentane,0.2
C11,HsOr236,Pentane,-0.8
C11,HsOr259-L2,Pentane,-1.4
C11,HsOr271,Pentane,-3.2
C11,HsOr32,Pentane,-4.0
C11,HsOr35,Pentane,3.0
C11,HsOr36,Pentane,7.666666666666667
C11,HsOr37,Pentane,0.4
C11,HsOr378,Pentane,5.6
C11,HsOr4,Pentane,-7.0
C11,HsOr55,Pentane,-8.5
C11,HsOr59,Pentane,3.8333333333333335
C11,NoUAS,Pentane,-6.4
C13,HsOr161,Pentane,-0.6
C13,HsOr170,Pentane,3.0
C13,HsOr174,Pentane,1.8
C13,HsOr175,Pentane,-2.4
C13,HsOr177,Pentane,-1.0
C13,HsOr182,Pentane,3.6
C13,HsOr183,Pentane,3.4
C13,HsOr188,Pentane,-1.2
C13,HsOr190,Pentane,6.6
C13,HsOr20,Pentane,5.2
C13,HsOr209,Pentane,2.6
C13,HsOr210,Pentane,4.4
C13,HsOr212,Pentane,-7.8
C13,HsOr224,Pentane,-6.2
C13,HsOr236,Pentane,-11.0
C13,HsOr259-L2,Pentane,-4.8
C13,HsOr271,Pentane,0.2
C13,HsOr32,Pentane,-13.4
C13,HsOr35,Pentane,-9.2
C13,HsOr36,Pentane,8.833333333333334
C13,HsOr37,Pentane,-8.2
C13,HsOr378,Pentane,-2.0
C13,HsOr4,Pentane,-9.6
C13,HsOr55,Pentane,-8.0
C13,HsOr59,Pentane,-3.3333333333333335
C13,NoUAS,Pentane,3.2
C14,HsOr161,Pentane,0.2
C14,HsOr170,Pentane,-0.8
