Mixture number,Mixture Cids
1,[ 6501 264 2879 7685 7731 326 7888 61138 8030 1183]
2,[ 240 93009 323 8148 7762 3314 460 6184 798 6054]
3,[ 7710]
4,[ 31276 93009 11002 323 7966 8148 7632 22201 19310 7762 2758 3314 460 443158 20859 7059 999 6544 7770 10430]
5,[ 10890 93009 11002 6982 323 8797 7966 8148 7632 31252 19310 7762 3314 460 6184 8892 8103 12178 5281168 798 443158 20859 7059 91497 999 10821 6544 7770 7714 10430]
6,[ 7710 31276 10890 240 93009 11002 6982 323 8797 7966 8148 24915 7632 22201 31252 19310 7762 26331 2758 3314 460 8130 6184 8892 8103 12178 5281168 798 443158 20859 7059 62444 91497 999 10821 6054 6544 7770 7714 10430]
7,[ 93009 460 443158 6544]
8,[ 5283349]
9,[ 7410 6501 264 5281515 6259976 307 7685 326 5283349 7749 7363 7888 7119 8635 8918 6736 8030 5634 7921 1183]
10,[ 7410 6501 7600 7519 264 5281515 6259976 307 2879 7685 7731 326 5283349 7583 7749 7363 8129 7888 61016 8635 8918 957 7991 61138 6654 8118 6736 10722 1140 1183]
11,[7991 61138 6654 8118 6736 8030 6989 10722 1140 5634 7921 1183]
12,[ 7731 7749 7888 1183]
13,[ 22201 7749 460 61016 7119 61138 999 10821 6054 6544]
14,[ 323 7762 7363 7888 16666 8635 7059 7991 6736 8030]
15,[ 7059]
16,[ 10890 7519 323 7583 7762 26331 8892 7888 443158 16666 8635 91497 8918 957 18827 8118 8030 6989 5634 10430]
17,[ 14286 31276 7600 7519 11002 6982 307 323 5283349 7762 26331 3314 7363 8892 8103 7888 443158 16666 8635 7059 91497 957 18827 7770 6736 8030 6989 10722 5634 10430]
18,[ 14286 7710 31276 10890 7600 7519 11002 6982 307 323 2879 7731 5283349 7583 7762 26331 3314 7363 8892 8103 7888 443158 16666 8635 7059 62444 91497 8918 957 18827 7991 7770 8118 6736 8030 6989 10722 5634 10430 7921]
19,[ 7731 8892 7888 7059]
20,[ 62336]
21,[ 6501 264 6259976 8797 7685 7632 22201 2758 460 8129 5281168 62336 798 61016 20859 61138 10821 6054 1140 1183]
22,[ 6501 62433 264 5281515 7685 326 7966 8148 24915 7632 22201 31252 19310 2758 8130 8129 6184 12178 798 61016 7119 20859 999 10821 6054 6544 6654 1140 7714 1183]
23,[ 7410 6501 62433 240 93009 264 5281515 6259976 8797 7685 326 7966 8148 24915 7632 22201 31252 19310 7749 2758 460 8130 8129 6184 12178 5281168 62336 798 61016 7119 20859 61138 999 10821 6054 6544 6654 1140 7714 1183]
24,[ 7749 61138 6054 6544]
25,[ 7600 62433 307 5283349 443158 8635 8918 999 6736 10722]
26,[ 7410 10890 7519 7685 24915 26331 8129 16666 7770 10430]
27,[ 7714]
28,[ 7410 10890 93009 6259976 2879 8797 7685 24915 8103 5281168 7888 16666 18827 7991 6054 6654 7770 8030 5634 10430]
29,[ 7410 10890 93009 11002 8797 7685 7731 7966 24915 7583 26331 5281168 7888 798 61016 16666 7119 20859 18827 7991 6054 6654 7770 8118 8030 1140 7714 5634 10430 1183]
30,[ 7410 10890 7519 93009 11002 6259976 323 2879 8797 7685 7731 326 7966 24915 31252 7583 26331 460 8129 8103 5281168 7888 798 61016 16666 7119 20859 18827 7991 10821 6054 6654 7770 8118 8030 1140 7714 5634 10430 1183]
31,[ 5281168 10890 2879 7966]
32,[ 31276]
33,[ 14286 7710 31276 7600 5281515 6982 5283349 7632 7762 3314 6184 443158 91497 8918 957 61138 999 6544 6989 7921]
34,[ 14286 7710 31276 7600 62433 240 264 5281515 6982 307 5283349 7632 22201 19310 7749 2758 3314 6184 8892 443158 7059 91497 8918 957 61138 6544 6736 6989 10722 7921]
35,[ 14286 6501 7710 31276 7600 62433 240 264 5281515 6982 307 5283349 8148 7632 22201 19310 7762 7749 2758 3314 7363 8130 6184 8892 12178 62336 443158 8635 7059 62444 91497 8918 957 61138 999 6544 6736 6989 10722 7921]
36,[ 62433 7363 443158 61138]
37,[ 14286 7600 3314 16666 91497 18827 7991 7770 6989 5634]
38,[ 61199 10890 93009 264 6259976 24915 7762 460 8129 5281168 443158 8918 957 999 17100]
39,[ 61199 6501 264 2879 7731 326 24915 7762 460 8129 8892 12178 5281168 443158 4133 999 10821 17100 11552 1183]
40,[ 61199 6501 31276 10890 7519 240 93009 11002 6259976 2879 7685 7731 326 5283349 7583 460 8129 8892 12178 443158 4133 8918 957 61138 999 10821 6544 17100 11552 1183]
41,[ 61199 6501 31276 10890 7519 240 93009 264 11002 6259976 2879 8797 7685 7731 326 7966 5283349 9609 24915 7583 7762 26331 460 8129 8892 12178 5281168 443158 20859 4133 62444 8918 957 61138 999 10821 6544 6736 17100 31277 10722 11552 1183]
42,[ 7410 7710 7600 62433 307 7749 3314 61016 16666 91497 6054 6654 8030 5634 10430]
43,[ 7410 14286 7710 7600 62433 5281515 6982 22201 7749 3314 8130 8103 7888 16666 91497 6654 7770 5634 10430 7921]
44,[ 6501 8797 326 26331 8129 12178 999 6544 6736 11552]
45,[ 7685]
46,[ 6501 460 999 6544]
47,[ 7410 7710 7600 62433 5281515 6982 307 7632 22201 31252 19310 7749 3314 6184 7888 61016 16666 7119 91497 18827 7991 6054 6654 7770 8118 8030 6989 7714 5634 10430]
48,[ 7410 14286 7710 7600 62433 5281515 6982 307 323 8148 7632 22201 31252 19310 7749 2758 3314 7363 8130 6184 8103 62336 7888 798 61016 16666 7119 8635 7059 91497 18827 7991 6054 6654 7770 8118 8030 6989 1140 7714 5634 10430 7921]
49,[ 7600 62433 7991 6989]
