Comparison number,Mixture Number,Mixture Number,Average rated similarity
1,1,2,39.5833333333
2,1,3,34.8958333333
3,1,4,47.3958333333
4,1,5,49.4791666667
5,1,6,58.8541666667
6,1,7,43.75
7,8,2,24.4791666667
8,8,3,31.5104166667
9,8,4,15.1041666667
10,8,5,23.4375
11,8,6,19.2708333333
12,8,7,9.8958333333
13,9,2,43.2291666667
14,9,3,32.8125
15,9,4,57.5520833333
16,9,5,60.9375
17,9,6,55.2083333333
18,9,7,38.0208333333
19,10,2,43.2291666667
20,10,3,34.8958333333
21,10,4,45.8333333333
22,10,5,63.0208333333
23,10,6,58.8541666667
24,10,7,54.1666666667
25,11,2,48.9583333333
26,11,3,28.6458333333
27,11,4,53.125
28,11,5,65.625
29,11,6,61.9791666667
30,11,7,44.7916666667
31,12,2,22.9166666667
32,12,3,23.4375
33,12,4,30.2083333333
34,12,5,31.7708333333
35,12,6,36.9791666667
36,12,7,28.90625
37,13,14,24.5192307692
38,13,15,29.8076923077
39,13,16,29.3269230769
40,13,17,41.8269230769
41,13,18,43.2692307692
42,13,19,17.7884615385
43,20,14,28.8461538462
44,20,15,46.6346153846
45,20,16,24.5192307692
46,20,17,22.5961538462
47,20,18,27.8846153846
48,20,19,46.6346153846
49,21,14,26.4423076923
50,21,15,28.8461538462
51,21,16,42.7884615385
52,21,17,48.5576923077
53,21,18,46.6346153846
54,21,19,31.7307692308
55,22,14,26.4423076923
56,22,15,31.7307692308
57,22,16,54.8076923077
58,22,17,57.2115384615
59,22,18,50
60,22,19,20.6730769231
61,23,14,24.5192307692
62,23,15,32.6923076923
63,23,16,50
64,23,17,54.8076923077
65,23,18,58.1730769231
66,23,19,22.1153846154
67,24,14,22.1153846154
68,24,15,29.8076923077
69,24,16,26.4423076923
70,24,17,25.4807692308
71,24,18,22.1153846154
72,24,19,32.2115384615
73,25,26,28.8461538462
74,25,27,27.8846153846
75,25,28,37.0192307692
76,25,29,32.6923076923
77,25,30,33.6538461538
78,25,31,38.9423076923
79,32,26,18.75
80,32,27,27.8846153846
81,32,28,20.6730769231
82,32,29,38.9423076923
83,32,30,25.9615384615
84,32,31,24.5192307692
85,33,26,31.7307692308
86,33,27,38.4615384615
87,33,28,26.4423076923
88,33,29,46.6346153846
89,33,30,48.0769230769
90,33,31,27.4038461538
91,34,26,34.1346153846
92,34,27,36.5384615385
93,34,28,30.7692307692
94,34,29,47.5961538462
95,34,30,54.3269230769
96,34,31,30.7692307692
97,35,26,26.4423076923
98,35,27,34.6153846154
99,35,28,32.6923076923
100,35,29,37.0192307692
101,35,30,48.5576923077
102,35,31,34.6153846154
103,36,26,23.0769230769
104,36,27,34.6153846154
105,36,28,28.3653846154
106,36,29,19.2307692308
107,36,30,23.5576923077
108,36,31,17.3076923077
109,37,38,47.7272727273
110,37,39,37.5
111,37,40,35.7954545455
112,37,41,37.5
113,42,39,47.1590909091
114,42,40,46.0227272727
115,42,41,52.8409090909
116,3,38,22.1590909091
117,3,39,22.7272727273
118,3,40,27.2727272727
119,3,41,30.6818181818
120,43,44,34.0909090909
121,43,38,33.5227272727
122,43,45,15.9090909091
123,43,39,35.7954545455
124,43,40,34.6590909091
125,43,41,35.2272727273
126,43,46,31.25
127,47,44,33.5227272727
128,47,38,60.7954545455
129,47,45,21.0227272727
130,47,39,43.75
131,47,40,51.1363636364
132,47,41,46.5909090909
133,47,46,38.0681818182
134,48,44,32.3863636364
135,48,38,58.5227272727
136,48,45,24.4318181818
137,48,39,55.6818181818
138,48,40,65.3409090909
139,48,41,47.7272727273
140,48,46,47.1590909091
141,49,44,64.7727272727
142,49,38,54.5454545455
143,49,45,32.3863636364
144,49,39,38.0681818182
145,49,40,35.2272727273
146,49,41,40.9090909091
147,49,46,39.7727272727
148,8,8,95.3125
149,12,12,96.875
150,1,1,91.6666666667
151,9,9,91.6666666667
152,10,10,88.5416666667
153,11,11,85.4166666667
154,2,2,95.8333333333
155,3,3,95.8333333333
156,4,4,91.6666666667
157,5,5,87.5
158,6,6,95.8333333333
159,7,7,100
160,14,14,97.1153846154
161,15,15,93.2692307692
162,16,16,81.7307692308
163,17,17,87.5
164,18,18,87.5
165,19,19,81.7307692308
166,13,13,91.3461538462
167,20,20,91.3461538462
168,21,21,92.3076923077
169,22,22,91.3461538462
170,23,23,88.4615384615
171,24,24,94.2307692308
172,32,32,100
173,36,36,100
174,25,25,90.3846153846
175,33,33,94.2307692308
176,34,34,95.1923076923
177,35,35,82.6923076923
178,27,27,87.5
179,31,31,75
180,26,26,76.9230769231
181,26,26,90.3846153846
182,29,29,89.4230769231
183,30,30,90.3846153846
184,38,38,89.7727272727
185,39,39,71.5909090909
186,40,40,81.8181818182
187,41,41,86.3636363636
188,42,42,86.3636363636
189,43,43,76.1363636364
190,47,47,70.4545454545
191,48,48,79.5454545455
