Comparison number,CID,CID,Average rated similarity
1,7410,19310,14.6836842105
2,7710,7749,30.4985
3,31276,3314,42.0935
4,7519,8129,48.2145
5,240,8103,59.6205
6,93009,12178,48.0875
7,11002,62336,34.136
8,7685,8635,51.213
9,7731,62444,11.8755
10,326,8918,53.1495
11,8148,7991,49.2995
12,9609,61138,52.0752631579
13,22201,1140,15.3265
14,31252,10430,27.067
15,31276,26331,21.4161181775
16,6054,31276,47.2128292008
17,240,326,40.274739359
18,93009,240,52.9339534823
19,7685,7762,33.6845511624
20,8148,93009,13.9985159777
21,7762,8129,39.8168634983
22,7749,7519,63.3664229027
23,26331,8148,41.4196129139
24,3314,11002,20.7514735389
25,62336,22201,15.9907826016
26,7059,7685,59.2873712665
27,4133,31252,32.2346601009
28,8030,62336,30.1873834883
29,7519,8030,34.9673839804
30,326,7059,50.4071198269
31,22201,7714,15.6632745813
32,31252,6054,37.5950057271
33,8129,4133,48.3947495328
34,6654,7714,31.1489998864
35,7410,3314,40.218635755
36,7410,12178,53.7903638806
37,7710,307,49.0692920675
38,7710,8130,31.8349010241
39,61138,7410,18.3113202284
40,10821,7710,41.5299748449
41,6544,31276,37.1413111883
42,8797,8130,49.9228372081
43,7731,8797,51.5322298853
44,8103,8148,22.6170029804
45,12178,62433,43.1011214638
46,5281168,2758,36.8672525169
47,5281168,8103,56.9387376195
48,62444,240,9.8495700282
49,957,8148,22.6042669165
50,957,8129,86.6011726073
51,18827,93009,30.1616686586
52,7991,2758,16.6954798309
53,10821,7731,51.3415861985
54,6544,5281168,53.6374800249
55,7770,307,42.8196854198
56,8118,240,29.1133737842
57,8118,11002,74.7306409532
58,62433,957,57.6383061725
59,62433,8030,21.7308202652
60,10722,7731,55.9731866722
61,1140,26331,29.1266581311
62,307,7991,9.3496150027
63,8797,10821,48.8879859743
64,2758,10722,57.8195838198
65,8129,6054,46.3080427806
66,8129,7770,40.35004591
67,8103,8918,49.638579144
68,12178,7714,36.3096194455
69,62444,1140,14.8323293991
70,8918,7059,50.351401804
71,8918,61138,27.6837704748
72,7991,10722,19.1925053919
73,61138,6054,26.0335811646
74,7770,6544,44.4479882844
