CID,Ordinal#,Name,CAS,% v/v or g/ml,Phase,Solvent
176,,acetic acid,64-19-7,10,liquid,water
177,,acetaldehyde,75-07-0,5,liquid,water
179,,acetoin,513-86-0,0.1,solid,"1,2-propanediol"
180,,propan-2-one,67-64-1,25,liquid,water
240,18,benzaldehyde,100-52-7,0.25,liquid,mineral oil
261,,butanal,123-72-8,0.002,liquid,water
264,21,butanoic acid,107-92-6,1,liquid,water
307,31,cinnamic aldehyde,104-55-2,0.01,liquid,"1,2-propanediol"
323,34,coumarin,91-64-5,10,solid,mineral oil
326,40,cuminic aldehyde,122-03-2,1,liquid,mineral oil
454,,octanal,124-13-0,0.25,liquid,mineral oil
460,70,guaiacol,90-05-1,0.2,solid,mineral oil
612,,2-hydroxypropanoic acid,50-21-5,100,liquid,
650,,"butane-2,3-dione",431-03-8,0.5,liquid,"1,2-propanediol"
798,83,Indole,120-72-9,0.5,solid,"1,2-propanediol"
957,109,1-octanol,111-87-5,0.75,liquid,mineral oil
999,113,phenyl acetic acid,103-82-2,5,solid,mineral oil
1031,,propan-1-ol,71-23-8,15,liquid,water
1060,,2-oxopropanoic acid,127-17-3,0.8,liquid,water
1068,,methylsulfanylmethane,75-18-3,0.004,liquid,water
1127,,thiolane,110-01-1,0.0005,liquid,"1,2-propanediol"
1140,135,toluene,108-88-3,3,liquid,mineral oil
1146,,trimethyl amine,75-50-3,0.025,liquid,water
1183,143,vanillin,121-33-5,100,solid,"1,2-propanediol"
2758,63,eucalyptol,470-82-6,2,liquid,mineral oil
2879,36,p-cresol,106-44-5,0.1,solid,"1,2-propanediol"
2969,,decanoic acid,334-48-5,100,solid,"1,2-propanediol"
3314,64,eugenol,97-53-0,0.3,liquid,mineral oil
3776,,propan-2-ol,67-63-0,100,liquid,
4133,102,methyl salicylate,119-36-8,0.25,liquid,mineral oil
5634,139,undecylenic acid,112-38-9,50,solid,"1,2-propanediol"
6054,115,phenyl ethanol,60-12-8,50,liquid,mineral oil
6184,73,hexanal,66-25-1,0.1,liquid,"1,2-propanediol"
6501,5,strawberry aldehyde,77-83-8,1,liquid,"1,2-propanediol"
6544,117,iso-phorone,78-59-1,3,liquid,mineral oil
6561,,2-methylpropanal,78-84-2,0.025,liquid,"1,2-propanediol"
6569,,butan-2-one,78-93-3,1.5,liquid,"1,2-propanediol"
6584,,methyl acetate,79-50-9,7.5,liquid,water
6590,,2-methylpropanoic acid,79-31-2,1.25,liquid,"1,2-propanediol"
6654,118,alpha-pinene,80-56-8,15,liquid,mineral oil
6736,126,skatole,83-34-1,0.005,solid,"1,2-propanediol"
6982,30,chlorothymol,89-68-9,100,solid,"1,2-propanediol"
6989,133,thymol,89-83-8,1,solid,"1,2-propanediol"
7059,100,para-methyl quinoline,91-62-3,0.25,liquid,"1,2-propanediol"
7119,95,2-methoxy naphthalene,93-04-9,10,solid,mineral oil
7150,,methyl benzoate,93-58-3,0.5,liquid,"1,2-propanediol"
7165,,ethyl benzoate,93-89-0,0.005,liquid,"1,2-propanediol"
7344,,ethyl 2-hydroxypropanoate,97-64-3,20,liquid,"1,2-propanediol"
7363,68,furfuryl mercaptan,98-02-2,0.001,liquid,"1,2-propanediol"
7410,2,acetophenone,98-86-2,0.15,liquid,mineral oil
7460,,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",99-83-2,0.5,liquid,mineral oil
