Set-1,Set-2,Set-3,Set-4
7,3 #,2# ^ *,1 # ^ $
9^,7,10 # ^ * &,5 # ^ * &
10#,9 #,16*,9 #
18 *,10^,20# ^,10 # $
20# ^ * &,12 #,23#,16 #
23# ^,16 # ^,29^,18 #
30#,23 #,34,20 # $
34 # ^ *,30 #,36^ &,21 ^ $
37#,31 #,37# ^,23 #
44# ^,34 # ^ *,38# ^ *,29 # $
49# ^ *,36,39 #,36 # ^
51,39 &,40,37 *
52 # ^,47 #,44# &,38 #
53^,58 ^,51 # ^ *,39 # ^
54#,59 # ^ *,54,40 # ^ *
56 # ^,61 # ^,58#,44
59# ^ *,64,61 # *,47 #
61,68 # *,70,50
63^,74 # ^ &,72*,51 ^ $
64# ^ *,75,75^,58 #
70# ^ * &,82,77# ^ &,59 ^ $
71,89,82# ^,61 *
73 #  *,94 # ^ *,83 #,70 # ^ $ &
74 #,96 # ^ *,93 #,72 # ^$ *
75 #,100 # * &,94 # ^ *,74 # ^
76 #,103,95 #,76 # ^ *
77 #,104 # ^,97 #,77 ^ $
83 # *,107 ^,110 # ^,89 # ^ $
89 # ^ &,109 # ^,111 # ^,97
97 # ^,110 # ^,114,102 # ^
100 # ^,111 *,115 # ^,103
103,119 #,118 # ^,107 # $
104 #,121 ^,119 # ^ *,109 # $
113 # ^,126 # *,121 #,112 #
114 #,132# ^ *,132 # ^,113 # ^ $ * &
115 *,133 # ^,135 #,114 # ^
117 # ^ &,134 #,138 #,117 # * &
119 # ^,139 # ^,139 # ^,126 *
138 #,141 # ^,141 # ^ *,127 # ^ $
141 # ^,142,143 #,131
2# ^,2,3# ^,134
3,5 # ^,5,140 # ^ *
5# ^ *,13 #,7# ^,143 # ^
12#,18,9# ^,2 # ^ $
13,20,12# ^ *,3 ^ *
16#,21 # ^,13# * &,7 # ^ $
21# ^ *,27 #,18#,12 # ^ $  * &
27 # ^,29 ^,21#,13 # ^ $ &
29# ^,37 ^,27# ^,27 # ^
31# ^,38 # ^,30# ^,30 # ^
36# *,40 #,31 # *,31 # $
38 # ^ *,44 #,47# ^ *,34
39# * &,49 #,49,49
40# ^ *,51 #,52 # ^,52 #
47 # ^,52 # ^,53#,53 # ^
58#,53 # ^ *,56 #,54 #
60# ^ &,54 #,59^,56 #
68# ^,56 #,60#,60 # ^ $
72#,60 * &,63#,63
81,63 # ^,64# ^,64 # ^ $  *
82# ^ * &,70 ^ *,68&,68
93#,71 #,71,71 ^
94,72 # ^,73 # ^,73 #
95 ^,73 #,74 #,75 ^
96 # ^,76 #,76,81
107 # ^,77 ^,81,82 # ^
109 #,81 ^,89 # ^ * &,83
110,83 # ^,96 *,93 # $
111 #,93 # ^ *,100 #,94 # ^ $  *
112 # *,95 # *,103,95 #
118 #,97 # ^,104 # ^,96
121 #,112 ^ * &,107 # ^ *,100
126 # ^,113 # *,109 # ^,104 # ^ $ *
132 ^ *,114 # ^ *,112 # ^ &,110 # *
133,115 # ^ * &,113 ^ *,111 # * &
134 #,117 # * &,117 # ^,115 # $
135 #,118 #,126 # *,118 # ^ $
139 ^,135 # ^,133 # ^,119 # ^ *
142 ^,138 #,134 # *,121 #
143 # ^ * &,143 # ^,142 # ^,132 # $
,,,133 # * &
,,,135
,,,138 #
,,,139 # ^ $ *
,,,141 # ^ $
,,,142 ^
