CID,MolecularWeight,IsomericSMILES,IUPACName,name
176,60.05,CC(=O)O,acetic acid,acetic acid
177,44.05,CC=O,acetaldehyde,acetaldehyde
179,88.11,CC(C(=O)C)O,3-hydroxybutan-2-one,acetoin
180,58.08,CC(=O)C,propan-2-one,acetone
240,106.12,C1=CC=C(C=C1)C=O,benzaldehyde,benzaldehyde
261,72.11,CCCC=O,butanal,butyraldehyde
264,88.11,CCCC(=O)O,butanoic acid,butyric acid
307,132.16,C1=CC=C(C=C1)C=CC=O,3-phenylprop-2-enal,3-phenylprop-2-enal
323,146.14,C1=CC=C2C(=C1)C=CC(=O)O2,chromen-2-one,coumarin
326,148.20,CC(C)C1=CC=C(C=C1)C=O,4-propan-2-ylbenzaldehyde,4-isopropylbenzaldehyde
454,128.21,CCCCCCCC=O,octanal,octanal
460,124.14,COC1=CC=CC=C1O,2-methoxyphenol,guaiacol
612,90.08,CC(C(=O)O)O,2-hydroxypropanoic acid,lactic acid
650,86.09,CC(=O)C(=O)C,"butane-2,3-dione","2,3-butanedione"
798,117.15,C1=CC=C2C(=C1)C=CN2,1H-indole,indole
957,130.23,CCCCCCCCO,octan-1-ol,1-octanol
999,136.15,C1=CC=C(C=C1)CC(=O)O,2-phenylacetic acid,phenylacetic acid
1031,60.10,CCCO,propan-1-ol,1-propanol
1060,88.06,CC(=O)C(=O)O,2-oxopropanoic acid,pyruvic acid
1068,62.14,CSC,methylsulfanylmethane,dimethyl sulfide
1127,88.17,C1CCSC1,thiolane,tetrahydrothiophene
1140,92.14,CC1=CC=CC=C1,toluene,toluene
1146,59.11,CN(C)C,"N,N-dimethylmethanamine",trimethylamine
1183,152.15,COC1=C(C=CC(=C1)C=O)O,4-hydroxy-3-methoxybenzaldehyde,vanillin
2758,154.25,CC1(C2CCC(O1)(CC2)C)C,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",eucalyptol
2879,108.14,CC1=CC=C(C=C1)O,4-methylphenol,p-cresol
2969,172.26,CCCCCCCCCC(=O)O,decanoic acid,decanoic acid
3314,164.20,COC1=C(C=CC(=C1)CC=C)O,2-methoxy-4-prop-2-enylphenol,eugenol
3776,60.10,CC(C)O,propan-2-ol,isopropanol
4133,152.15,COC(=O)C1=CC=CC=C1O,methyl 2-hydroxybenzoate,methyl salicylate
5634,184.27,C=CCCCCCCCCC(=O)O,undec-10-enoic acid,undecylenic acid
6054,122.16,C1=CC=C(C=C1)CCO,2-phenylethanol,2-phenylethanol
6184,100.16,CCCCCC=O,hexanal,hexanal
6501,206.24,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,ethyl 3-methyl-3-phenyloxirane-2-carboxylate,77-83-8
6544,138.21,CC1=CC(=O)CC(C1)(C)C,"3,5,5-trimethylcyclohex-2-en-1-one",isophorone
6561,72.11,CC(C)C=O,2-methylpropanal,isobutyraldehyde
6569,72.11,CCC(=O)C,butan-2-one,2-butanone
6584,74.08,CC(=O)OC,methyl acetate,methyl acetate
6590,88.11,CC(C)C(=O)O,2-methylpropanoic acid,isobutyric acid
6654,136.23,CC1=CCC2CC1C2(C)C,"2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",alpha-pinene
6736,131.17,CC1=CNC2=CC=CC=C12,3-methyl-1H-indole,3-methylindole
6982,184.66,CC1=CC(=C(C=C1Cl)C(C)C)O,4-chloro-5-methyl-2-propan-2-ylphenol,chlorothymol
6989,150.22,CC1=CC(=C(C=C1)C(C)C)O,5-methyl-2-propan-2-ylphenol,thymol
7059,143.18,CC1=CC2=C(C=C1)N=CC=C2,6-methylquinoline,6-methylquinoline
7119,158.20,COC1=CC2=CC=CC=C2C=C1,2-methoxynaphthalene,2-methoxynaphthalene
7150,136.15,COC(=O)C1=CC=CC=C1,methyl benzoate,methyl benzoate
7165,150.17,CCOC(=O)C1=CC=CC=C1,ethyl benzoate,ethyl benzoate
7344,118.13,CCOC(=O)C(C)O,ethyl 2-hydroxypropanoate,ethyl lactate
7363,114.17,C1=COC(=C1)CS,furan-2-ylmethanethiol,furfuryl mercaptan
7410,120.15,CC(=O)C1=CC=CC=C1,1-phenylethanone,acetophenone
7460,136.23,CC1=CCC(C=C1)C(C)C,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",alpha-phellandrene
7463,134.22,CC1=CC=C(C=C1)C(C)C,1-methyl-4-propan-2-ylbenzene,p-cymene
7519,108.14,COC1=CC=CC=C1,anisole,anisole
7583,170.21,C1=CC=C(C=C1)OC2=CC=CC=C2,phenoxybenzene,diphenyl ether
7600,206.28,CC(C)CCOC(=O)CC1=CC=CC=C1,3-methylbutyl 2-phenylacetate,102-19-2
7632,164.24,CC(C)(CCC1=CC=CC=C1)O,2-methyl-4-phenylbutan-2-ol,2-methyl-4-phenyl-2-butanol
7654,164.20,CC(=O)OCCC1=CC=CC=C1,2-phenylethyl acetate,phenethyl acetate
7685,178.23,CC1=CC=C(C=C1)OC(=O)C(C)C,(4-methylphenyl) 2-methylpropanoate,p-tolyl isobutyrate
7710,156.22,CCCCCC1CCC(=O)O1,5-pentyloxolan-2-one,104-61-0
7714,184.27,CCCCCCCC1CCC(=O)O1,5-heptyloxolan-2-one,gamma-undecalactone
7731,122.16,CC1=CC=C(C=C1)OC,1-methoxy-4-methylbenzene,4-methylanisole
7749,102.13,CCC(=O)OCC,ethyl propanoate,ethyl propionate
7762,116.16,CCCC(=O)OCC,ethyl butanoate,ethyl butyrate
7770,130.18,CCCC(=O)OCCC,propyl butanoate,propyl butyrate
7793,156.26,C[C@@H](CCC=C(C)C)CCO,"(3S)-3,7-dimethyloct-6-en-1-ol",7540-51-4
7799,172.26,CCCCCCCC(=O)OCC,ethyl octanoate,ethyl octanoate
7848,76.16,CCCS,propane-1-thiol,1-propanethiol
